year,month,day,cityid,spend_acf,spend_aer,spend_all,spend_apg,spend_grf,spend_hcs,spend_tws
2020,1,24,1,.0182,-.00487,.00926,-.0183,.023,.0347,-.0106
2020,1,24,2,-.0307,-.0738,-.0258,-.000986,-.0262,-.00873,-.0319
2020,1,24,3,-.017,-.199,-.0403,-.0502,-.0315,-.0737,-.0878
2020,1,24,4,.00196,.0551,.00176,.0298,.00563,-.0415,-.00265
2020,1,24,5,-.00845,.0302,-.0112,-.0247,-.0174,.0432,-.019
2020,1,24,6,.0229,-.0307,.0203,-.0123,-.0102,.0814,-.014
2020,1,24,7,-.00716,.0303,.027,.017,.0363,-.054,.0248
2020,1,24,8,.0179,-.142,-.0069,-.0212,.019,-.0515,.0137
2020,1,24,9,.0134,-.0667,-.00153,.028,-.0243,.0788,-.0464
2020,1,24,10,.0224,.0681,.00762,.0267,.0173,-.0679,.0181
2020,1,24,11,-.0114,-.0471,-.0164,.0297,-.0224,.0279,.0721
2020,1,24,12,-.00451,-.0358,-.00115,-.0293,.037,-.00636,-.0325
2020,1,24,13,.0108,.267,-.00706,.0185,-.0475,-.124,-.0305
2020,1,24,14,.0325,-.0189,-.00104,-.0151,-.0142,.00988,.0202
2020,1,24,16,-.00305,-.0991,-.0129,-.0175,-.00316,.0306,-.0387
2020,1,24,17,.0139,-.0259,-.0051,.0153,.0204,.116,.0944
2020,1,24,19,-.0256,-.044,-.0193,-.0306,-.00507,-.0378,-.00309
2020,1,24,20,.00101,-.0302,.00688,-.0778,.0423,.0368,.0026
2020,1,24,21,.082,.243,.0035,-.0826,.000928,.0967,.000223
2020,1,24,22,.0753,.117,.0354,-.035,.00634,-.148,.162
2020,1,24,23,-.00944,-.0135,.0207,-.0258,-.0224,.122,.0195
2020,1,24,24,-.00647,-.0241,.0223,-.0358,-.00492,.112,-.0394
2020,1,24,25,.0285,.151,.0127,-.0127,-.032,.114,-.053
2020,1,24,26,.0458,-.0318,.0284,-.00479,.0202,-.22,-.00618
2020,1,24,27,-.0358,-.363,-.00091,-.195,.0352,.0757,.0314
2020,1,24,28,-.0274,-.0505,-.0083,.00442,.0164,.0159,-.0252
2020,1,24,29,-.00366,.00707,-.0032,-.0501,-.00533,.138,.00746
2020,1,24,30,.0454,-.425,-.0545,-.141,.0356,-.11,-.159
2020,1,24,31,-.0126,-.258,-.0454,-.0124,-.0225,.0353,-.0238
2020,1,24,32,-.0119,.0813,.0148,.0165,.0461,-.0227,.0687
2020,1,24,33,.0197,.126,-.014,.0292,.0126,-.119,-.152
2020,1,24,34,-.0398,-.0669,.00531,-.0244,.0267,.0615,-.0456
2020,1,24,35,-.00982,-.00754,-.00703,-.0298,.00907,.0136,-.0266
2020,1,24,36,-.0336,-.0793,-.0218,.0141,.000435,-.00234,-.0439
2020,1,24,37,-.0497,-.16,.0031,-.0475,-.0552,.0986,-.012
2020,1,24,38,-.0234,-.0998,-.0171,.000853,-.0151,.00445,.0397
2020,1,24,39,-.0262,-.0722,-.00879,-.0257,-.00158,.0157,.0162
2020,1,24,40,.0454,-.107,.0069,.00233,.00882,.105,.0491
2020,1,24,41,-.0169,-.0393,.00716,.00935,.0249,-.0892,.0335
2020,1,24,42,-.0275,.0328,-.032,.00629,-.0773,-.0493,-.0396
2020,1,24,43,.00486,-.0817,-.00187,-.0289,.0352,-.118,-.0408
2020,1,24,44,.0876,-.627,.0125,.0787,.0729,-.327,-.0541
2020,1,24,45,.0882,.0916,.0192,-.0374,.0445,.029,.115
2020,1,24,46,.087,-.0894,-.00535,-.00268,.0146,-.0691,.00823
2020,1,24,47,-.018,.0689,.0113,.00306,-.0166,-.166,-.0848
2020,1,24,48,.00786,-.14,.00152,-.0202,-.0121,.197,-.0117
2020,1,24,49,-.054,-.0226,-.0414,-.112,.0309,.0335,-.0376
2020,1,24,50,-.0503,-.0677,-.00385,.0369,.0101,.0763,.0981
2020,1,24,51,.0556,.0132,-.0237,-.0337,.0198,-.00764,.0961
2020,1,24,52,.00808,-.00343,.0523,.0534,.0685,-.0289,.0721
2020,1,24,53,-.0199,-.000166,-.0237,-.0355,-.0356,.0452,-.00167
2020,1,25,1,.0152,.00232,.0149,-.00856,.0227,.0313,-.0217
2020,1,25,2,.0094,-.051,-.0198,-.0106,-.00629,.0202,-.038
2020,1,25,3,.00236,-.16,-.0167,.0321,.0564,-.0772,-.0679
2020,1,25,4,-.00629,.0187,-.00582,.00248,.00831,-.0537,.00235
2020,1,25,5,-.00356,.0384,-.00907,-.0177,-.00151,.0214,.0139
2020,1,25,6,-.00701,-.0477,.0158,-.0162,-.00299,.0722,-.00648
2020,1,25,7,.00999,.0416,.0175,-.00277,.0386,-.0313,.00533
2020,1,25,8,.0175,-.0942,-.00177,-.0106,.024,-.078,.0308
2020,1,25,9,.00846,-.103,.00198,-.0144,-.0133,.062,-.000773
2020,1,25,10,.0366,.0282,.00473,.0155,.0202,-.0724,.0453
2020,1,25,11,-.028,-.0319,-.00778,.00459,-.0236,.117,.0829
2020,1,25,12,-.00828,-.0796,-.0074,-.0356,.011,.0412,-.0361
2020,1,25,13,.0192,.304,.0106,.0609,.0501,-.102,.0143
2020,1,25,14,.0226,-.0465,.00281,.0163,.00583,-.00383,.0184
2020,1,25,16,-.0208,-.0819,-.0181,-.0244,-.00784,.0176,-.0146
2020,1,25,17,.0152,-.0444,.00105,.0217,.0213,.125,.0902
2020,1,25,19,-.02,-.0257,-.0188,-.00474,-.00523,-.0468,-.0153
2020,1,25,20,.0142,.092,.0153,-.126,.0526,.00908,.0135
2020,1,25,21,.0235,.254,-.00695,-.0389,-.00319,.0378,-.0177
2020,1,25,22,.0599,.133,.0195,-.000163,-.0081,-.135,.0897
2020,1,25,23,.0275,.0695,.0289,-.00975,-.0118,.11,.0497
2020,1,25,24,-.00795,-.0312,-.0113,-.0367,-.0245,.113,-.0201
2020,1,25,25,.0308,.153,.0549,.0778,.0354,.0328,-.024
2020,1,25,26,.0525,.101,.0268,-.00679,.0552,-.232,.0748
2020,1,25,27,-.0872,-.361,-.0232,-.203,.0336,-.0465,.11
2020,1,25,28,-.0285,-.000445,-.00162,.029,.0118,-.0129,-.0256
2020,1,25,29,.0147,-.0385,.00962,-.0538,-.00103,.153,-.00668
2020,1,25,30,.0723,-.286,-.0379,-.0897,.0741,-.14,-.125
2020,1,25,31,-.00577,-.183,-.0205,.0192,.0531,-.0291,-.0713
2020,1,25,32,-.0323,.0334,-.00329,.0189,.0494,-.0346,.0774
2020,1,25,33,.0186,.177,-.0174,.0567,.0272,-.0962,-.156
2020,1,25,34,-.0415,-.059,-.0149,-.0408,.0064,.013,-.0237
2020,1,25,35,-.00684,.0361,-.00535,-.00786,.0116,.0343,-.00565
2020,1,25,36,-.0219,-.143,-.0177,-.00493,.00344,-.0045,-.0233
2020,1,25,37,-.0597,-.0175,-.00227,-.0476,-.0358,.033,.0252
2020,1,25,38,-.00413,-.108,-.0174,-.0381,-.00754,.00354,.0261
2020,1,25,39,-.029,-.0477,-.0138,-.046,.0132,-.0162,.0586
2020,1,25,40,.0404,-.172,.00349,.02,.039,.0945,.0773
2020,1,25,41,-.0267,-.124,-.00337,-.00437,.0184,-.0849,.0227
2020,1,25,42,.002,.0144,-.00694,.0423,-.0281,-.0292,-.0373
2020,1,25,43,.00337,-.0076,-.00394,-.0481,.0202,-.163,-.00209
2020,1,25,44,.0982,-.593,-.00222,.12,.0587,-.235,-.287
2020,1,25,45,.0482,-.0721,.0179,.0027,.0743,-.0712,.0708
2020,1,25,46,.0369,-.0266,-.00958,.0118,.126,.0477,-.0545
2020,1,25,47,-.00186,.0762,.00814,.0189,-.00305,-.155,-.0526
2020,1,25,48,.0176,-.142,.00143,-.0427,-.00768,.183,.0171
2020,1,25,49,-.0692,.1,-.0243,-.0442,.0519,-.00294,-.026
2020,1,25,50,-.0598,-.0976,-.00448,.0464,.0017,.0493,.0755
2020,1,25,51,.0538,.00264,-.0262,-.0438,.0136,-.0591,.0265
2020,1,25,52,.0023,-.0682,.0223,-.00234,.016,-.0636,.0496
2020,1,25,53,.0872,.196,.0592,.0512,.0586,.0234,.134
2020,1,26,1,.00914,-.00339,.0159,-.0163,.0253,.0382,-.0142
2020,1,26,2,-.00996,-.0703,-.0245,-.0298,.03,.00533,-.0529
2020,1,26,3,-.0111,-.189,-.0413,-.00517,.00956,-.103,-.0698
2020,1,26,4,-.0209,.0254,-.00604,-.00787,.0282,-.0417,.00311
2020,1,26,5,-.00468,.00418,-.00718,-.00435,.0163,.0108,.0141
2020,1,26,6,-.0172,-.0703,.0147,-.0149,.014,.0586,.019
2020,1,26,7,.0144,.0469,.0107,-.0547,.0319,-.0000415,-.0101
2020,1,26,8,.0111,-.11,-.00543,.00335,.0284,-.0721,.0347
2020,1,26,9,-.00287,-.118,.000374,-.0211,-.00772,.0223,.00772
