year,month,day,statefips,spend_acf,spend_aer,spend_all,spend_apg,spend_grf,spend_hcs,spend_all_inchigh,spend_all_inclow,spend_all_incmiddle,spend_tws
2020,2,8,1,-.0219,.164,.00205,-.0677,.031,-.0386,.0386,.00134,-.00764,-.0426
2020,3,29,1,-.652,-.748,-.307,-.534,.0744,-.614,-.348,-.275,-.324,-.613
2020,5,31,1,-.189,-.464,-.00163,.0617,.115,-.0161,-.104,.0421,-.0109,-.532
2020,5,24,1,-.268,-.497,-.0358,.00766,.1,-.0788,-.134,.00254,-.0433,-.572
2020,3,10,1,-.026,-.139,-.0341,.0499,.0955,.0285,-.0538,-.0162,-.0455,-.254
2020,1,28,1,-.0201,.00292,-.0347,-.0292,-.0836,-.0108,-.000565,-.0447,-.0355,-.0537
2020,1,31,1,.0102,-.0792,-.0164,.00618,-.0375,-.00613,-.0222,-.0177,-.0138,-.0339
2020,3,14,1,-.0808,-.234,.0268,-.00012,.515,.0112,.0262,.0548,.00247,-.242
2020,5,8,1,-.409,-.614,-.0896,-.145,.182,-.238,-.194,-.0316,-.114,-.576
2020,2,22,1,-.0358,.0316,-.0274,-.0119,-.0000193,-.146,-.0273,-.0261,-.0295,-.0834
2020,4,15,1,-.575,-.721,-.274,-.429,.0929,-.649,-.351,-.212,-.306,-.668
2020,6,7,1,-.25,-.384,-.016,.127,.123,-.119,-.155,.0414,-.0259,-.508
2020,3,20,1,-.358,-.532,-.045,-.158,.582,-.302,-.0776,-.03,-.0503,-.422
2020,3,5,1,-.0511,-.0637,-.0379,.00116,.0697,-.00157,-.0234,-.0399,-.0412,-.211
2020,4,19,1,-.514,-.681,-.194,-.398,.112,-.561,-.311,-.0915,-.249,-.658
2020,5,1,1,-.48,-.748,-.127,-.116,.217,-.53,-.223,-.0698,-.151,-.606
2020,2,2,1,.00848,-.0751,-.0265,-.000731,-.0017,-.0157,-.0344,-.0374,-.0149,-.0217
2020,2,6,1,-.0321,-.00043,-.0168,-.0815,.0368,-.022,-.00207,-.0239,-.0147,-.0532
2020,2,13,1,-.0179,.231,-.0111,.0289,.0306,-.119,-.00896,-.00714,-.0159,-.089
2020,4,22,1,-.471,-.688,-.152,-.302,.109,-.531,-.298,-.0507,-.2,-.636
2020,4,7,1,-.617,-.683,-.233,-.369,.209,-.654,-.269,-.201,-.252,-.635
2020,3,4,1,-.044,-.0202,-.0204,-.0281,.0754,-.0193,-.000636,-.0186,-.0286,-.173
2020,4,24,1,-.466,-.717,-.159,-.29,.108,-.53,-.283,-.0804,-.194,-.64
2020,5,29,1,-.256,-.472,-.0408,.0129,.0385,-.0349,-.123,-.0161,-.041,-.564
2020,4,8,1,-.622,-.749,-.239,-.351,.199,-.664,-.275,-.207,-.258,-.65
2020,4,6,1,-.618,-.705,-.229,-.375,.225,-.647,-.285,-.193,-.247,-.638
2020,3,21,1,-.458,-.587,-.0953,-.218,.485,-.304,-.145,-.078,-.098,-.461
2020,2,29,1,-.0426,.0582,-.0164,-.0601,.0414,-.107,.00395,-.00212,-.0357,-.116
2020,5,17,1,-.331,-.515,-.0757,.0222,.0584,-.196,-.164,-.0269,-.0944,-.592
2020,5,7,1,-.412,-.62,-.0791,-.144,.193,-.257,-.181,-.0223,-.102,-.545
2020,3,3,1,-.0372,.00638,-.0052,-.0409,.104,-.0433,.0158,.00619,-.0223,-.147
2020,6,10,1,-.234,-.409,-.0224,.132,.0979,-.0575,-.151,.0184,-.0233,-.497
2020,2,19,1,-.0337,.0502,-.0331,-.0293,.00223,-.131,-.0568,-.0214,-.0369,-.121
2020,2,28,1,-.0466,-.00524,-.0401,-.0904,.017,-.113,-.00424,-.0352,-.0552,-.118
2020,1,24,1,-.00134,.0368,.00692,-.0212,.00689,.0569,.0211,.00152,.00758,-.0163
2020,2,25,1,-.0394,.0861,-.0319,-.0441,-.0075,-.14,-.0137,-.0375,-.033,-.0973
2020,3,2,1,-.0463,.0383,-.0257,-.0833,.0675,-.0748,.00349,-.0171,-.0423,-.154
2020,2,16,1,-.0374,.0593,-.0296,-.0102,.00741,-.0989,-.0399,-.0241,-.0319,-.127
2020,2,3,1,-.000594,-.0169,-.00851,-.0212,.0202,-.00423,-.00564,-.016,-.00271,-.0219
2020,4,25,1,-.464,-.736,-.156,-.281,.118,-.542,-.276,-.086,-.185,-.637
2020,6,6,1,-.224,-.401,-.00204,.129,.172,-.116,-.151,.0656,-.0172,-.5
2020,5,23,1,-.277,-.507,-.0359,.0328,.128,-.105,-.126,.00393,-.0468,-.574
2020,2,11,1,-.0196,.146,-.0213,-.0531,.0164,-.102,-.00133,-.0185,-.0296,-.0828
2020,3,18,1,-.232,-.459,.0177,-.0661,.724,-.202,.00688,.035,.00484,-.338
2020,5,20,1,-.29,-.55,-.0484,.0593,.122,-.167,-.138,-.00587,-.0615,-.591
2020,4,13,1,-.609,-.795,-.309,-.42,.0333,-.693,-.356,-.27,-.33,-.68
2020,2,12,1,-.0273,.188,-.0108,-.00276,.0401,-.0754,-.00764,-.00428,-.0181,-.07
2020,4,23,1,-.469,-.717,-.164,-.32,.0878,-.536,-.291,-.0784,-.205,-.642
2020,4,12,1,-.618,-.789,-.306,-.41,.0359,-.684,-.345,-.27,-.328,-.681
2020,4,16,1,-.561,-.708,-.254,-.406,.106,-.625,-.35,-.173,-.296,-.669
2020,2,10,1,-.0088,.128,-.0172,-.0751,.021,-.0709,-.00171,-.0123,-.0261,-.0593
2020,3,19,1,-.284,-.503,-.00801,-.11,.683,-.265,-.0366,.0176,-.0231,-.383
2020,2,26,1,-.0404,.0346,-.0383,-.0866,-.00105,-.126,-.0157,-.0349,-.0482,-.108
2020,4,21,1,-.477,-.619,-.152,-.317,.133,-.527,-.302,-.0386,-.208,-.639
2020,2,9,1,-.0132,.172,.00593,-.0718,.0322,-.038,.0417,.0108,-.00831,-.0499
2020,6,4,1,-.202,-.379,.00359,.108,.167,-.112,-.144,.076,-.0149,-.507
2020,5,4,1,-.454,-.715,-.105,-.1,.199,-.452,-.187,-.0578,-.126,-.563
2020,1,26,1,-.0221,.000662,-.0136,-.0401,.013,.0441,-.00131,-.0199,-.0117,-.0204
2020,5,27,1,-.269,-.498,-.0558,-.018,.0457,-.065,-.14,-.0249,-.0606,-.577
2020,3,1,1,-.0327,.00559,-.0341,-.075,.0561,-.0897,-.0267,-.0198,-.0499,-.154
2020,5,13,1,-.375,-.572,-.0891,-.0737,.117,-.217,-.211,-.036,-.103,-.61
2020,4,5,1,-.618,-.705,-.234,-.377,.235,-.637,-.296,-.197,-.251,-.634
2020,2,27,1,-.0434,.0226,-.0369,-.0952,.0073,-.14,-.00659,-.0364,-.0465,-.0872
2020,1,25,1,-.000102,.0142,.00627,-.0208,.0379,.0459,.016,.00258,.00672,-.0233
2020,5,5,1,-.432,-.7,-.0941,-.123,.2,-.385,-.176,-.0332,-.126,-.566
2020,3,27,1,-.645,-.748,-.299,-.525,.0904,-.595,-.361,-.261,-.317,-.602
2020,1,30,1,.0118,-.0517,-.0297,-.0223,-.0572,-.0288,-.0195,-.028,-.0338,-.0266
2020,3,17,1,-.193,-.414,.0208,-.0489,.686,-.0974,.0134,.0436,.00265,-.312
2020,2,4,1,.00439,-.0455,.00957,-.000977,.0973,.0328,-.0027,.00491,.0173,.0199
2020,3,22,1,-.522,-.636,-.124,-.27,.426,-.296,-.178,-.103,-.129,-.491
2020,3,9,1,-.0195,-.141,-.0169,.0876,.112,.0237,-.049,.00162,-.0258,-.23
2020,4,28,1,-.487,-.788,-.156,-.208,.194,-.533,-.271,-.0947,-.178,-.624
2020,3,23,1,-.56,-.646,-.174,-.331,.32,-.393,-.231,-.152,-.178,-.539
2020,3,15,1,-.127,-.288,.013,-.0261,.536,-.00128,.00538,.0423,-.0105,-.255
2020,2,20,1,-.0328,.0231,-.0259,-.0165,.00419,-.0962,-.0409,-.0176,-.0293,-.115
2020,1,27,1,-.0187,-.0271,-.0224,-.0147,-.0217,.0305,-.0102,-.027,-.0217,-.0171
2020,5,16,1,-.331,-.553,-.0877,-.0146,.0425,-.189,-.189,-.0369,-.104,-.588
2020,3,24,1,-.585,-.693,-.21,-.375,.266,-.473,-.271,-.182,-.218,-.56
