statefips,year,month,day,pay,pay31_33,pay44_45,pay48_49,pay62,pay72,pay_inclow,pay_incmiddle,pay_inchigh
1,2020,1,1,.,.,.,.,.,.,.,.,.
1,2020,1,2,.,.,.,.,.,.,.,.,.
1,2020,1,3,.,.,.,.,.,.,.,.,.
1,2020,1,4,.,.,.,.,.,.,.,.,.
1,2020,1,5,.,.,.,.,.,.,.,.,.
1,2020,1,6,.,.,.,.,.,.,.,.,.
1,2020,1,7,.,.,.,.,.,.,.,.,.
1,2020,1,8,-.0469,-.0861,.00877,-.0263,-.0213,-.0144,-.0495,-.0441,-.045
1,2020,1,9,-.042,-.0774,.00812,-.0177,-.0189,-.00504,-.045,-.0387,-.0407
1,2020,1,10,-.0373,-.0628,.00446,-.0135,-.0162,-.00183,-.0406,-.0333,-.0374
1,2020,1,11,-.0328,-.0506,.000141,-.00932,-.0145,-.00879,-.0351,-.029,-.036
1,2020,1,12,-.0275,-.0383,-.0011,-.00512,-.0127,-.0122,-.0286,-.0245,-.033
1,2020,1,13,-.022,-.026,-.00166,-.000914,-.011,-.0141,-.0222,-.0198,-.0282
1,2020,1,14,-.0163,-.0134,-.00207,.0019,-.00824,-.015,-.0158,-.0148,-.0227
1,2020,1,15,-.0111,.000446,-.00522,.00574,-.00559,-.0154,-.00958,-.0108,-.0173
1,2020,1,16,-.0061,.0126,-.00821,.00922,-.00302,-.0151,-.00383,-.00675,-.0117
1,2020,1,17,-.00197,.0146,-.00828,.0129,-.00111,-.0157,.00102,-.00376,-.00654
1,2020,1,18,.00149,.0123,-.00468,.0105,.000196,-.00919,.00421,-.000707,-.000912
1,2020,1,19,.00356,.00992,-.00595,.00812,.0015,-.0115,.00606,.00122,.00216
1,2020,1,20,.00526,.00758,-.00774,.00575,.0028,-.0181,.00747,.0033,.00345
1,2020,1,21,.00704,.00788,-.00597,.0095,.00222,-.00686,.0101,.00409,.00566
1,2020,1,22,.0102,.00394,-.00611,.00876,.00349,-.00513,.0133,.00718,.0084
1,2020,1,23,.0131,.00104,-.00542,.00919,.00457,-.00509,.0162,.0103,.0105
1,2020,1,24,.0164,.00551,-.00357,.0113,.00622,.0000322,.0191,.0142,.0131
1,2020,1,25,.0176,.0125,-.00116,.00928,.00726,.00782,.0204,.0151,.0155
1,2020,1,26,.019,.0194,.00257,.00725,.00829,.0142,.0216,.0165,.0177
1,2020,1,27,.022,.024,.00263,.00284,.0106,.0172,.0239,.0196,.0223
1,2020,1,28,.022,.0308,.00444,-.00078,.0111,.0176,.0233,.0201,.0236
1,2020,1,29,.0219,.0371,.00601,-.0026,.0104,.0193,.0222,.0205,.0252
1,2020,1,30,.022,.0431,.00762,-.00522,.0101,.0234,.0213,.0211,.0271
1,2020,1,31,.0212,.0451,.00919,-.00829,.00979,.024,.0191,.0208,.0296
1,2020,2,1,.0196,.0458,.00872,-.00544,.00556,.0274,.0163,.0203,.0286
1,2020,2,2,.0177,.0465,.00661,-.0026,.00134,.0304,.0133,.0193,.0274
1,2020,2,3,.0161,.0472,.00694,.000251,-.00289,.0324,.0111,.0181,.0269
1,2020,2,4,.0138,.0474,.00701,.00275,-.00682,.0282,.00742,.0169,.0254
1,2020,2,5,.012,.0482,.00691,.00471,-.00962,.0253,.00469,.0161,.0232
1,2020,2,6,.00997,.0491,.00588,.00686,-.0124,.0204,.00174,.015,.0216
1,2020,2,7,.00811,.0508,.00323,.00629,-.0167,.0181,.000667,.0131,.0172
1,2020,2,8,.00618,.0494,.00319,.0107,-.0179,.0134,.000754,.00922,.0152
1,2020,2,9,.0044,.0479,.00354,.0151,-.019,.00993,.000996,.00509,.0145
1,2020,2,10,.00239,.0464,.00208,.0195,-.0202,.00786,.000833,.00126,.0124
1,2020,2,11,.00088,.0448,.00106,.0212,-.0208,.0099,.00164,-.00257,.011
1,2020,2,12,-.000496,.0434,.00114,.0234,-.0214,.0146,.00239,-.00645,.0109
1,2020,2,13,-.00231,.0413,.0015,.0248,-.0225,.0185,.00279,-.0106,.00911
1,2020,2,14,-.00339,.0371,.00234,.0256,-.023,.0264,.00281,-.0131,.00873
