year,month,day,pay,pay31_33,pay44_45,pay48_49,pay62,pay72,pay_inclow,pay_incmiddle,pay_inchigh
2020,1,1,.,.,.,.,.,.,.,.,.
2020,1,2,.,.,.,.,.,.,.,.,.
2020,1,3,.,.,.,.,.,.,.,.,.
2020,1,4,.,.,.,.,.,.,.,.,.
2020,1,5,.,.,.,.,.,.,.,.,.
2020,1,6,.,.,.,.,.,.,.,.,.
2020,1,7,.,.,.,.,.,.,.,.,.
2020,1,8,-.0294,-.0514,.0106,-.0222,-.0114,-.0171,-.0307,-.0307,-.0258
2020,1,9,-.0268,-.0483,.0106,-.0221,-.0112,-.0107,-.0279,-.028,-.0237
2020,1,10,-.0244,-.0439,.00876,-.0215,-.0113,-.00931,-.0251,-.0253,-.0222
2020,1,11,-.0211,-.0365,.0065,-.0189,-.0108,-.00946,-.0219,-.0217,-.0192
2020,1,12,-.0176,-.0291,.0052,-.0164,-.0102,-.00887,-.0184,-.018,-.0162
2020,1,13,-.0142,-.0217,.00382,-.0138,-.0096,-.00961,-.015,-.0143,-.0133
2020,1,14,-.0105,-.0143,.0023,-.0106,-.00826,-.01,-.0113,-.0103,-.0101
2020,1,15,-.0068,-.00682,.00088,-.00724,-.007,-.0093,-.00766,-.00631,-.00686
2020,1,16,-.00341,.000121,-.00114,-.00407,-.00561,-.00846,-.00427,-.00267,-.0039
2020,1,17,-.000732,.00386,-.00335,-.00106,-.00437,-.00778,-.00158,.0000624,-.00133
2020,1,18,.000119,.00451,-.00424,-.0012,-.0036,-.00637,-.000492,.000734,-.000376
2020,1,19,.000884,.00516,-.00581,-.00133,-.00282,-.00534,.000425,.00131,.000581
2020,1,20,.00159,.00581,-.00798,-.00147,-.00204,-.00428,.00113,.00191,.00146
2020,1,21,.00301,.00646,-.00602,.00105,-.000914,-.00314,.00273,.00338,.00263
2020,1,22,.00516,.00762,-.00634,.00322,.000894,-.00163,.00493,.00553,.00473
2020,1,23,.00744,.00915,-.00604,.00558,.00268,-.000381,.00741,.00777,.00692
2020,1,24,.00972,.0124,-.00433,.00759,.00464,.00253,.00995,.01,.00898
2020,1,25,.0112,.0149,-.00277,.00982,.00605,.00692,.0117,.0114,.0103
2020,1,26,.0125,.0174,-.00143,.012,.00746,.00863,.0133,.0127,.0113
2020,1,27,.0145,.0206,-.00137,.0141,.00965,.0102,.0157,.0145,.0133
2020,1,28,.0148,.0227,-.000746,.0147,.0101,.0107,.0162,.0147,.0136
2020,1,29,.015,.0248,.0000875,.0152,.0105,.0117,.0166,.0148,.0138
2020,1,30,.0151,.0266,.000694,.0155,.0107,.013,.0167,.0149,.0138
2020,1,31,.0147,.027,.0011,.0151,.0103,.0135,.016,.0147,.0136
2020,2,1,.0137,.0252,.00166,.0143,.00946,.015,.0143,.0139,.0128
2020,2,2,.0125,.0234,.00107,.0135,.00862,.0138,.0125,.0129,.0117
2020,2,3,.0112,.0215,-.0000451,.0127,.00779,.0127,.0106,.0118,.0106
2020,2,4,.00931,.0195,-.000485,.0106,.00593,.0121,.00812,.0101,.00902
2020,2,5,.0074,.0174,-.00167,.00878,.00429,.0111,.00548,.00841,.00737
2020,2,6,.00545,.0151,-.00276,.00716,.00255,.00938,.00294,.00663,.00566
2020,2,7,.0038,.0128,-.00363,.00604,.00071,.0084,.000925,.0051,.00414
2020,2,8,.00289,.0123,-.00348,.00515,-.00118,.00845,.000106,.00413,.00325
2020,2,9,.00221,.0119,-.00229,.00425,-.00306,.0108,-.00058,.0034,.00265
2020,2,10,.00148,.0114,-.00131,.00336,-.00495,.0127,-.00124,.00259,.002
2020,2,11,.00108,.011,-.000534,.00304,-.00595,.0144,-.0017,.00218,.00169
2020,2,12,.000708,.0106,.00116,.00264,-.00715,.0168,-.00197,.0017,.00142
2020,2,13,.00049,.0103,.00345,.00196,-.00818,.0209,-.00214,.00136,.00137
2020,2,14,.000517,.01,.00464,.00195,-.00887,.0296,-.00207,.00126,.0016
2020,2,15,-.000334,.00972,.00296,.00137,-.00997,.0307,-.00314,.00031,.0011
2020,2,16,-.00119,.00939,.00123,.000791,-.0111,.0318,-.00425,-.000604,.000587
2020,2,17,-.00207,.00906,-.000773,.000213,-.0122,.0329,-.00541,-.00152,9.49e-06
2020,2,18,-.000694,.00965,.00121,.00242,-.011,.0328,-.00384,-.0000188,.00101
2020,2,19,-.000221,.00992,.000878,.00381,-.0111,.0333,-.00348,.000451,.00159
2020,2,20,.000137,.0104,-.00103,.00534,-.0113,.0328,-.00324,.000841,.00199
2020,2,21,.000302,.0112,-.00182,.00653,-.0113,.0288,-.00331,.000984,.00243
2020,2,22,.000482,.0113,-.00112,.00649,-.0113,.0306,-.00337,.00117,.00281
2020,2,23,.000606,.0113,-.00061,.00645,-.0114,.0316,-.00352,.00136,.00308
2020,2,24,-.000113,.0111,-.00146,.00583,-.0125,.0332,-.00466,.000596,.00284
2020,2,25,-.00106,.0107,-.00234,.00412,-.0137,.034,-.00588,-.000462,.00232
2020,2,26,-.00198,.0103,-.00253,.00254,-.0146,.0344,-.00697,-.00138,.00159
2020,2,27,-.00286,.00943,-.00204,.000953,-.0156,.0352,-.008,-.0023,.0009
2020,2,28,-.00424,.00712,-.00219,-.00117,-.0172,.0356,-.0096,-.00356,-.000497
2020,2,29,-.0064,.00324,-.00231,-.00318,-.0197,.0364,-.0121,-.00568,-.00237
2020,3,1,-.00868,-.000638,-.00354,-.00518,-.0221,.0367,-.0146,-.00802,-.00435
2020,3,2,-.0111,-.00452,-.00507,-.00718,-.0245,.0361,-.0172,-.0104,-.00656
2020,3,3,-.0133,-.00837,-.0059,-.00877,-.027,.0353,-.0197,-.0126,-.00863
2020,3,4,-.0156,-.0123,-.00747,-.0102,-.0294,.0352,-.0222,-.0149,-.0107
2020,3,5,-.0179,-.0158,-.00883,-.0118,-.0318,.0346,-.0247,-.0173,-.0128
2020,3,6,-.0199,-.0181,-.00989,-.0131,-.0341,.0343,-.0267,-.0193,-.0147
2020,3,7,-.0216,-.0193,-.0106,-.0154,-.0366,.0329,-.0282,-.0208,-.017
2020,3,8,-.0231,-.0205,-.0106,-.0177,-.0391,.0356,-.0295,-.0221,-.019
2020,3,9,-.0248,-.0217,-.0107,-.0201,-.0416,.0347,-.0309,-.0236,-.0211
2020,3,10,-.0266,-.0231,-.0114,-.023,-.0441,.0335,-.0324,-.0253,-.0236
2020,3,11,-.0285,-.0244,-.0122,-.0261,-.0466,.0309,-.0341,-.027,-.0262
2020,3,12,-.0309,-.0258,-.014,-.0291,-.0491,.0265,-.0362,-.029,-.0292
2020,3,13,-.034,-.028,-.0167,-.0327,-.0516,.0166,-.0389,-.032,-.0329
2020,3,14,-.039,-.0314,-.0226,-.0358,-.0539,-.00243,-.0431,-.0368,-.0389
2020,3,15,-.0442,-.0348,-.0282,-.0388,-.0563,-.0272,-.0474,-.0418,-.0453
2020,3,16,-.0496,-.0381,-.0352,-.0419,-.0586,-.0523,-.0519,-.0468,-.0521
2020,3,17,-.0562,-.0415,-.0457,-.0448,-.061,-.0944,-.0574,-.053,-.0606
2020,3,18,-.0637,-.0448,-.0596,-.0477,-.0633,-.147,-.0637,-.0601,-.07
2020,3,19,-.072,-.0483,-.0747,-.0509,-.0658,-.205,-.0706,-.0679,-.0802
2020,3,20,-.0816,-.0525,-.0935,-.0545,-.0689,-.274,-.0788,-.0773,-.0917
2020,3,21,-.0937,-.0594,-.113,-.0615,-.0733,-.345,-.0892,-.0891,-.106
