cityid,year,month,day,emp,emp31_33,emp44_45,emp48_49,emp62,emp72,emp_inclow,emp_incmiddle,emp_inchigh
1,2020,1,1,.,.,.,.,.,.,.,.,.
1,2020,1,2,.,.,.,.,.,.,.,.,.
1,2020,1,3,.,.,.,.,.,.,.,.,.
1,2020,1,4,.,.,.,.,.,.,.,.,.
1,2020,1,5,.,.,.,.,.,.,.,.,.
1,2020,1,6,.,.,.,.,.,.,.,.,.
1,2020,1,7,.,.,.,.,.,.,.,.,.
1,2020,1,8,-.00397,.0142,.0147,-.00792,-.00239,-.0307,-.00714,-.00222,-.00421
1,2020,1,9,-.00261,.0149,.0136,-.00867,-.00441,-.017,-.00553,-.00105,-.00278
1,2020,1,10,-.00273,.0142,.0109,-.00941,-.00608,-.0138,-.00483,-.00148,-.00296
1,2020,1,11,-.00247,.0123,.0101,-.00892,-.00463,-.0132,-.00454,-.00118,-.00278
1,2020,1,12,-.00249,.0105,.00886,-.00842,-.00318,-.0138,-.00371,-.00111,-.00334
1,2020,1,13,-.00243,.00864,.00744,-.00792,-.00174,-.0135,-.00284,-.00111,-.00361
1,2020,1,14,-.00194,.00708,.00591,-.00742,.0000723,-.0112,-.00206,-.000339,-.00359
1,2020,1,15,-.00171,.00581,.00403,-.00729,.00195,-.0093,-.00183,-.000489,-.00297
1,2020,1,16,-.00168,.00411,.00147,-.00717,.00333,-.00752,-.0012,-.000844,-.00283
1,2020,1,17,-.00138,.00482,.000121,-.00655,.00355,-.00672,-.000748,-.000956,-.00216
1,2020,1,18,-.00162,.00468,-.000464,-.0063,.00311,-.00633,-.000433,-.00167,-.00215
1,2020,1,19,-.00186,.00453,-.00184,-.00605,.00268,-.00441,-.000596,-.0024,-.00189
1,2020,1,20,-.0021,.00439,-.00334,-.0058,.00224,-.00234,-.00142,-.00296,-.0015
1,2020,1,21,-.00136,.00453,-.00245,-.00443,.00268,-.00246,-.000373,-.00232,-.000801
1,2020,1,22,-.000562,.00425,-.0026,-.00168,.0026,-.00065,.0000691,-.00173,.000384
1,2020,1,23,.000473,.00468,-.00255,.00106,.00224,.00195,.00163,-.00119,.00175
1,2020,1,24,.00131,.00283,-.00237,.0043,.00282,.00373,.00236,-.000652,.00296
1,2020,1,25,.00209,-.000708,-.00318,.0058,.00253,.00713,.00284,.000549,.00337
1,2020,1,26,.00272,-.00425,-.00387,.00729,.00224,.00915,.00365,.00159,.00344
1,2020,1,27,.00336,-.00793,-.00438,.00904,.00152,.0121,.00407,.00213,.00429
1,2020,1,28,.00345,-.0115,-.00463,.00979,.000796,.0123,.00442,.00265,.00375
1,2020,1,29,.00343,-.0149,-.00519,.01,-.0000724,.013,.00499,.0029,.00316
1,2020,1,30,.00315,-.0186,-.00633,.0104,-.000145,.0137,.00452,.00311,.0024
1,2020,1,31,.00305,-.0217,-.00715,.0114,.000145,.0147,.00404,.00365,.00177
1,2020,2,1,.0034,-.0224,-.00684,.0119,.00311,.0162,.00453,.00409,.00199
1,2020,2,2,.00384,-.0231,-.00641,.0124,.00608,.0181,.00514,.00472,.00214
1,2020,2,3,.00351,-.0238,-.00738,.0129,.00904,.0163,.00503,.00463,.00143
1,2020,2,4,.00305,-.0248,-.00806,.012,.0116,.0159,.00422,.00433,.000962
1,2020,2,5,.0025,-.0256,-.00898,.0105,.0147,.0157,.00331,.00428,.0000659
1,2020,2,6,.00205,-.0268,-.00898,.00941,.0182,.0148,.00215,.00401,-.000239
1,2020,2,7,.00183,-.0264,-.0089,.00705,.0211,.0136,.00237,.00386,-.000763
1,2020,2,8,.0014,-.0256,-.00842,.00804,.0213,.0119,.00243,.00364,-.00168
1,2020,2,9,.000641,-.0249,-.00903,.00904,.0216,.00963,.0016,.00287,-.00237
1,2020,2,10,.000368,-.0242,-.00877,.01,.0218,.00966,.00155,.00243,-.00254
1,2020,2,11,.000443,-.0235,-.00804,.0122,.0223,.01,.00227,.00251,-.00277
1,2020,2,12,.000552,-.023,-.0071,.0144,.0224,.0102,.00226,.0026,-.00258
1,2020,2,13,.000728,-.0225,-.00605,.0161,.0216,.0114,.00254,.00281,-.00249
