statefips,year,month,day,emp,emp31_33,emp44_45,emp48_49,emp62,emp72,emp_inclow,emp_incmiddle,emp_inchigh
1,2020,1,1,.,.,.,.,.,.,.,.,.
1,2020,1,2,.,.,.,.,.,.,.,.,.
1,2020,1,3,.,.,.,.,.,.,.,.,.
1,2020,1,4,.,.,.,.,.,.,.,.,.
1,2020,1,5,.,.,.,.,.,.,.,.,.
1,2020,1,6,.,.,.,.,.,.,.,.,.
1,2020,1,7,.,.,.,.,.,.,.,.,.
1,2020,1,8,-.0177,-.0181,-.0025,-.0273,-.018,-.0209,-.0204,-.0159,-.0134
1,2020,1,9,-.0142,-.0153,-.00104,-.0235,-.016,-.00845,-.0175,-.0117,-.00967
1,2020,1,10,-.0113,-.011,-.000221,-.0224,-.0137,-.00132,-.0142,-.0091,-.00752
1,2020,1,11,-.0104,-.00628,-.00231,-.018,-.0115,-.00771,-.013,-.00839,-.00731
1,2020,1,12,-.00851,-.00156,-.0013,-.0136,-.0092,-.00942,-.0104,-.00682,-.00708
1,2020,1,13,-.00652,.00316,-.0000948,-.0092,-.00693,-.0104,-.00771,-.00535,-.00587
1,2020,1,14,-.00434,.00788,-.0000948,-.00646,-.00396,-.00764,-.00518,-.00353,-.00388
1,2020,1,15,-.00238,.0128,-.000158,-.00261,-.00127,-.00526,-.00259,-.00237,-.00146
1,2020,1,16,-.000652,.0171,-.000537,.00124,.00156,-.00555,-.000734,-.00085,.000395
1,2020,1,17,-.000211,.0128,-.000221,.00343,.00325,-.00778,-.000559,-.000356,.00144
1,2020,1,18,.000394,.00746,.00275,-.00151,.00368,-.00266,.0000316,.000181,.00215
1,2020,1,19,-.000336,.00209,.0018,-.00646,.0041,-.00385,-.0011,-.000327,.00207
1,2020,1,20,-.00214,-.00327,-.00174,-.0114,.00453,-.0117,-.00336,-.00169,.000117
1,2020,1,21,.000375,-.00241,.00243,-.00646,.00424,-.00347,-.000213,.000247,.00259
1,2020,1,22,.00112,-.00735,.00313,-.00811,.00481,-.0034,.000765,.00105,.00225
1,2020,1,23,.00202,-.0116,.00351,-.00866,.00495,-.00176,.00155,.00187,.00385
1,2020,1,24,.00428,-.00778,.0042,-.00426,.00594,.00321,.004,.00397,.00607
1,2020,1,25,.0058,-.00349,.003,.00289,.00608,.00879,.00643,.00487,.00659
1,2020,1,26,.0076,.000804,.00319,.01,.00622,.0141,.00911,.00607,.00733
1,2020,1,27,.00846,-.000268,.00231,.0122,.00679,.0158,.0105,.00672,.00699
1,2020,1,28,.00901,.00359,.0013,.0172,.00665,.0174,.0118,.00679,.00628
1,2020,1,29,.00926,.00703,.000917,.0232,.00566,.0158,.0126,.00677,.00578
1,2020,1,30,.00928,.0105,-.000348,.0276,.00509,.0145,.0133,.00676,.00308
1,2020,1,31,.00902,.0113,-.000221,.0282,.0041,.0138,.013,.00685,.00197
1,2020,2,1,.00919,.0141,.00104,.0265,.0017,.0173,.0127,.0078,.000903
1,2020,2,2,.00886,.0169,.000664,.0249,-.000707,.0192,.012,.00807,-.000161
1,2020,2,3,.00843,.0197,.0000317,.0232,-.00311,.0203,.0112,.00805,-.000444
1,2020,2,4,.0072,.0218,-.00079,.021,-.00552,.0182,.00909,.00805,-.00291
1,2020,2,5,.00609,.0244,-.00212,.0188,-.00707,.0158,.00706,.00818,-.005
1,2020,2,6,.00527,.027,-.00199,.0177,-.00849,.0139,.00527,.00843,-.00608
1,2020,2,7,.00464,.0283,-.0013,.0166,-.0108,.0132,.00461,.00861,-.00944
1,2020,2,8,.00325,.0278,-.0000316,.0199,-.0122,.00648,.00322,.0073,-.0109
1,2020,2,9,.00213,.0274,.000917,.0232,-.0136,.00411,.00232,.00594,-.0118
1,2020,2,10,.000701,.027,.000727,.0265,-.015,.00091,.00117,.00462,-.0146
1,2020,2,11,.0001,.0263,.00199,.0265,-.0163,.000836,.000983,.00348,-.0146
1,2020,2,12,-.000129,.0259,.00389,.0276,-.0175,.0044,.00112,.00276,-.0143
1,2020,2,13,-.000922,.025,.00484,.0276,-.0191,.00686,.000562,.00185,-.0155
1,2020,2,14,-.00224,.0246,.00256,.0265,-.0199,.00923,-.000848,.000136,-.015
