year,month,day,cityid,merchants_all,merchants_ss40,merchants_ss60,merchants_ss65,merchants_ss70
2020,1,10,1,-.00563,-.0146,.02,-.00146,-.00794
2020,1,10,2,-.0067,-.0107,.0129,-.00921,-.00613
2020,1,10,3,-.0267,-.0244,-.0417,-.0418,-.017
2020,1,10,4,-.00688,-.012,-.0126,.00255,-.00498
2020,1,10,5,.00508,.00538,.025,-.00441,.00688
2020,1,10,6,.0028,-.00621,.0265,.00595,-.00591
2020,1,10,7,.0000668,-.00698,.0123,-.00777,.00762
2020,1,10,8,-.00032,-.00453,-.0124,-.00503,.00395
2020,1,10,9,.00997,-.00275,.0316,.011,.0154
2020,1,10,10,-.000433,-.00307,.00792,-.00408,.00674
2020,1,10,11,-.00178,-.0033,-.0274,.00865,.00796
2020,1,10,12,.000746,-.0157,.00518,.018,-.0101
2020,1,10,13,.00139,.000646,.044,-.0117,.000515
2020,1,10,14,-.0125,-.016,-.0137,.00946,-.00939
2020,1,10,15,-.0119,-.00739,.00786,-.0107,-.0153
2020,1,10,16,-.00399,-.00993,.009,-.00547,-.00577
2020,1,10,17,-.00102,-.00123,.00192,.000319,.00182
2020,1,10,18,-.0248,-.0229,-.00939,-.0462,-.0262
2020,1,10,19,-.00361,.0128,-.00255,-.00608,-.0189
2020,1,10,20,.000834,.0026,.0339,-.00493,-.0303
2020,1,10,21,.0173,.0196,-.000189,.0211,.00644
2020,1,10,22,-.00715,-.00489,.0068,.0081,-.0318
2020,1,10,23,-.0198,-.000861,-.0241,-.0089,-.0257
2020,1,10,24,.00316,.0091,.0159,.0132,.0151
2020,1,10,25,-.00224,-.000785,-.0409,.0235,-.00849
2020,1,10,26,.000562,.00794,-.0125,.0226,.00979
2020,1,10,27,.000612,-.00651,.0283,-.00233,.00791
2020,1,10,28,-.00185,.00292,.0154,-.0161,-.00787
2020,1,10,29,-.0181,-.0276,-.0175,-.0208,-.0204
2020,1,10,30,.0143,.0123,-.0172,.0184,.0295
2020,1,10,31,-.0302,-.0303,-.0386,-.043,-.0287
2020,1,10,32,-.00225,-.0152,-.0207,-.00897,.0106
2020,1,10,33,.00261,-.00362,.0161,.0185,-.00836
2020,1,10,34,.000973,-.00219,-.00707,-.00166,.00648
2020,1,10,35,.0137,.00125,.0256,.0179,.00296
2020,1,10,36,-.00336,-.00848,.0163,-.00701,-.00167
2020,1,10,37,-.00436,.000111,-.0194,-.0134,.00118
