year,month,day,cityid,revenue_all,revenue_ss40,revenue_ss60,revenue_ss65,revenue_ss70
2020,1,10,1,-.0298,-.106,.00572,-.0275,.0156
2020,1,10,2,.0146,.0609,-.0187,-.0374,.0211
2020,1,10,3,-.0511,-.117,-.0107,-.011,-.0377
2020,1,10,4,-.0542,-.0629,-.174,-.017,-.00281
2020,1,10,5,-.0147,-.00907,.0957,-.133,.00875
2020,1,10,6,-.0177,-.0745,.00324,-.0533,.0616
2020,1,10,7,-.0133,-.0729,.0177,-.00248,-.0226
2020,1,10,8,.0161,-.0811,.085,.0349,.0839
2020,1,10,9,-.00735,-.0688,.038,.00678,-.00625
2020,1,10,10,-.0564,-.0844,.0788,-.0696,-.0654
2020,1,10,11,-.0134,-.0651,.0414,-.00894,-.0237
2020,1,10,12,-.0727,-.124,.0843,-.243,-.0272
2020,1,10,13,-.0157,-.0143,-.0705,-.0488,.00598
2020,1,10,14,-.18,.0433,-.0471,-.536,.0455
2020,1,10,15,.0524,.0568,.149,-.0558,-.0487
2020,1,10,16,.00799,-.0274,-.03,.0184,-.055
2020,1,10,17,.0432,-.00371,.59,-.0464,.0345
2020,1,10,18,-.095,-.0782,-.0718,-.127,-.0529
2020,1,10,19,-.0295,-.0419,.0159,-.0866,.0171
2020,1,10,20,.00784,.034,-.0307,-.13,-.0283
2020,1,10,21,.12,.389,.12,-.0115,-.139
2020,1,10,22,.00609,-.0782,-.0264,.151,-.0174
2020,1,10,23,-.0246,.202,-.192,-.0298,-.0227
2020,1,10,24,-.0278,-.000707,-.0645,-.197,-.0488
2020,1,10,25,-.00728,-.0735,.09,.286,-.0254
2020,1,10,26,.00396,.0545,-.0024,-.0346,.0232
2020,1,10,27,-.0557,-.133,-.0192,-.0427,.0016
2020,1,10,28,-.0515,-.0292,-.0768,-.0944,-.0479
2020,1,10,29,.0325,-.116,.0814,.141,-.0377
2020,1,10,30,.0138,-.0491,.008,.0489,-.0136
2020,1,10,31,-.0354,-.031,.0876,-.00524,-.108
2020,1,10,32,-.0164,-.0218,-.0145,-.0538,-.0125
2020,1,10,33,-.363,.00327,-.073,-.623,-.107
2020,1,10,34,-.00187,.00278,.0938,.0231,.0309
2020,1,10,35,.0592,-.0452,.00642,-.0479,.101
2020,1,10,36,-.0882,.0659,-.168,-.144,-.154
2020,1,10,37,-.0321,-.03,-.0151,-.0161,-.0536
2020,1,10,38,.0497,.154,.00904,.0789,-.0753
2020,1,10,39,-.00474,-.0403,.0402,-.0125,-.0193
2020,1,10,40,-.0305,-.029,-.031,-.0322,-.0402
2020,1,10,41,-.0222,.00293,.0516,-.229,-.0347
2020,1,10,42,.015,.011,-.0115,.0542,-.079
2020,1,10,43,.0057,.0665,-.0587,-.0962,-.0405
2020,1,10,44,-.036,-.00465,-.0733,-.0607,-.0411
2020,1,10,45,-.0475,-.046,-.0631,-.0764,-.0459
2020,1,10,46,-.0647,-.0769,-.0959,-.113,-.0594
2020,1,10,47,-.0218,.0108,-.0411,-.0177,-.000254
2020,1,10,48,-.0523,-.17,.0189,-.0315,.0166
2020,1,10,49,.0585,.0816,-.0826,.0879,.0771
2020,1,10,50,-.00146,-.026,.00482,.0027,.0161
2020,1,10,51,.0411,.0158,.151,-.0525,-.00271
2020,1,10,52,-.01,-.0452,.0728,.0911,-.0555
2020,1,10,53,-.0466,-.0686,-.0976,-.00648,.0244
2020,1,11,1,-.0146,-.0768,.0149,-.00243,.0145
2020,1,11,2,.0308,.0999,.00206,-.0313,.023
2020,1,11,3,-.0531,-.119,-.0115,-.000557,-.0484
2020,1,11,4,-.0187,.0104,-.175,.105,-.00612
2020,1,11,5,.014,.00524,.105,-.0807,.0126
2020,1,11,6,-.0233,-.084,.00628,-.0635,.0552
2020,1,11,7,-.0235,-.022,-.00095,-.0492,-.00815
2020,1,11,8,.0297,-.074,.115,.0189,.123
2020,1,11,9,-.0173,-.115,.0506,.0171,-.00774
2020,1,11,10,-.0592,-.0713,.0693,-.0784,-.0886
2020,1,11,11,-.0201,.0153,.0317,.0731,-.0109
2020,1,11,12,-.0504,-.0824,.0722,-.201,.00245
2020,1,11,13,-.026,-.0238,-.12,-.0396,-.00967
2020,1,11,14,-.181,.052,-.0574,-.546,.06
2020,1,11,15,.0597,.086,.0903,-.0371,-.0396
2020,1,11,16,.00852,.0111,-.0416,.0449,-.0324
2020,1,11,17,.0606,-.0109,.807,-.0485,.0184
2020,1,11,18,-.085,-.0806,-.107,-.0452,-.0524
2020,1,11,19,.00257,.0141,.0424,-.0475,.0143
2020,1,11,20,-.0237,.00753,-.0416,-.126,-.0224
2020,1,11,21,.106,.379,.0806,.00378,-.125
2020,1,11,22,-.0679,-.0838,-.00395,-.102,.0108
2020,1,11,23,.0215,.259,.0473,-.0175,-.0572
2020,1,11,24,-.00432,.0133,-.0464,-.159,-.0516
2020,1,11,25,.0543,-.0106,.185,.297,.027
2020,1,11,26,-.0211,.0222,.0145,-.033,-.0075
2020,1,11,27,-.0547,-.145,.048,-.0657,-.0181
2020,1,11,28,-.0213,-.00926,-.0612,-.0148,.0248
2020,1,11,29,.0427,-.0967,.0307,.173,.00242
2020,1,11,30,.000941,-.0774,.000596,.0666,-.0572
2020,1,11,31,-.067,-.0894,.0556,.0271,-.166
2020,1,11,32,.00473,-.0223,.0764,-.00326,-.0246
2020,1,11,33,-.323,.0103,-.0366,-.579,-.0889
2020,1,11,34,.0327,.021,.118,.0825,.0441
2020,1,11,35,.0761,-.0366,.0199,-.0468,.0757
2020,1,11,36,-.0691,.125,-.135,-.133,-.148
2020,1,11,37,-.0597,-.0845,-.0216,.0228,-.0891
2020,1,11,38,.0653,.195,-.0715,.111,-.0942
2020,1,11,39,.0127,-.0308,.0717,.0402,-.0113
2020,1,11,40,-.0188,-.0585,.013,-.0114,-.0115
2020,1,11,41,.0122,.0701,.0142,-.0497,-.0353
2020,1,11,42,.0237,.0392,-.026,.108,-.106
2020,1,11,43,.00324,.0763,-.0634,-.097,-.027
2020,1,11,44,-.0783,.056,-.072,-.277,-.0608
2020,1,11,45,-.039,-.0589,.0332,-.0846,-.0591
2020,1,11,46,-.0237,-.0498,-.0331,-.0732,-.0319
2020,1,11,47,-.0228,.00146,-.0312,.0276,.00486
2020,1,11,48,-.0178,-.119,.0147,.0735,.00712
2020,1,11,49,.0665,.143,-.0349,.0658,.0235
2020,1,11,50,-.00229,-.0238,-.0054,.0167,-.00683
2020,1,11,51,.076,.0626,.296,-.0278,.0102
2020,1,11,52,.0149,-.00781,.101,.0824,-.0379
2020,1,11,53,-.0493,-.126,-.0758,.0495,-.00915
2020,1,12,1,-.0129,-.0746,.0185,-.00178,.0181
2020,1,12,2,.02,.09,-.00811,-.0377,.013
2020,1,12,3,-.0483,-.0886,-.027,-.0106,-.049
2020,1,12,4,-.0328,-.0183,-.169,.105,-.0254
2020,1,12,5,.0382,.002,.111,-.0174,.0217
2020,1,12,6,-.0308,-.085,.0162,-.0756,.0236
2020,1,12,7,.0312,-.0115,.0104,.086,-.0113
2020,1,12,8,.0149,-.018,.06,.0139,.0627
2020,1,12,9,-.0159,-.0895,.059,.0166,-.0194
2020,1,12,10,-.0506,-.0708,.0815,-.076,-.0554
2020,1,12,11,-.0188,.0128,.0399,.0858,-.0085
2020,1,12,12,-.0549,-.0859,.0573,-.2,-.0104
2020,1,12,13,-.0285,-.0238,-.121,-.0537,-.00805
2020,1,12,14,-.183,.0429,-.0434,-.534,.0349
2020,1,12,15,.0412,.0636,.0309,-.0413,.00885
2020,1,12,16,.0206,.0293,-.0386,.0286,-.028
2020,1,12,17,.0709,.00274,.838,-.0454,.0239
2020,1,12,18,-.0402,-.00951,-.114,-.0385,.017
2020,1,12,19,.00406,.0212,.00671,-.0484,.0197
2020,1,12,20,-.0251,.00278,-.0333,-.119,-.0414
2020,1,12,21,.102,.339,.0751,.0183,-.0897
2020,1,12,22,-.0575,-.0823,.00518,-.0808,.0328
2020,1,12,23,.0703,.284,.38,.02,-.1
2020,1,12,24,-.00323,.00689,-.04,-.118,-.0491
2020,1,12,25,.0527,-.00184,.17,.278,.0245
2020,1,12,26,-.0201,.0233,.00865,-.0319,-.0114
2020,1,12,27,-.0252,-.138,.0567,-.0637,.0632
2020,1,12,28,-.0261,-.0158,-.0805,.00636,.0652
2020,1,12,29,.0544,-.11,.0488,.179,.0172
2020,1,12,30,.00345,-.0643,.000173,.0859,-.0558
2020,1,12,31,-.0765,-.107,.0694,.0112,-.169
2020,1,12,32,.00589,-.0209,.124,.0213,-.0534
2020,1,12,33,-.273,.0027,-.0172,-.498,-.0898
2020,1,12,34,.0276,.00252,.115,.0809,.0232
2020,1,12,35,.0962,.0033,.0454,-.0454,.0377
2020,1,12,36,-.0634,.1,-.155,-.136,-.0798
2020,1,12,37,-.0141,-.0255,.0127,.0165,-.037
2020,1,12,38,.0556,.186,-.0815,.0784,-.092
2020,1,12,39,.0201,-.0181,.0768,.0347,.00401
2020,1,12,40,-.00373,-.0459,.0264,-.0187,.05
2020,1,12,41,-.0131,.0164,.00984,-.0531,-.052
2020,1,12,42,.0286,.0513,-.0183,.11,-.12
2020,1,12,43,.0032,.0654,-.0567,-.093,-.0331
2020,1,12,44,-.108,.0313,-.0749,-.447,-.0205
2020,1,12,45,-.022,-.0258,.0461,-.0833,-.0449
2020,1,12,46,-.043,-.05,-.0741,-.0932,-.0226
2020,1,12,47,-.0299,.0114,-.041,.0253,-.0171
2020,1,12,48,-.0101,-.0625,-.00672,.0912,-.00865
2020,1,12,49,.0499,.148,-.0242,.0334,-.0208
2020,1,12,50,.00141,-.00146,-.00017,.0091,-.0215
2020,1,12,51,.0695,.0444,.314,-.0235,-.0058
2020,1,12,52,.0333,.031,.0959,.0741,.00576
2020,1,12,53,-.0494,-.113,-.0691,.0313,-.0383
2020,1,13,1,-.0233,-.0412,.00565,-.0895,.00187
2020,1,13,2,.00715,.0934,-.0333,-.08,.0009
2020,1,13,3,-.0728,-.0879,-.0236,-.107,-.0642
2020,1,13,4,-.0452,-.0321,-.0529,-.0463,-.036
2020,1,13,5,.0342,-.00568,.0851,-.0318,.0314
2020,1,13,6,-.051,-.0857,.00048,-.0906,-.0152
2020,1,13,7,.0252,.00859,.00241,.0699,-.00757
2020,1,13,8,-.015,-.0144,-.0148,-.0449,.0347
2020,1,13,9,-.0501,-.0833,.0067,-.0781,-.0233
2020,1,13,10,-.041,-.0528,.0772,-.0944,-.022
2020,1,13,11,-.0345,.0157,.028,-.0574,-.00483
2020,1,13,12,-.0424,-.103,.0728,-.125,-.0179
2020,1,13,13,-.0867,-.0969,-.169,-.148,-.0269
2020,1,13,14,-.181,.034,-.0132,-.52,.0176
2020,1,13,15,.0428,.102,-.00304,-.092,.00331
2020,1,13,16,-.0000126,.00636,-.0565,-.0551,-.0642
2020,1,13,17,-.0507,.000234,-.187,-.0955,.0321
2020,1,13,18,-.0477,.0183,-.132,-.0941,.0183
2020,1,13,19,.00876,.0332,.0503,-.0728,-.000806
2020,1,13,20,-.0278,-.00891,-.0642,-.141,-.0388
2020,1,13,21,.118,.363,.0793,-.0113,-.0294
2020,1,13,22,-.0446,-.0955,-.00922,-.0113,.0278
2020,1,13,23,.108,.365,.434,-.00438,-.0409
2020,1,13,24,-.0091,.027,-.049,-.0584,-.073
2020,1,13,25,.0428,.0239,.153,.0805,.00511
2020,1,13,26,-.0415,.00823,-.0243,-.0815,-.0365
2020,1,13,27,-.0322,-.129,.0115,-.063,.048
2020,1,13,28,-.0271,-.0228,-.0583,-.0234,.0336
2020,1,13,29,.0731,-.0796,.0566,.0768,.0748
2020,1,13,30,-.00872,-.0246,-.0316,.0279,-.0626
2020,1,13,31,.000389,-.0845,.0699,-.0354,-.186
2020,1,13,32,.00575,-.0119,.144,-.0124,-.0546
2020,1,13,33,-.155,.00158,-.0354,-.299,-.0713
2020,1,13,34,-.00534,-.0205,.00192,.0138,-.000607
2020,1,13,35,.0792,-.0199,-.0134,.0316,-.022
2020,1,13,36,-.0813,.107,-.192,-.139,-.105
2020,1,13,37,-.0582,.00042,-.0307,-.111,-.173
2020,1,13,38,.0115,.157,-.0974,-.208,-.0711
2020,1,13,39,.0115,-.0064,.0959,-.0116,.00209
2020,1,13,40,-.0241,-.0842,.00962,-.0565,.0295
2020,1,13,41,-.0308,-.0128,-.0236,-.0514,-.0612
2020,1,13,42,.0152,.0681,-.0205,-.0327,-.128
2020,1,13,43,-.023,.0527,-.0959,-.132,-.04
2020,1,13,44,-.108,.0711,-.0627,-.467,-.0317
2020,1,13,45,-.0156,-.0251,.109,-.0793,-.0542
2020,1,13,46,-.0467,-.0438,-.0806,-.049,-.0221
2020,1,13,47,-.0241,-.0159,-.0574,-.00938,-.00366
2020,1,13,48,-.0314,-.014,-.0712,-.076,-.0166
2020,1,13,49,.0447,.124,-.0471,-.0382,-.0201
2020,1,13,50,-.0261,-.0306,.00928,-.0174,-.0355
2020,1,13,51,.0463,-.00454,.286,-.0504,.0212
2020,1,13,52,.0351,.0351,.103,.0434,.0585
2020,1,13,53,-.0874,-.153,-.109,-.0647,-.0634
2020,1,14,1,.0126,.0605,.0119,-.0296,-.0183
2020,1,14,2,-.00574,.0502,-.0409,-.0889,.00834
2020,1,14,3,-.0644,-.083,-.0363,-.049,-.0565
2020,1,14,4,-.04,-.0317,-.0381,-.0383,-.0273
2020,1,14,5,.0643,-.0157,.0493,.128,.0232
2020,1,14,6,-.042,-.049,-.0282,-.0874,-.0308
2020,1,14,7,.0416,.0691,-.00944,.0905,.0147
2020,1,14,8,-.011,.00227,-.0133,-.00334,.0175
2020,1,14,9,-.0651,-.101,-.0409,-.0314,-.0559
2020,1,14,10,-.0215,-.0462,.0888,-.0601,-.00538
2020,1,14,11,-.024,.00231,.0338,.0221,.0216
2020,1,14,12,.078,.0149,.0315,.336,.0237
2020,1,14,13,-.0663,-.0932,-.114,-.0394,-.0316
2020,1,14,14,-.164,.0351,.0428,-.5,.0289
2020,1,14,15,.0556,.128,.0383,-.148,.00697
2020,1,14,16,.0237,-.0112,.0305,.00477,-.0613
2020,1,14,17,-.0207,.0178,-.252,.00225,.0301
2020,1,14,18,-.0311,-.0204,-.101,-.0446,.0415
2020,1,14,19,.0286,.0718,.0258,.0298,-.0121
2020,1,14,20,-.0288,-.0449,-.0624,-.0354,-.0192
2020,1,14,21,.103,.421,.0325,-.282,.0122
2020,1,14,22,-.0357,-.0579,-.00816,-.0345,.0312
2020,1,14,23,.194,.706,.37,.0195,-.0328
2020,1,14,24,.0278,.0403,-.00301,.294,-.0921
2020,1,14,25,.0421,-.00894,.0883,-.0614,.0207
2020,1,14,26,-.0289,.00516,-.00692,-.0218,-.0079
2020,1,14,27,-.00614,-.0744,-.0775,.0173,.0439
2020,1,14,28,-.0482,-.104,-.0691,-.0817,.0466
2020,1,14,29,.118,-.00323,.11,.0233,.108
2020,1,14,30,-.0172,-.0409,-.0229,.0376,-.0573
2020,1,14,31,.0027,-.0599,-.0512,-.0295,-.168
2020,1,14,32,.000145,-.0167,.0473,-.0134,-.046
2020,1,14,33,.0623,-.0109,-.037,.124,.00618
2020,1,14,34,-.0043,.00426,.0932,-.0412,-.149
2020,1,14,35,.0541,.0159,-.0606,-.0466,-.00104
2020,1,14,36,-.042,.0553,-.0942,-.00289,-.0975
2020,1,14,37,-.0125,-.0318,-.0288,-.136,-.0246
2020,1,14,38,.0304,.154,-.0966,-.0612,-.057
2020,1,14,39,.0206,.0462,.0595,.00971,-.0038
2020,1,14,40,.00367,-.0468,.0229,-.0127,.0614
2020,1,14,41,-.00867,-.0187,-.035,.0776,-.0506
2020,1,14,42,-.0115,.0657,-.11,-.0307,-.121
2020,1,14,43,-.0153,.0191,-.0434,-.0397,-.014
2020,1,14,44,-.103,.0659,-.0112,-.479,-.03
2020,1,14,45,-.0267,-.0368,.0975,-.101,-.0262
2020,1,14,46,.0351,.0404,.162,-.0443,-.0297
2020,1,14,47,-.00936,-.0336,.0154,.0127,.00932
2020,1,14,48,-.00669,.0514,-.0937,.0369,-.00413
2020,1,14,49,-.00354,.0872,-.0494,-.0536,-.167
2020,1,14,50,-.0019,.0000107,.017,.00654,-.0556
2020,1,14,51,.0743,.0386,.311,-.102,.00878
2020,1,14,52,.0433,.0439,.114,.023,.0665
2020,1,14,53,-.0395,-.124,.0272,-.048,-.0865
2020,1,15,1,.0313,.0923,.0321,-.00888,-.00971
2020,1,15,2,.00294,.0387,-.0163,-.0237,-.0012
2020,1,15,3,-.0554,-.0782,-.0323,-.02,-.0609
2020,1,15,4,-.0487,-.0298,-.0912,-.034,-.0477
2020,1,15,5,.0729,-.00786,.0417,.178,.0415
2020,1,15,6,-.0194,-.0244,-.0128,-.0672,-.00444
2020,1,15,7,.0288,.0518,-.0509,.0909,.0102
2020,1,15,8,.0229,.024,.0124,-.0014,.0567
2020,1,15,9,-.0553,-.097,-.05,.0247,-.0409
2020,1,15,10,-.0241,-.0504,.0827,-.0492,-.00473
2020,1,15,11,-.00897,.0392,.0387,.0365,.0336
