year,month,day_endofweek,cityid,spend_acf,spend_aer,spend_all,spend_apg,spend_grf,spend_hcs,spend_tws
2020,1,12,1,-.0046,.0156,-.00459,.0174,.00877,-.0449,-.0116
2020,1,12,2,-.000936,-.0262,-.00938,-.0296,-.0176,.0539,-.0347
2020,1,12,3,-.126,-.0171,-.00249,-.0369,.0173,-.0206,.0358
2020,1,12,4,-.0435,-.18,-.0148,-.0246,.00636,.0356,-.0281
2020,1,12,5,-.00969,-.0511,-.0168,-.0061,.0147,-.00785,-.00633
2020,1,12,6,.0234,.012,.00189,.00851,.0239,-.118,.0242
2020,1,12,7,-.0438,-.00687,-.0181,.0447,.0419,.0276,.0327
2020,1,12,8,-.00498,-.118,-.026,-.071,.00455,.0138,-.0403
2020,1,12,9,-.0444,.0158,.0115,-.000909,.119,.0306,-.0194
2020,1,12,10,-.0174,.0502,.00112,.0042,.00566,-.0366,.0363
2020,1,12,11,.00982,-.0793,-.00212,-.0138,.0356,-.00769,-.105
2020,1,12,12,.013,.149,.0132,-.000814,.0198,-.0347,-.00136
2020,1,12,13,.0131,-.0733,.0137,-.0484,.0109,.0624,.029
2020,1,12,14,.0388,-.0614,.011,.0171,-.0309,.0572,.038
2020,1,12,15,-.0211,-.145,.0244,.147,.0159,.433,.0264
2020,1,12,16,-.0435,-.0332,.00637,-.0254,.0181,-.0115,.0223
2020,1,12,17,-.0528,-.105,-.018,.00562,.0152,-.147,-.0265
2020,1,12,19,.0021,-.0609,.00633,-.00637,.0109,-.0131,.0601
2020,1,12,20,.0128,.023,.0167,.14,.0146,-.132,-.0519
2020,1,12,21,-.065,.149,.0153,.00206,.0309,.0497,.0129
2020,1,12,22,.000443,-.00965,-.0249,-.0405,-.00879,.117,-.00598
2020,1,12,23,.0289,.122,.00139,.0131,-.0374,.00436,.0822
2020,1,12,24,.0266,-.0826,.0261,.0638,.0751,.0141,.0146
2020,1,12,25,-.0133,.0861,.0145,.0634,-.0178,-.208,.0584
2020,1,12,26,.0311,-.0525,-.0161,.0703,.000182,.0141,-.043
2020,1,12,27,.0437,.195,-.0126,-.0685,.0121,.764,-.129
2020,1,12,28,.0231,.0202,-.00601,-.0681,.00885,-.0677,.0392
2020,1,12,29,.00538,.00964,-.0105,.016,.0178,-.112,-.0524
2020,1,12,30,-.102,.293,-.0415,-.0481,-.0582,-.102,-.137
2020,1,12,31,-.128,-.161,-.0464,-.109,.0287,-.153,.152
2020,1,12,32,.000388,-.00649,-.0408,.00223,-.101,.0737,-.109
2020,1,12,33,-.0255,-.0575,.00216,-.0056,-.016,-.0334,.103
2020,1,12,34,.0203,.0243,.0122,.000829,.0141,-.0258,.105
2020,1,12,35,-.0281,.0233,-.00496,-.00719,.00278,-.109,.0097
2020,1,12,36,-.0347,.184,.0225,.0645,.0222,.0524,.035
2020,1,12,37,.0613,-.182,.0267,-.121,.0638,-.0409,-.0444
2020,1,12,38,-.00629,-.0543,-.0157,-.00834,.0146,-.0159,.0153
2020,1,12,39,.0161,-.0137,.0174,.0576,.00259,.0527,.0103
2020,1,12,40,-.0514,-.0181,-.00415,-.0148,.018,-.109,.022
2020,1,12,41,.00381,.194,.00892,-.0049,-.000159,.0139,-.0392
2020,1,12,42,-.0254,-.0719,-.0156,-.0022,.0257,-.0166,.021
2020,1,12,43,-.0363,-.173,-.0247,.0257,-.00623,-.0897,.0238
2020,1,12,44,-.0459,.164,-.00246,.0481,.0285,.205,-.0138
2020,1,12,45,-.00194,.202,.00777,.0401,.0276,.226,-.184
2020,1,12,46,.0473,.0617,.0409,.0471,-.0193,.0125,.0207
2020,1,12,47,-.0292,-.264,-.0157,.0404,-.00574,-.148,-.0139
2020,1,12,48,-.0369,-.00518,-.0155,.00134,-.00808,-.0276,.0144
2020,1,12,49,-.00113,-.0758,.00434,.112,-.0000777,.0346,.0238
2020,1,12,50,-.00228,-.0227,-.0445,.0031,.00668,.0425,-.0262
2020,1,12,51,-.0832,-.194,-.013,-.00532,-.00678,.113,.0835
2020,1,12,52,-.0467,-.198,-.00237,.141,-.00857,-.00486,-.102
2020,1,12,53,-.0562,-.0871,-.00648,-.0166,.00432,.0798,-.00118
2020,1,19,1,.000476,-.0296,.0143,.000157,-.0222,.0216,.0262
2020,1,19,2,-.000518,-.0127,.00949,-.0197,-.00277,.00996,.0431
2020,1,19,3,.0114,.264,.0225,-.0106,-.0241,.0909,-.00427
2020,1,19,4,.00756,.0492,.0135,.0206,-.0185,.0195,.0229
2020,1,19,5,-.00835,.021,.0183,-.0273,-.0219,.00553,.0445
2020,1,19,6,.0158,.0758,.0242,.02,-.0236,.0548,.0319
2020,1,19,7,.0265,-.0454,.0226,-.00304,-.0391,.0591,.0156
2020,1,19,8,.0238,.0703,.0435,.00159,-.0212,.0749,.0571
2020,1,19,9,-.00662,.105,-.0363,-.00285,-.0906,-.169,.0625
2020,1,19,10,.0113,.109,.0168,-.0272,-.0235,.0116,.032
2020,1,19,11,.0145,.186,.0251,.0378,-.0454,.0471,-.048
2020,1,19,12,.0128,-.0328,.000723,-.0338,-.00961,.0635,.016
2020,1,19,13,.0341,-.0666,.000401,-.0226,.018,.0106,-.0287
2020,1,19,14,.00211,-.0314,-.00585,-.027,-.00775,-.0387,.0272
2020,1,19,15,.0245,.131,.00161,-.0145,-.00373,.0414,.03
2020,1,19,16,.0163,.0824,.019,-.0388,-.0391,.0151,.0484
2020,1,19,17,.0302,.109,.00509,-.0243,-.026,.0945,.0278
2020,1,19,19,.0203,.165,.0326,.0213,-.00292,.0242,.0348
2020,1,19,20,.00894,.366,-.0338,-.0967,-.0823,-.0303,-.0487
2020,1,19,21,.0858,-.092,.0335,-.0482,-.00611,.0821,.0512
2020,1,19,22,-.0248,-.00385,.0303,-.0815,-.0339,.0494,.151
2020,1,19,23,-.0352,.0254,-.00268,.00598,-.00988,.00302,-.0325
2020,1,19,24,-.0344,.121,-.0235,-.0343,-.0579,-.00296,-.0257
2020,1,19,25,.0561,-.0534,.0142,.0421,-.0398,-.0205,.0276
