year,month,day_endofweek,countyfips,spend_all
2020,1,12,1001,-.0831
2020,1,12,1003,-.0036
2020,1,12,1009,.0303
2020,1,12,1015,.0156
2020,1,12,1019,-.0812
2020,1,12,1021,-.0668
2020,1,12,1031,.0821
2020,1,12,1033,.0421
2020,1,12,1037,-.013
2020,1,12,1039,-.084
2020,1,12,1041,-.0115
2020,1,12,1043,-.0268
2020,1,12,1045,-.0288
2020,1,12,1047,-.0437
2020,1,12,1049,-.043
2020,1,12,1051,-.00069
2020,1,12,1053,.0522
2020,1,12,1055,-.0315
2020,1,12,1059,.0153
2020,1,12,1061,-.0003
2020,1,12,1067,-.115
2020,1,12,1069,.000835
2020,1,12,1071,.0496
2020,1,12,1073,.00183
2020,1,12,1075,-.0154
2020,1,12,1077,.0279
2020,1,12,1079,-.0942
2020,1,12,1081,.0231
2020,1,12,1083,.0616
2020,1,12,1089,-.0383
2020,1,12,1093,-.00461
2020,1,12,1095,.0462
2020,1,12,1097,.0313
2020,1,12,1101,.00452
2020,1,12,1103,.08
2020,1,12,1105,.0235
2020,1,12,1109,.0565
2020,1,12,1111,.0629
2020,1,12,1113,-.0215
2020,1,12,1115,.0208
2020,1,12,1117,.012
2020,1,12,1121,.0413
2020,1,12,1123,-.0213
2020,1,12,1125,.0198
2020,1,12,1127,.041
2020,1,12,1133,-.0237
2020,1,12,2020,.025
2020,1,12,2110,.17
2020,1,12,2122,-.124
2020,1,12,2130,.385
2020,1,12,2150,-.0143
2020,1,12,2170,.00362
2020,1,12,2220,-.125
2020,1,12,2261,-.175
2020,1,12,4001,.134
2020,1,12,4003,.0334
2020,1,12,4005,-.0236
2020,1,12,4007,-.0601
2020,1,12,4009,.0265
2020,1,12,4012,.099
2020,1,12,4013,-.0168
2020,1,12,4015,-.0219
2020,1,12,4017,-.0287
2020,1,12,4019,.00216
2020,1,12,4021,.0225
2020,1,12,4023,-.165
2020,1,12,4025,-.017
2020,1,12,4027,.0251
2020,1,12,5001,-.0201
2020,1,12,5003,-.303
2020,1,12,5005,.0836
2020,1,12,5007,-.0455
2020,1,12,5015,-.113
2020,1,12,5023,.0106
