year,month,day_endofweek,spend_acf,spend_aer,spend_all,spend_apg,spend_grf,spend_hcs,spend_tws,spend_all_inchigh,spend_all_inclow,spend_all_incmiddle
2020,1,12,-.00739,-.00606,-.00217,-.00131,.00652,-.0134,.01,-.00159,-.00103,-.00302
2020,1,19,.00317,.0535,.00815,-.0143,-.0167,.0154,.0127,.00891,.0162,.00551
2020,1,26,-.000142,-.00405,.00581,.00318,.00922,.00391,.00761,.00661,.00361,.00612
2020,2,2,.00414,-.0349,-.0112,.0127,.000898,-.00529,-.029,-.0133,-.0176,-.00814
2020,2,9,-.0202,.0548,.00941,-.0137,.0127,.0052,-.0246,.0133,.00732,.00684
2020,2,16,-.0158,.0243,.00117,-.00664,.0135,.00256,-.0303,.00262,-.00783,.00244
2020,2,23,-.0161,-.0151,.00054,-.0116,-.00403,.00102,-.055,.013,-.0256,-.0000634
2020,3,1,-.0312,-.132,-.0255,-.0072,.0538,-.0367,-.142,-.0246,-.0384,-.0229
2020,3,8,-.061,-.0736,.00641,-.0222,.144,-.00942,-.159,.00478,.0134,.0048
2020,3,15,-.187,-.331,-.0151,-.11,.538,-.0644,-.283,-.0251,-.0128,-.00942
2020,3,22,-.555,-.578,-.163,-.418,.481,-.319,-.533,-.201,-.129,-.148
2020,3,29,-.664,-.728,-.33,-.523,.0787,-.549,-.687,-.365,-.293,-.318
2020,4,5,-.657,-.716,-.301,-.471,.153,-.54,-.679,-.344,-.25,-.288
2020,4,12,-.645,-.721,-.323,-.458,.105,-.57,-.728,-.358,-.286,-.311
2020,4,19,-.594,-.702,-.239,-.384,.0921,-.485,-.698,-.318,-.139,-.216
2020,4,26,-.582,-.733,-.23,-.36,.158,-.519,-.693,-.29,-.16,-.21
2020,5,3,-.55,-.69,-.19,-.309,.199,-.483,-.652,-.256,-.113,-.169
2020,5,10,-.512,-.637,-.159,-.278,.179,-.397,-.642,-.222,-.0823,-.14
2020,5,17,-.487,-.599,-.157,-.23,.13,-.318,-.632,-.217,-.0848,-.139
2020,5,24,-.447,-.574,-.124,-.182,.132,-.242,-.594,-.184,-.0571,-.103
2020,5,31,-.411,-.595,-.142,-.182,.0803,-.231,-.578,-.203,-.0706,-.121
2020,6,7,-.386,-.472,-.0911,-.164,.112,-.163,-.521,-.151,-.0207,-.0707
2020,6,14,-.357,-.533,-.0956,-.0979,.0765,-.146,-.497,-.145,-.0375,-.0789
2020,6,21,-.316,-.424,-.0472,-.0114,.161,-.112,-.478,-.0965,.00815,-.0293
2020,6,28,-.337,-.504,-.106,-.0499,.0579,-.153,-.487,-.144,-.0658,-.0917
2020,7,5,-.353,-.498,-.0545,-.0459,.0844,.0418,-.458,-.0981,-.00315,-.0402
2020,7,12,-.319,-.476,-.0638,-.034,.103,-.116,-.489,-.0987,-.0211,-.053
