year,month,day,statefips,spend_acf,spend_aer,spend_all,spend_all_inchigh,spend_all_inclow,spend_all_incmiddle,spend_apg,spend_grf,spend_hcs,spend_tws
2020,1,24,1,-.00137,.034,.00683,.0198,.000972,.00817,-.0217,.00713,.0556,-.0184
2020,1,24,2,.00486,.0552,-.0242,-.00965,.,-.0652,.155,-.0326,-.151,-.0709
2020,1,24,4,-.0088,.0467,-.0122,-.00783,-.00935,-.0157,-.0125,-.0119,.0216,-.045
2020,1,24,5,.0251,-.0511,-.00715,-.00627,-.00206,-.01,.00844,-.0282,.0072,.00273
2020,1,24,6,.00392,-.00404,.00812,.00715,.0125,.00907,-.0114,.0162,.0196,-.00433
2020,1,24,8,.00475,-.0329,.0135,.0135,.00273,.0155,.0163,.0343,-.00505,.0168
2020,1,24,9,.0392,-.0139,-.00537,-.0159,-.00123,.0187,-.0173,.0043,.0322,.0352
2020,1,24,10,-.032,-.0532,-.0063,.000348,-.0332,-.00839,-.0767,-.0214,.13,.0377
2020,1,24,11,-.000389,-.00741,-.00333,.00306,-.0474,-.0065,-.0504,-.00668,.137,.00572
2020,1,24,12,-.0197,-.0443,-.0146,-.013,-.0247,-.0111,-.00991,-.0114,-.0177,-.00564
2020,1,24,13,-.0122,-.0969,-.0136,-.0249,-.012,-.00734,.000568,-.00102,-.0179,.0164
2020,1,24,15,.00951,-.0849,.0122,-.00256,.108,.0314,-.00419,-.013,.151,-.00481
2020,1,24,16,-.000871,.0454,-.0141,-.0471,-.0182,-.0112,-.00825,-.00312,.0157,-.0276
2020,1,24,17,.000601,-.179,-.0314,-.0415,-.0277,-.025,-.0438,-.0309,-.0346,-.0578
2020,1,24,18,.0106,-.00687,-.0135,-.0525,-.000123,-.00755,.0496,-.0331,-.105,-.0169
2020,1,24,19,-.0115,.0398,-.0124,-.0274,.00925,-.00941,-.0033,-.0495,-.0184,-.0485
2020,1,24,20,.0763,.0289,.0329,.0708,.0629,.0155,.105,.016,-.0796,.0399
2020,1,24,21,.0196,-.00917,-.00518,-.000373,-.00413,-.00436,.0146,-.0212,-.0524,-.0506
2020,1,24,22,.0133,-.308,.00323,-.0096,-.023,.0187,.0168,.00103,.0646,-.0358
2020,1,24,23,.0388,.00588,.0125,-.035,.00664,.0209,.0774,-.00677,.00738,.0128
2020,1,24,24,-.0406,-.0786,-.0166,-.026,.0237,-.00597,-.00833,-.0288,.00114,.019
2020,1,24,25,.0253,-.052,-.00393,-.00752,-.0248,.00457,.0356,-.0322,.0385,-.0396
2020,1,24,26,-.0202,-.0507,-.0403,-.0154,-.0418,-.0447,-.0348,-.055,-.0985,-.0319
2020,1,24,27,-.0365,-.046,-.0321,-.0359,.00909,-.0306,-.0282,-.0719,-.0439,-.0383
2020,1,24,28,-.00599,-.0334,.00425,-.0153,-.00264,.0239,.00139,.0207,-.0424,.00105
2020,1,24,29,-.069,-.0947,-.0166,-.0536,-.0345,.00463,-.0119,-.00253,-.0228,-.0153
2020,1,24,30,-.0206,.133,.00121,.,.0133,.000915,.0447,.0278,-.121,-.00914
2020,1,24,31,.0494,-.0514,.0169,.0135,.0655,.0115,-.00173,.0172,.0186,.00715
2020,1,24,32,-.00974,-.0886,-.00603,-.0166,.0121,-.00579,-.00772,.0118,-.0711,.0105
2020,1,24,33,.071,.0185,.0197,.0124,.135,.0241,.0132,-.0029,-.016,-.0406
2020,1,24,34,-.00731,.015,-.00537,-.00759,.00664,-.00402,-.0074,-.0201,-.0472,.00661
2020,1,24,35,-.0154,.118,.00416,.0379,-.00778,.00581,.0464,.00487,-.0245,.0373
2020,1,24,36,.00198,-.036,-.00627,-.00386,.00058,-.0101,.0149,-.0222,-.0288,.0598
2020,1,24,37,-.0125,-.0368,-.0126,-.00956,-.0139,-.0136,-.00719,-.00898,.0204,-.00404
