year,month,day_endofweek,statefips,spend_acf,spend_aer,spend_all,spend_apg,spend_grf,spend_hcs,spend_tws,spend_all_inchigh,spend_all_inclow,spend_all_incmiddle
2020,1,12,1,-.0263,.0347,.00825,.00476,.0216,.00219,.0305,-.00485,.00815,.00825
2020,1,12,2,.0408,.148,.00407,-.0849,-.0135,.286,.109,.,.27,-.0655
2020,1,12,4,-.0135,-.0725,-.0123,-.0102,.00973,-.0129,.0103,-.0298,-.0111,-.00226
2020,1,12,5,-.0235,-.112,-.0375,-.0701,.0137,-.0834,.0147,-.152,-.0589,-.0165
2020,1,12,6,.00062,.0493,-.0017,.00296,.00777,-.0355,.00365,.00064,-.0104,-.00417
2020,1,12,8,.00221,-.0108,.00732,.00641,.0102,-.0391,-.00704,.014,.0243,-.00249
2020,1,12,9,-.00735,.0349,.00381,-.0475,-.00627,-.0046,.000799,.00243,.0265,.00249
2020,1,12,10,.0616,.357,.0185,.0425,-.00645,.0407,.000577,.0287,.0175,.0137
2020,1,12,11,.00538,.00964,-.0105,.016,.0178,-.112,-.0524,-.00143,.0208,-.0704
2020,1,12,12,-.00616,-.069,-.00195,-.00449,.0135,-.00514,.0249,-.0037,.000375,-.00235
2020,1,12,13,-.0112,.0558,.00838,.0206,.0239,.00889,.0293,.0167,.0213,-.000873
2020,1,12,15,-.0309,-.0626,-.0119,-.00505,-.0161,.00711,.0279,-.0172,.0655,-.00942
2020,1,12,16,-.0177,-.0216,-.00404,.00238,.00554,.0424,.0534,-.00601,-.0232,-.000931
2020,1,12,17,-.0357,.0582,.00187,-.0084,-.00556,-.0531,.00313,-.000411,.00988,.00137
2020,1,12,18,.0717,.173,.0212,.0249,.0236,-.015,.0068,.0304,.0267,.0191
2020,1,12,19,-.0801,-.14,-.0248,-.0408,.0248,-.127,-.0037,-.0272,-.0126,-.0261
2020,1,12,20,-.0427,.0349,-.0109,-.0528,-.00172,.0318,-.0599,-.00815,-.0449,-.000792
2020,1,12,21,.018,.0689,.00106,.0241,-.00807,.014,-.0177,.0197,-.000269,-.000212
2020,1,12,22,.0225,.135,-.00628,-.0217,.00745,-.0129,.0279,-.0501,.0135,-.0104
2020,1,12,23,.0132,.0197,.00955,-.00132,.00576,.0974,-.0175,.0122,.00256,.012
2020,1,12,24,.024,.0207,.0125,.0194,-.0137,-.0298,.0177,.0133,.00319,.0133
2020,1,12,25,.00934,-.00866,.00873,.0008,-.0112,-.0432,.0222,.00664,-.0502,.0217
2020,1,12,26,-.0505,-.0315,.00395,-.0438,.0328,-.105,.039,.0176,-.00412,.00335
2020,1,12,27,-.0249,.0141,-.00754,-.01,.0235,-.0118,.0275,-.00903,-.0492,-.00333
2020,1,12,28,-.022,-.139,.00424,-.00446,-.00735,-.0637,.0764,.0357,-.00336,.0153
2020,1,12,29,.0434,.105,.0277,-.015,-.0174,.0313,.044,.0114,.0421,.0251
2020,1,12,30,-.00554,-.19,-.0147,-.0962,-.0274,.28,-.0411,.0946,-.0182,-.00826
2020,1,12,31,.00194,.0437,.00832,.0195,.0113,-.0266,.0519,.000127,-.0022,.0136
2020,1,12,32,-.00469,-.119,-.0237,-.0634,.00526,.0577,-.0178,-.0176,-.0186,-.0263
2020,1,12,33,-.00649,-.0303,.00297,.00726,.00466,.0733,-.00889,.00534,-.032,.0000975
2020,1,12,34,.00677,-.0273,-.00461,.00521,-.0193,-.0027,.0267,-.0087,.00152,.00125
2020,1,12,35,.0252,-.0286,-.0125,.0071,-.0339,.0000634,-.0115,.0243,-.00412,-.0205
