day,month,year,daily_spend_19_all,daily_spend_19_q1,daily_spend_19_q2,daily_spend_19_q3,daily_spend_19_q4
31,12,2018,.154,.129,.13,.152,.178
1,1,2019,-.216,-.274,-.261,-.224,-.165
2,1,2019,.191,.163,.163,.182,.226
3,1,2019,.204,.252,.201,.191,.197
4,1,2019,.218,.299,.235,.21,.186
5,1,2019,.032,.0641,.0407,.0363,.0189
6,1,2019,-.233,-.257,-.247,-.227,-.218
7,1,2019,.105,.0836,.0994,.106,.117
8,1,2019,.0798,.0525,.0751,.0763,.0933
9,1,2019,.0456,.0233,.0371,.0468,.0563
10,1,2019,.085,.0979,.0876,.0866,.0768
11,1,2019,.166,.225,.189,.17,.13
12,1,2019,-.0209,-.0079,-.0194,-.0184,-.0227
13,1,2019,-.25,-.287,-.259,-.241,-.237
14,1,2019,-.0744,-.0888,-.084,-.0737,-.0651
15,1,2019,.0652,.0325,.0547,.0627,.0829
16,1,2019,.036,.013,.0239,.0346,.0492
17,1,2019,.0431,.0907,.0667,.0429,.0104
18,1,2019,.00886,.067,.0335,.0081,-.0223
19,1,2019,-.157,-.139,-.159,-.155,-.158
20,1,2019,-.368,-.401,-.381,-.36,-.352
21,1,2019,-.0263,-.0709,-.0372,-.0257,-.00475
22,1,2019,.0508,.0134,.0351,.0495,.0727
23,1,2019,.0265,.00377,.0114,.0228,.0421
24,1,2019,.0417,.0521,.05,.0445,.0257
25,1,2019,.15,.222,.185,.144,.113
26,1,2019,.00738,.0313,.0253,.0171,-.0111
27,1,2019,-.225,-.265,-.241,-.216,-.209
28,1,2019,.0592,.0419,.0653,.054,.0649
29,1,2019,.0507,.00281,.0297,.0431,.0796
30,1,2019,-.0256,-.0403,-.041,-.0344,-.0096
31,1,2019,.109,.141,.124,.0959,.0906
1,2,2019,.394,.478,.408,.372,.381
2,2,2019,.123,.189,.146,.122,.0965
3,2,2019,-.2,-.189,-.201,-.193,-.204
4,2,2019,.0636,.0892,.0751,.0514,.0554
5,2,2019,.0799,.0966,.0876,.0772,.0727
6,2,2019,.0206,.0307,.0229,.0216,.0141
7,2,2019,.03,.077,.0497,.0296,.0014
8,2,2019,.158,.251,.189,.155,.108
9,2,2019,.0314,.0645,.0559,.0361,.00836
10,2,2019,-.166,-.196,-.181,-.157,-.149
11,2,2019,.0799,.0702,.0804,.0832,.0812
12,2,2019,.0487,.0437,.0493,.0498,.0462
13,2,2019,.1,.114,.1,.11,.0888
14,2,2019,.14,.197,.16,.142,.109
15,2,2019,.257,.347,.293,.261,.208
16,2,2019,.0737,.121,.091,.0859,.0468
17,2,2019,-.179,-.196,-.188,-.171,-.169
18,2,2019,.0509,.0215,.059,.0565,.0533
19,2,2019,.0961,.0695,.0898,.0945,.112
20,2,2019,.0546,.0674,.0671,.0436,.0454
21,2,2019,.0989,.149,.13,.0962,.0644
22,2,2019,.215,.371,.275,.205,.135
23,2,2019,.0593,.134,.0838,.0601,.0237
24,2,2019,-.19,-.171,-.2,-.186,-.193
25,2,2019,.11,.158,.133,.103,.0824
26,2,2019,.13,.171,.147,.117,.114
27,2,2019,.145,.304,.189,.12,.0788
28,2,2019,.29,.455,.34,.275,.216
1,3,2019,.547,.738,.587,.523,.489
2,3,2019,.205,.371,.251,.199,.133
3,3,2019,-.0963,-.0455,-.0892,-.098,-.112
4,3,2019,.182,.265,.202,.173,.147
5,3,2019,.195,.26,.219,.189,.165
6,3,2019,.112,.18,.145,.104,.0753
7,3,2019,.146,.236,.186,.131,.104
8,3,2019,.253,.371,.304,.246,.19
9,3,2019,.102,.19,.137,.0971,.0612
10,3,2019,-.142,-.119,-.141,-.142,-.145
11,3,2019,.156,.191,.181,.155,.13
12,3,2019,.142,.174,.156,.139,.124
13,3,2019,.111,.154,.131,.109,.0836
14,3,2019,.154,.24,.185,.146,.111
15,3,2019,.35,.465,.391,.348,.295
16,3,2019,.137,.212,.174,.141,.0935
17,3,2019,-.118,-.103,-.115,-.109,-.128
18,3,2019,.158,.185,.182,.158,.138
19,3,2019,.144,.169,.165,.14,.125
20,3,2019,.156,.186,.169,.157,.138
21,3,2019,.152,.222,.187,.149,.11
22,3,2019,.266,.374,.311,.262,.209
23,3,2019,.117,.17,.145,.121,.0876
24,3,2019,-.126,-.131,-.124,-.117,-.126
25,3,2019,.165,.179,.187,.173,.144
26,3,2019,.148,.162,.162,.15,.136
27,3,2019,.145,.164,.166,.144,.128
28,3,2019,.191,.252,.21,.182,.168
29,3,2019,.322,.436,.365,.308,.271
30,3,2019,.132,.209,.165,.14,.0879
31,3,2019,-.0999,-.114,-.106,-.0931,-.0957
1,4,2019,.404,.383,.397,.399,.428
2,4,2019,.256,.28,.262,.25,.255
3,4,2019,.198,.259,.213,.193,.174
4,4,2019,.194,.275,.231,.189,.15
5,4,2019,.317,.425,.365,.312,.263
6,4,2019,.118,.169,.154,.124,.0844
7,4,2019,-.108,-.126,-.111,-.101,-.1
8,4,2019,.172,.181,.187,.17,.167
9,4,2019,.176,.166,.189,.179,.17
10,4,2019,.175,.185,.193,.173,.166
11,4,2019,.164,.214,.181,.16,.14
12,4,2019,.287,.381,.329,.287,.234
13,4,2019,.139,.177,.164,.151,.112
14,4,2019,-.0874,-.117,-.0982,-.0807,-.0716
15,4,2019,.334,.328,.336,.341,.339
16,4,2019,.261,.267,.265,.263,.258
17,4,2019,.184,.207,.197,.188,.168
18,4,2019,.211,.259,.247,.211,.174
19,4,2019,.299,.377,.339,.295,.256
20,4,2019,.143,.206,.176,.151,.107
21,4,2019,-.38,-.367,-.377,-.381,-.384
22,4,2019,.156,.163,.172,.165,.14
23,4,2019,.164,.159,.171,.164,.165
24,4,2019,.139,.147,.163,.137,.128
25,4,2019,.183,.228,.215,.183,.151
26,4,2019,.276,.373,.323,.272,.224
27,4,2019,.111,.156,.138,.118,.0857
28,4,2019,-.11,-.117,-.112,-.0999,-.108
29,4,2019,.175,.178,.194,.174,.165
30,4,2019,.278,.288,.282,.273,.279
1,5,2019,.411,.404,.399,.397,.443
2,5,2019,.28,.355,.315,.273,.245
3,5,2019,.355,.504,.405,.345,.285
4,5,2019,.14,.228,.177,.143,.0963
5,5,2019,-.076,-.0853,-.0735,-.0603,-.0766
6,5,2019,.208,.243,.232,.206,.189
7,5,2019,.189,.207,.211,.188,.174
8,5,2019,.182,.19,.199,.173,.175
9,5,2019,.207,.252,.241,.203,.178
10,5,2019,.351,.435,.407,.351,.296
11,5,2019,.201,.257,.227,.21,.172
12,5,2019,-.115,-.127,-.107,-.106,-.116
13,5,2019,.16,.161,.172,.171,.147
14,5,2019,.172,.171,.178,.176,.168
15,5,2019,.238,.244,.255,.246,.225
16,5,2019,.215,.266,.253,.216,.179
17,5,2019,.304,.398,.349,.312,.244
18,5,2019,.104,.148,.138,.117,.0698
19,5,2019,-.11,-.122,-.104,-.104,-.106
20,5,2019,.206,.213,.224,.207,.197
21,5,2019,.194,.179,.204,.193,.196
22,5,2019,.174,.183,.184,.175,.166
23,5,2019,.235,.257,.305,.216,.206
24,5,2019,.346,.44,.389,.35,.292
25,5,2019,.142,.188,.168,.149,.116
26,5,2019,-.127,-.136,-.128,-.117,-.125
27,5,2019,-.099,-.112,-.0987,-.0967,-.0923
28,5,2019,.226,.211,.234,.228,.231
29,5,2019,.204,.189,.199,.208,.214
30,5,2019,.23,.278,.261,.232,.195
31,5,2019,.38,.495,.427,.38,.317
1,6,2019,.282,.329,.299,.284,.27
2,6,2019,-.0689,-.0706,-.0679,-.0629,-.069
3,6,2019,.331,.377,.348,.325,.317
4,6,2019,.267,.292,.274,.264,.261
5,6,2019,.242,.242,.249,.247,.24
6,6,2019,.229,.264,.263,.225,.203
7,6,2019,.314,.392,.361,.312,.267
8,6,2019,.0981,.139,.116,.103,.0787
9,6,2019,-.12,-.139,-.124,-.107,-.114
10,6,2019,.22,.22,.229,.223,.217
11,6,2019,.208,.191,.208,.224,.206
12,6,2019,.195,.182,.203,.198,.196
13,6,2019,.224,.264,.26,.227,.191
14,6,2019,.348,.448,.394,.346,.292
15,6,2019,.183,.235,.21,.19,.156
16,6,2019,-.12,-.122,-.119,-.116,-.12
17,6,2019,.213,.198,.225,.215,.213
18,6,2019,.192,.165,.194,.194,.2
19,6,2019,.173,.163,.186,.178,.168
20,6,2019,.223,.255,.24,.217,.21
21,6,2019,.322,.414,.369,.322,.271
22,6,2019,.0876,.125,.112,.0915,.0671
23,6,2019,-.121,-.136,-.124,-.112,-.112
24,6,2019,.19,.178,.198,.194,.19
25,6,2019,.217,.207,.229,.223,.214
26,6,2019,.202,.205,.211,.2,.2
27,6,2019,.234,.286,.269,.231,.2
28,6,2019,.387,.489,.441,.386,.327
29,6,2019,.157,.211,.173,.155,.14
30,6,2019,-.0675,-.0824,-.0675,-.061,-.0622
1,7,2019,.502,.497,.499,.504,.521
2,7,2019,.362,.376,.368,.364,.36
3,7,2019,.398,.481,.433,.388,.365
4,7,2019,-.152,-.0728,-.122,-.154,-.197
5,7,2019,.222,.328,.266,.22,.168
6,7,2019,.0321,.0734,.0537,.04,.0074
7,7,2019,-.141,-.16,-.142,-.137,-.133
8,7,2019,.239,.248,.26,.245,.222
9,7,2019,.219,.211,.24,.221,.211
10,7,2019,.215,.222,.232,.222,.201
11,7,2019,.212,.262,.244,.22,.173
12,7,2019,.304,.4,.342,.307,.253
13,7,2019,.088,.136,.12,.09,.0599
14,7,2019,-.131,-.14,-.13,-.119,-.13
15,7,2019,.296,.295,.313,.309,.287
16,7,2019,.267,.26,.28,.274,.263
17,7,2019,.215,.213,.229,.219,.21
18,7,2019,.227,.258,.265,.231,.194
19,7,2019,.31,.4,.356,.309,.259
20,7,2019,.102,.149,.127,.111,.0717
21,7,2019,-.121,-.131,-.12,-.109,-.12
22,7,2019,.196,.189,.213,.193,.193
23,7,2019,.187,.172,.184,.191,.192
24,7,2019,.148,.153,.164,.151,.138
25,7,2019,.21,.249,.243,.213,.179
26,7,2019,.303,.399,.358,.303,.244
27,7,2019,.0873,.142,.114,.091,.0574
28,7,2019,-.119,-.132,-.113,-.11,-.117
29,7,2019,.192,.19,.21,.2,.178
30,7,2019,.233,.205,.25,.241,.23
31,7,2019,.232,.253,.247,.229,.219
1,8,2019,.447,.495,.456,.437,.443
2,8,2019,.41,.556,.453,.401,.347
3,8,2019,.164,.254,.199,.165,.122
4,8,2019,-.0984,-.0836,-.0959,-.0931,-.106
5,8,2019,.262,.294,.285,.265,.239
6,8,2019,.213,.227,.238,.21,.198
7,8,2019,.187,.194,.199,.192,.177
8,8,2019,.215,.257,.239,.202,.2
9,8,2019,.308,.41,.352,.309,.25
10,8,2019,.109,.165,.134,.116,.0807
11,8,2019,-.125,-.14,-.121,-.115,-.125
