countyfips,year,month,day_endofweek,bg_posts,bg_posts_jzgrp12,bg_posts_jzgrp345
1001,2021,9,24,.244,.194,.333
1001,2021,10,1,.37,.254,.495
1001,2021,10,8,.606,.761,.657
1001,2021,10,15,.701,.522,.939
1001,2021,10,22,.811,.433,1.11
1001,2021,10,29,1.14,1.43,1.11
1001,2021,11,5,.654,.463,1.11
1001,2021,11,12,.354,.254,.333
1001,2021,11,19,1.14,1.43,1.11
1001,2021,11,26,1.14,1.18,1.11
1001,2021,12,3,1.14,1.43,1.11
1001,2021,12,10,1.14,1.43,1.11
1001,2021,12,17,.843,1.06,.737
1001,2021,12,24,.732,.94,.535
1001,2021,12,31,.575,.582,.737
1001,2022,1,7,1.14,1.43,1.1
1001,2022,1,14,.323,.343,.253
1001,2022,1,21,1.14,.851,1.11
1001,2022,1,28,1.14,1.43,1.11
1001,2022,2,4,.654,.224,1.11
1001,2022,2,11,1.14,1.15,1.11
1001,2022,2,18,.228,.104,.414
1001,2022,2,25,1.02,.881,1.11
1001,2022,3,4,.669,.791,.697
1001,2022,3,11,1.14,1.43,1.11
1001,2022,3,18,.512,.313,.899
1003,2021,9,24,.557,.591,.494
1003,2021,10,1,.281,.179,.394
1003,2021,10,8,.507,.483,.627
1003,2021,10,15,.348,.477,.228
1003,2021,10,22,.304,.338,.212
1003,2021,10,29,.694,.851,.436
1003,2021,11,5,.148,.211,.029
1003,2021,11,12,-.0449,-.0618,-.0207
1003,2021,11,19,.99,.876,1.11
1003,2021,11,26,.647,.401,1
1003,2021,12,3,.95,.889,1.02
1003,2021,12,10,.997,.978,1.11
1003,2021,12,17,.454,.458,.469
1003,2021,12,24,.567,.502,.668
1003,2021,12,31,.78,.921,.627
1003,2022,1,7,1.03,.927,1.11
1003,2022,1,14,.408,.515,.203
1003,2022,1,21,.827,.737,1.06
1003,2022,1,28,.927,.629,1.11
1003,2022,2,4,.694,.54,.859
1003,2022,2,11,.278,.344,.212
1003,2022,2,18,.557,.68,.411
1003,2022,2,25,.824,.731,.95
1003,2022,3,4,1.04,1.1,1.06
1003,2022,3,11,1.14,1.43,1.11
1003,2022,3,18,.747,.699,.768
1005,2021,9,24,-.519,-.568,-.515
1005,2021,10,1,-.481,-.892,-.212
1005,2021,10,8,.37,1.05,-.152
1005,2021,10,15,.148,.514,-.212
1005,2021,10,22,-.037,.838,-.636
1005,2021,10,29,-.185,.0811,-.455
1005,2021,11,5,-.037,.189,-.273
1005,2021,11,12,-.519,-1,-.455
1005,2021,11,19,.519,1.38,-.273
1005,2021,11,26,1.14,1.16,1.11
1005,2021,12,3,.481,.297,.576
1005,2021,12,10,.593,1.27,.0303
1005,2021,12,17,-.148,-.027,-.212
1005,2021,12,24,.667,.73,.515
1005,2021,12,31,-.667,-.676,-.758
1005,2022,1,7,.444,.514,.152
1005,2022,1,14,.407,.405,.0303
1005,2022,1,21,.296,1.38,-.273
1005,2022,1,28,.519,.297,.394
1005,2022,2,4,.778,.514,.879
1005,2022,2,11,.519,.622,.333
1005,2022,2,18,.148,-.351,.515
1005,2022,2,25,.185,.622,-.212
1005,2022,3,4,.111,.838,-.515
1005,2022,3,11,.481,.622,.212
1005,2022,3,18,.444,.514,.273
1007,2021,9,24,.268,.273,.412
1007,2021,10,1,-.122,-.273,-.0588
1007,2021,10,8,.268,.273,-.0588
1007,2021,10,15,-.122,.0909,-.765
1007,2021,10,22,.854,1,.882
1007,2021,10,29,1.14,1.43,1.11
1007,2021,11,5,-.415,-.636,-.0588
1007,2021,11,12,-.317,-.636,-.294
1007,2021,11,19,1.14,1.43,1.11
1007,2021,11,26,1.14,1.43,1.11
1007,2021,12,3,1.14,1.43,1.11
1007,2021,12,10,1.05,.636,1.11
1007,2021,12,17,.854,1.43,-.0588
1007,2021,12,24,1.14,.636,1.11
1007,2021,12,31,.268,.273,-.0588
1007,2022,1,7,1.14,1.43,.176
1007,2022,1,14,-.317,-.273,-.529
1007,2022,1,21,1.14,1.43,.176
1007,2022,1,28,1.14,1,1.11
1007,2022,2,4,-.0244,-1,1.11
1007,2022,2,11,.463,-.0909,1.11
1007,2022,2,18,-.317,-.636,-.0588
1007,2022,2,25,.0732,-.0909,.412
1007,2022,3,4,-.22,-.273,-.0588
1007,2022,3,11,1.05,.455,.412
1007,2022,3,18,.659,.0909,1.11
1009,2021,9,24,.26,1,-.625
1009,2021,10,1,.918,.789,1.11
1009,2021,10,8,.0959,-.263,.375
1009,2021,10,15,1.08,.895,1.11
1009,2021,10,22,1.14,1.11,1.11
1009,2021,10,29,1.14,1.43,.625
1009,2021,11,5,.205,.158,.375
1009,2021,11,12,.0959,-.368,.625
1009,2021,11,19,.534,.474,.75
1009,2021,11,26,.918,1.21,.5
1009,2021,12,3,1.14,1.43,.875
1009,2021,12,10,.753,1,.625
1009,2021,12,17,1.14,1.43,.25
1009,2021,12,24,1.14,1.32,.875
1009,2021,12,31,-.671,-.684,-.625
1009,2022,1,7,1.14,1.43,1.11
1009,2022,1,14,-.233,-.263,-.25
1009,2022,1,21,1.14,1.43,1.11
1009,2022,1,28,.699,-.158,1.11
1009,2022,2,4,.151,-.0526,.5
1009,2022,2,11,.26,-.263,1
1009,2022,2,18,.315,.0526,.375
1009,2022,2,25,.534,.158,.75
1009,2022,3,4,.808,.895,.625
1009,2022,3,11,.589,.158,.875
1009,2022,3,18,-.178,-.368,.125
1011,2021,9,24,-.0588,-.333,.0909
1011,2021,10,1,-.0588,-1,.455
1011,2021,10,8,1.12,1.43,-.636
1011,2021,10,15,.882,.333,.818
1011,2021,10,22,.412,-1,1.11
1011,2021,10,29,-.294,-.333,-.273
1011,2021,11,5,-.0588,.333,-.273
1011,2021,11,12,.412,1,-.273
1011,2021,11,19,1.14,1.43,.818
1011,2021,11,26,-.0588,1,-.636
1011,2021,12,3,1.14,1.43,1.11
1011,2021,12,10,1.14,1.43,.455
1011,2021,12,17,1.14,1.43,-.273
1011,2021,12,24,.412,1,.0909
1011,2021,12,31,.412,-1,1.11
1011,2022,1,7,1.14,1.43,-.273
1011,2022,1,14,-.529,-.333,-.636
1011,2022,1,21,1.14,-.333,1.11
1011,2022,1,28,1.12,-.333,.818
1011,2022,2,4,1.14,1.43,1.11
1011,2022,2,11,1.14,1,1.11
1011,2022,2,18,.176,-.333,.455
1011,2022,2,25,1.14,1.43,.455
1011,2022,3,4,1.12,.333,.455
1011,2022,3,11,1.14,1.43,.818
