year,month,day_endofweek,bg_posts,bg_posts_ss30,bg_posts_ss55,bg_posts_ss60,bg_posts_ss65,bg_posts_ss70,bg_posts_jz1,bg_posts_jzgrp12,bg_posts_jz2,bg_posts_jz3,bg_posts_jzgrp345,bg_posts_jz4,bg_posts_jz5
2020,1,10,-.0484,-.0748,-.0399,-.104,-.134,.00711,.0616,-.00336,-.00896,-.0852,-.0746,-.053,-.117
2020,1,17,.11,.0922,.066,.17,.186,.0793,.0925,.11,.112,.159,.116,.0638,.173
2020,1,24,-.0718,-.0819,-.102,-.117,-.0431,-.0249,-.0558,-.0512,-.0508,-.0767,-.0835,-.0928,-.0711
2020,1,31,.0101,.0645,.0758,.051,-.00831,-.0615,-.0984,-.0557,-.052,.00259,.0422,.082,.0146
2020,2,7,-.102,-.12,-.035,-.121,-.122,-.0911,-.0306,-.092,-.0973,-.115,-.11,-.0951,-.141
2020,2,14,.195,.296,.22,.158,.168,.129,.154,.169,.171,.183,.203,.221,.195
2020,2,21,.0517,.106,.0296,-.0343,.0779,-.0913,-.0459,.0262,.0324,.083,.064,.0566,.0404
2020,2,28,.0725,.108,.12,-.0424,.144,.101,.0363,.0199,.0185,.0815,.0935,.0677,.206
2020,3,6,.0174,.0155,-.0162,-.0236,-.0197,.0415,.12,.0484,.0422,-.0304,-.00297,.0185,-.00289
2020,3,13,.0126,.0402,.0606,-.0426,-.0133,.0304,.0566,.00466,.000194,.00492,.0118,.0346,-.0437
2020,3,20,.0487,-.00982,.0457,-.00146,.0306,-.0393,.0998,.0682,.0654,.0424,.0344,.0399,-.00315
2020,3,27,-.0834,-.114,-.0827,-.14,-.0891,-.397,-.208,-.0812,-.0703,-.0985,-.0822,-.061,-.109
2020,4,3,-.225,-.268,-.254,-.303,-.189,-.624,-.453,-.262,-.245,-.213,-.202,-.202,-.175
2020,4,10,-.308,-.338,-.27,-.375,-.26,-.608,-.475,-.352,-.341,-.288,-.281,-.287,-.245
2020,4,17,-.382,-.419,-.366,-.412,-.372,-.611,-.448,-.4,-.395,-.389,-.37,-.364,-.342
2020,4,24,-.411,-.443,-.438,-.427,-.389,-.616,-.538,-.452,-.444,-.435,-.388,-.367,-.336
2020,5,1,-.385,-.405,-.45,-.478,-.365,-.519,-.372,-.356,-.354,-.384,-.395,-.42,-.341
2020,5,8,-.377,-.375,-.416,-.47,-.386,-.562,-.356,-.312,-.308,-.415,-.405,-.414,-.349
2020,5,15,-.363,-.414,-.417,-.442,-.314,-.557,-.381,-.318,-.313,-.35,-.382,-.426,-.318
2020,5,22,-.308,-.342,-.407,-.383,-.25,-.462,-.243,-.248,-.248,-.297,-.337,-.383,-.288
2020,5,29,-.311,-.313,-.304,-.399,-.365,-.332,-.173,-.209,-.212,-.33,-.358,-.364,-.413
2020,6,5,-.101,-.137,-.113,-.176,-.123,-.206,.0691,.0132,.00841,-.127,-.147,-.173,-.114
2020,6,12,-.158,-.185,-.127,-.234,-.218,-.236,-.114,-.0453,-.0394,-.157,-.209,-.23,-.276
2020,6,19,-.122,-.166,-.0997,-.248,-.205,-.0543,.091,.0326,.0275,-.12,-.193,-.231,-.255
2020,6,26,.0754,.0467,-.022,-.0819,-.0193,.347,.579,.287,.262,.0704,-.0271,-.0852,-.0861
2020,7,3,-.165,-.245,-.226,-.272,-.144,-.384,-.248,-.109,-.097,-.159,-.194,-.249,-.105
2020,7,10,-.239,-.334,-.359,-.436,-.22,-.287,-.0732,-.0419,-.0392,-.241,-.332,-.411,-.31
2020,7,17,-.167,-.186,-.228,-.329,-.114,-.28,-.11,-.0425,-.0367,-.111,-.219,-.308,-.209
2020,7,24,-.178,-.139,-.237,-.292,-.132,-.369,-.179,-.064,-.0541,-.115,-.229,-.311,-.253
2020,7,31,-.14,-.204,-.275,-.313,-.0874,-.268,-.0746,.0152,.023,-.0943,-.213,-.295,-.249
2020,8,7,-.0188,-.0581,-.0839,-.196,-.0805,-.214,.0961,.244,.256,-.0351,-.151,-.212,-.247
2020,8,14,-.245,-.277,-.309,-.395,-.229,-.408,-.205,-.0987,-.0895,-.22,-.316,-.378,-.364
2020,8,21,-.137,-.0901,-.184,-.272,-.12,-.347,-.0335,.0431,.0497,-.114,-.232,-.308,-.286
2020,8,28,-.119,-.054,-.156,-.256,-.107,-.311,-.109,.0586,.073,-.0915,-.209,-.287,-.256
2020,9,4,-.137,-.117,-.219,-.336,-.00553,-.29,-.0788,-.0284,-.024,-.0736,-.195,-.293,-.189
2020,9,11,-.211,-.182,-.206,-.373,-.225,-.324,-.116,-.0509,-.0453,-.199,-.296,-.351,-.363
2020,9,18,-.0571,-.0385,-.0784,-.243,-.0146,-.244,-.0699,.0662,.0779,.00873,-.123,-.221,-.142
2020,9,25,-.21,-.196,-.242,-.37,-.168,-.33,-.184,-.089,-.0808,-.175,-.273,-.351,-.265
2020,10,2,-.0858,-.0573,-.124,-.268,-.0855,-.181,.0458,.0878,.0914,-.0508,-.176,-.253,-.247
2020,10,9,-.15,-.123,-.177,-.349,-.0756,-.324,-.159,-.0367,-.0262,-.0818,-.202,-.287,-.235
2020,10,16,-.0827,-.0775,-.0566,-.29,-.0415,-.272,-.0785,.0618,.0739,-.00852,-.153,-.254,-.196
2020,10,23,-.0862,-.0828,-.0708,-.293,-.155,-.135,-.0651,.0974,.111,-.0739,-.178,-.233,-.266
2020,10,30,-.156,-.124,-.193,-.328,-.137,-.254,-.121,-.0374,-.0302,-.103,-.22,-.295,-.272
2020,11,6,-.167,-.143,-.208,-.314,-.14,-.327,-.174,-.0387,-.027,-.11,-.232,-.317,-.266
2020,11,13,-.193,-.179,-.201,-.34,-.123,-.361,-.242,-.0824,-.0687,-.0867,-.242,-.348,-.297
2020,11,20,-.192,-.189,-.297,-.389,-.167,-.391,-.249,-.0728,-.0577,-.118,-.249,-.34,-.289
2020,11,27,-.172,-.208,-.141,-.304,-.0777,-.367,-.1,-.0952,-.0947,-.0753,-.204,-.313,-.182
2020,12,4,-.382,-.436,-.466,-.543,-.267,-.515,-.406,-.312,-.304,-.289,-.41,-.51,-.393
2020,12,11,-.144,-.111,-.172,-.268,-.107,-.366,-.176,-.0621,-.0523,-.0579,-.194,-.302,-.188
2020,12,18,-.184,-.149,-.215,-.315,-.0119,-.435,-.333,-.168,-.154,-.0612,-.193,-.316,-.132
2020,12,25,-.154,-.122,-.115,-.253,-.0695,-.439,-.279,-.145,-.133,-.0621,-.161,-.238,-.159
2021,1,1,-.445,-.531,-.481,-.566,-.398,-.457,-.353,-.336,-.335,-.373,-.496,-.59,-.507
2021,1,8,-.176,-.209,-.292,-.367,-.126,-.131,-.0342,-.0187,-.0174,-.0819,-.251,-.371,-.29
2021,1,15,-.0426,-.0314,-.101,-.197,.0283,-.143,-.0496,.0698,.0801,.0811,-.0975,-.216,-.167
2021,1,22,-.117,.0162,-.167,-.259,-.0747,-.257,-.16,-.0332,-.0223,-.00967,-.159,-.27,-.18
2021,1,29,.016,.201,.081,-.0798,-.00556,-.239,-.0721,.0628,.0744,.0809,-.0141,-.0763,-.0539
2021,2,5,-.166,-.0305,-.206,-.278,-.143,-.291,-.144,-.126,-.124,-.0896,-.188,-.251,-.234
2021,2,12,-.0222,.0789,-.032,-.116,-.0374,-.221,-.0706,.0156,.0231,.0439,-.039,-.0736,-.137
2021,2,19,-.0134,.134,-.0488,-.111,-.0389,-.209,-.0848,.0612,.0738,.0129,-.054,-.102,-.0696
2021,2,26,.0694,.158,-.00717,-.105,.119,-.00486,.129,.0856,.0818,.145,.0631,-.0126,.099
2021,3,5,.0621,.087,-.0244,-.0897,.117,-.0101,.154,.109,.105,.127,.0403,-.0604,.144
2021,3,12,.146,.24,.0497,-.0276,.126,.189,.413,.269,.257,.199,.0863,.0078,.0531
2021,3,19,-.0281,.0798,-.0959,-.214,-.0774,.111,.324,.115,.0966,-.00456,-.0972,-.156,-.141
2021,3,26,.22,.289,.243,.0123,.077,.426,.646,.445,.428,.181,.0972,.0591,.00937
2021,4,2,.0788,.104,.0573,-.11,.0216,.26,.458,.293,.278,.0821,-.0316,-.0995,-.1
2021,4,9,.0401,.0614,.00476,-.172,-.0497,.165,.366,.265,.257,.0329,-.0735,-.138,-.135
2021,4,16,.213,.208,.149,.0633,.00679,.421,.61,.492,.482,.165,.0681,.0315,-.0594
2021,4,23,.199,.196,.123,-.0534,.114,.353,.565,.446,.436,.179,.0712,-.01,.0595
2021,4,30,.204,.225,.184,-.0459,.212,.213,.353,.362,.362,.19,.122,.0702,.116
2021,5,7,.22,.304,.254,.0242,.247,.195,.348,.306,.302,.254,.177,.134,.118
2021,5,14,.35,.403,.203,.1,.292,.477,.702,.6,.592,.355,.211,.11,.175
2021,5,21,.0527,.0644,-.0468,-.15,.0175,.249,.399,.249,.236,.0417,-.05,-.117,-.0647
2021,5,28,.189,.251,.166,-.0209,.185,.31,.482,.357,.346,.219,.11,.0462,.0388
2021,6,4,.176,.246,.184,-.0413,.108,.341,.557,.378,.362,.15,.069,.0246,.00667
2021,6,11,.256,.412,.313,.0227,.125,.396,.521,.452,.446,.21,.155,.133,.0842
2021,6,18,.0929,.123,.082,-.109,.00662,.229,.33,.303,.3,.0812,-.0139,-.0668,-.0838
2021,6,25,.0443,.124,.106,-.108,-.0176,.108,.18,.181,.181,.0348,-.0245,-.0511,-.0887
2021,7,2,.0786,.167,.0742,-.141,.0834,.145,.292,.196,.188,.0806,.016,-.0211,-.0274
2021,7,9,-.0651,.0105,-.0654,-.224,-.111,.00318,.174,.0412,.0298,-.0775,-.118,-.134,-.165
2021,7,16,.174,.26,.239,-.0324,.0567,.511,.774,.361,.325,.161,.0864,.0614,-.022
2021,7,23,.0571,.121,.119,-.0796,-.0431,.173,.391,.176,.158,.074,-.00336,-.0212,-.141
2021,7,30,.0438,.282,.114,-.152,.00899,.142,.401,.139,.116,.109,.00322,-.0417,-.118
2021,8,6,.128,.169,.155,-.0641,.048,.331,.654,.307,.277,.143,.0402,-.00709,-.0669
2021,8,13,.0146,.172,.0734,-.18,-.0833,.132,.33,.16,.146,-.000172,-.0594,-.0662,-.186
2021,8,20,.0524,.101,.0423,-.132,-.00301,.286,.563,.195,.164,.0409,-.0262,-.0567,-.0972
2021,8,27,.114,.223,.182,-.0514,-.00951,.141,.374,.266,.257,.102,.0294,-.00246,-.052
2021,9,3,-.00972,.169,.005,-.224,-.0952,.169,.317,.141,.126,-.0243,-.0929,-.117,-.19
2021,9,10,.036,.0756,-.0275,-.241,-.0295,.148,.416,.294,.283,-.022,-.0972,-.159,-.0881
2021,9,17,.069,.157,.0388,-.0863,-.0971,.059,.402,.234,.22,.0472,-.0385,-.0676,-.161
2021,9,24,.0288,.0332,.0145,-.189,-.115,-.0392,.207,.217,.218,-.0194,-.0793,-.089,-.199
2021,10,1,-.0227,.062,.0306,-.25,-.0581,-.0891,.0766,.0679,.0672,-.0413,-.0835,-.111,-.101
2021,10,8,.13,.248,.249,-.111,.0756,.14,.331,.289,.286,.0966,.04,.0102,-.00733
2021,10,15,.142,.32,.235,-.129,.0725,.148,.301,.289,.288,.166,.0551,.00122,-.0503
2021,10,22,.135,.276,.194,-.133,.155,.106,.222,.272,.276,.196,.0621,-.0131,-.0337
2021,10,29,-.0025,.0807,.0194,-.165,-.0418,.0321,.208,.113,.105,.004,-.0629,-.0827,-.167
2021,11,5,-.0029,.102,.059,-.204,-.0928,.0891,.305,.131,.116,.00738,-.0715,-.0991,-.182
2021,11,12,.0579,.0877,.119,-.113,.0439,.12,.274,.159,.149,.0805,.000537,-.0486,-.0433
2021,11,19,.241,.326,.325,.0048,.253,.294,.505,.348,.335,.296,.185,.105,.16
2021,11,26,.162,.32,.2,-.00857,.214,.0983,.164,.17,.171,.18,.149,.124,.153
2021,12,3,.138,.156,.133,-.0975,.151,.301,.379,.233,.22,.132,.0811,.0136,.168
2021,12,10,.153,.23,.219,-.0446,.154,.136,.289,.263,.26,.212,.0994,.0326,.0309
2021,12,17,.247,.248,.222,.00225,.259,.214,.408,.327,.32,.32,.217,.167,.12
2021,12,24,.0737,.129,.135,-.115,.0776,.12,.238,.156,.149,.127,.0318,-.0352,.00661
2021,12,31,-.192,-.269,-.192,-.366,-.141,-.0838,-.0183,-.0816,-.0871,-.103,-.236,-.325,-.287
2022,1,7,-.0279,-.0282,-.112,-.26,-.03,.191,.409,.141,.117,.0565,-.106,-.21,-.182
2022,1,14,.172,.528,.254,.0444,.0826,.0291,.257,.184,.177,.198,.159,.168,.0328
2022,1,21,.113,.313,.148,-.0827,.059,.0863,.191,.173,.171,.176,.0837,.0437,-.0212
