statefips,year,month,day_endofweek,bg_posts,bg_posts_ss30,bg_posts_ss55,bg_posts_ss60,bg_posts_ss65,bg_posts_ss70,bg_posts_jz1,bg_posts_jzgrp12,bg_posts_jz2,bg_posts_jz3,bg_posts_jzgrp345,bg_posts_jz4,bg_posts_jz5
1,2021,3,26,.628,.,.,.,.,.,1.28,.964,.94,.492,.403,.394,.188
1,2021,4,2,.615,.,.,.,.,.,.921,.888,.886,.493,.455,.44,.396
1,2021,4,9,.416,.,.,.,.,.,.858,.531,.506,.244,.361,.536,.239
1,2021,4,16,.476,.,.,.,.,.,.984,.811,.798,.306,.267,.364,-.0796
1,2021,4,23,.757,.,.,.,.,.,.916,1.08,1.09,.618,.59,.648,.375
1,2021,4,30,.619,.,.,.,.,.,.711,.716,.716,.747,.574,.458,.411
1,2021,5,7,.849,.,.,.,.,.,.963,1.06,1.06,.694,.751,.949,.41
1,2021,5,14,1.14,.,.,.,.,.,1.93,1.43,1.45,1.2,1.09,1.06,.68
1,2021,5,21,.181,.,.,.,.,.,.638,.345,.323,.198,.0663,.0325,-.196
1,2021,5,28,.778,.,.,.,.,.,1.17,1.09,1.08,.741,.585,.582,.181
1,2021,6,4,1.08,.,.,.,.,.,1.93,1.43,1.39,.949,.841,.924,.355
1,2021,6,11,1.14,.,.,.,.,.,1.21,1.43,1.45,1.11,1.11,1.38,.593
1,2021,6,18,.35,.,.,.,.,.,.501,.37,.36,.326,.309,.438,-.0558
1,2021,6,25,.115,.,.,.,.,.,.297,.159,.148,.0745,.0844,.162,-.0825
1,2021,7,2,.299,.,.,.,.,.,.533,.348,.334,.371,.27,.298,-.0647
1,2021,7,9,.344,.,.,.,.,.,1.07,.506,.464,.347,.254,.269,-.029
1,2021,7,16,.293,.,.,.,.,.,.974,.551,.519,.232,.156,.197,-.142
1,2021,7,23,.14,.,.,.,.,.,.564,.251,.227,.14,.0695,.14,-.288
1,2021,7,30,.171,.,.,.,.,.,.99,.397,.352,.123,.0507,.0944,-.248
1,2021,8,6,.42,.,.,.,.,.,1.61,.68,.609,.434,.287,.33,-.204
1,2021,8,13,.157,.,.,.,.,.,.449,.236,.219,.197,.116,.176,-.246
1,2021,8,20,.242,.,.,.,.,.,.99,.484,.445,.215,.114,.144,-.224
1,2021,8,27,.707,.,.,.,.,.,.822,.709,.7,.724,.68,.756,.377
1,2021,9,3,.21,.,.,.,.,.,.585,.315,.294,.206,.127,.191,-.239
1,2021,9,10,.34,.,.,.,.,.,.465,.565,.573,.384,.211,.0878,.0602
1,2021,9,17,.409,.,.,.,.,.,.869,.611,.591,.438,.294,.349,-.218
1,2021,9,24,.11,-.0662,.295,.101,-.103,.5,.633,.239,.209,.0461,.0202,.0764,-.187
1,2021,10,1,.165,.0506,.24,.417,.19,.0669,.486,.184,.162,.24,.134,.153,-.191
1,2021,10,8,.397,.289,.801,.238,.378,.599,.717,.472,.453,.347,.335,.343,.282
1,2021,10,15,.418,.42,.628,.359,.135,.859,.774,.622,.611,.357,.298,.4,-.108
1,2021,10,22,.281,.363,.767,.215,.0655,.441,.407,.41,.41,.3,.198,.249,-.197
1,2021,10,29,.647,.0818,.683,.614,.387,1.59,1.6,1.07,1.03,.494,.395,.369,.2
1,2021,11,5,.0726,-.0563,.442,.0402,-.16,.383,.449,.136,.112,.106,.0275,.0812,-.312
1,2021,11,12,.212,.0423,.815,.518,-.00753,.472,.648,.157,.12,.192,.222,.356,-.0275
1,2021,11,19,.898,.808,1.26,.857,.752,.911,.953,1.1,1.11,.913,.765,.645,.677
1,2021,11,26,.694,.628,1.17,.796,.637,.441,.407,.591,.605,.655,.751,.872,.704
1,2021,12,3,1.01,.743,1.11,.716,.882,1.59,1.41,1.3,1.3,.786,.83,.758,1.01
1,2021,12,10,.956,.634,.993,.895,.842,1.58,1.74,1.22,1.18,.903,.813,.86,.465
1,2021,12,17,.625,.343,.82,.682,.481,.764,1.13,.794,.769,.484,.509,.594,.365
1,2021,12,24,.694,.48,1.06,.515,.765,.835,1.03,.776,.757,.853,.647,.565,.312
1,2021,12,31,.173,-.162,.0501,.211,-.0159,1.18,.974,.458,.419,.114,-.000061,-.0307,-.222
1,2022,1,7,.69,.422,.67,.525,.337,1.59,1.65,1.05,1,.671,.494,.436,.176
1,2022,1,14,.358,.621,.611,.557,.0973,.45,.491,.308,.294,.306,.375,.615,-.0394
1,2022,1,21,.828,.789,1.26,.833,.506,1.03,.843,1.03,1.04,.967,.739,.67,.31
1,2022,1,28,.86,.496,1.17,.927,.774,.669,.769,.776,.777,1.06,.893,.886,.465
1,2022,2,4,.82,.687,1.45,.801,.731,.829,1.13,.719,.687,.889,.88,.994,.572
