year,month,day,new_case_count,case_count,new_death_count,death_count,new_test_count,test_count,new_fullvaccine_count,fullvaccine_count,new_booster_first_count,booster_first_count,hospitalized_count,new_case_rate,case_rate,new_death_rate,death_rate,new_test_rate,test_rate,new_fullvaccine_rate,fullvaccine_rate,new_booster_first_rate,booster_first_rate,hospitalized_rate
2020,1,7,.,.,.,.,.,.,.,.,.,.,0,.,.,.,.,.,.,.,.,.,.,0
2020,1,8,.,.,.,.,.,.,.,.,.,.,0,.,.,.,.,.,.,.,.,.,.,0
2020,1,9,.,.,.,.,.,.,.,.,.,.,0,.,.,.,.,.,.,.,.,.,.,0
2020,1,10,.,.,.,.,.,.,.,.,.,.,0,.,.,.,.,.,.,.,.,.,.,0
2020,1,11,.,.,.,.,.,.,.,.,.,.,0,.,.,.,.,.,.,.,.,.,.,0
2020,1,12,.,.,.,.,.,.,.,.,.,.,0,.,.,.,.,.,.,.,.,.,.,0
2020,1,13,.,.,.,.,.,.,.,.,.,.,0,.,.,.,.,.,.,.,.,.,.,0
2020,1,14,.,.,.,.,.,.,.,.,.,.,0,.,.,.,.,.,.,.,.,.,.,0
2020,1,15,.,.,.,.,.,.,.,.,.,.,0,.,.,.,.,.,.,.,.,.,.,0
2020,1,16,.,.,.,.,.,.,.,.,.,.,0,.,.,.,.,.,.,.,.,.,.,0
2020,1,17,.,.,.,.,.,.,.,.,.,.,0,.,.,.,.,.,.,.,.,.,.,0
2020,1,18,.,.,.,.,.,.,.,.,.,.,0,.,.,.,.,.,.,.,.,.,.,0
2020,1,19,.,.,.,.,.,.,.,.,.,.,0,.,.,.,.,.,.,.,.,.,.,0
2020,1,20,.,.,.,.,.,.,.,.,.,.,0,.,.,.,.,.,.,.,.,.,.,0
2020,1,21,.,1,.,0,.,.,.,.,.,.,0,.,.000305,.,0,.,.,.,.,.,.,0
2020,1,22,0,1,.,0,.,1,.,.,.,.,0,0,.000305,.,0,.,.000305,.,.,.,.,0
2020,1,23,0,1,.,0,1,2,.,.,.,.,0,0,.000305,.,0,.000305,.000457,.,.,.,.,0
2020,1,24,0,2,.,0,1,2,.,.,.,.,1564,0,.000609,.,0,.000152,.000508,.,.,.,.,.477
2020,1,25,0,3,.,0,0,2,.,.,.,.,1341,0,.000914,.,0,.000102,.000533,.,.,.,.,.408
2020,1,26,1,5,.,0,0,2,.,.,.,.,1073,.000305,.00137,.,0,.0000762,.000548,.,.,.,.,.327
2020,1,27,1,5,.,0,0,2,.,.,.,.,804,.000152,.00142,.,0,.000122,.000609,.,.,.,.,.245
2020,1,28,0,5,.,0,0,2,.,.,.,.,536,.000102,.00145,.,0,.000102,.000653,.,.,.,.,.163
