year,month,day,statefips,new_case_count,new_death_count,case_count,death_count,vaccine_count,fullvaccine_count,new_vaccine_count,new_fullvaccine_count,new_test_count,test_count,new_case_rate,case_rate,new_death_rate,death_rate,new_test_rate,test_rate,new_vaccine_rate,vaccine_rate,new_fullvaccine_rate,fullvaccine_rate
2020,1,21,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,1,21,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,1,21,4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,1,21,5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,1,21,6,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,1,21,8,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,1,21,9,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,1,21,10,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,1,21,11,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,1,21,12,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,1,21,13,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,1,21,15,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,1,21,16,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,1,21,17,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,1,21,18,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,1,21,19,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,1,21,20,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,1,21,21,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,1,21,22,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,1,21,23,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,1,21,24,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,1,21,25,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,1,21,26,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,1,21,27,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,1,21,28,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,1,21,29,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,1,21,30,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
