year,month,day,case_count,new_case_count,case_rate,new_case_rate
2020,1,21,1,0,.000305,.
2020,1,22,1,0,.000305,.
2020,1,23,1,0,.000305,.
2020,1,24,2,1,.000609,.
2020,1,25,3,1,.000914,.
2020,1,26,5,2,.00152,.
2020,1,27,5,0,.00152,.000174
2020,1,28,5,0,.00152,.000174
2020,1,29,5,0,.00152,.000174
2020,1,30,6,1,.00183,.000218
2020,1,31,7,1,.00213,.000218
2020,2,1,8,1,.00244,.000218
2020,2,2,11,3,.00335,.000261
2020,2,3,11,0,.00335,.000261
2020,2,4,11,0,.00335,.000261
2020,2,5,12,1,.00366,.000305
2020,2,6,12,0,.00366,.000261
2020,2,7,12,0,.00366,.000218
2020,2,8,12,0,.00366,.000174
2020,2,9,12,0,.00366,.0000435
2020,2,10,13,1,.00396,.000087
2020,2,11,13,0,.00396,.000087
2020,2,12,14,1,.00427,.000087
2020,2,13,15,1,.00457,.000131
2020,2,14,15,0,.00457,.000131
2020,2,15,15,0,.00457,.000131
2020,2,16,15,0,.00457,.000131
2020,2,17,25,10,.00762,.000522
2020,2,18,25,0,.00762,.000522
2020,2,19,25,0,.00762,.000479
2020,2,20,27,2,.00823,.000522
2020,2,21,30,3,.00914,.000653
2020,2,22,30,0,.00914,.000653
2020,2,23,30,0,.00914,.000653
2020,2,24,43,13,.0131,.000783
2020,2,25,45,2,.0137,.00087
2020,2,26,60,15,.0183,.00152
2020,2,27,60,0,.0183,.00144
2020,2,28,65,5,.0198,.00152
2020,2,29,70,5,.0213,.00174
2020,3,1,88,18,.0268,.00252
2020,3,2,104,16,.0317,.00265
2020,3,3,125,21,.0381,.00348
2020,3,4,161,36,.049,.0044
2020,3,5,228,67,.0695,.00731
2020,3,6,311,83,.0947,.0107
2020,3,7,428,117,.13,.0156
2020,3,8,547,119,.167,.02
2020,3,9,748,201,.228,.028
2020,3,10,1018,270,.31,.0389
2020,3,11,1263,245,.385,.048
2020,3,12,1668,405,.508,.0627
2020,3,13,2221,553,.677,.0831
2020,3,14,2893,672,.881,.107
