year,month,day,death_count,new_death_count,death_rate,new_death_rate
2020,1,21,0,0,0,.
2020,1,22,0,0,0,.
2020,1,23,0,0,0,.
2020,1,24,0,0,0,.
2020,1,25,0,0,0,.
2020,1,26,0,0,0,.
2020,1,27,0,0,0,0
2020,1,28,0,0,0,0
2020,1,29,0,0,0,0
2020,1,30,0,0,0,0
2020,1,31,0,0,0,0
2020,2,1,0,0,0,0
2020,2,2,0,0,0,0
2020,2,3,0,0,0,0
2020,2,4,0,0,0,0
2020,2,5,0,0,0,0
2020,2,6,0,0,0,0
2020,2,7,0,0,0,0
2020,2,8,0,0,0,0
2020,2,9,0,0,0,0
2020,2,10,0,0,0,0
2020,2,11,0,0,0,0
2020,2,12,0,0,0,0
2020,2,13,0,0,0,0
2020,2,14,0,0,0,0
2020,2,15,0,0,0,0
2020,2,16,0,0,0,0
2020,2,17,0,0,0,0
2020,2,18,0,0,0,0
2020,2,19,0,0,0,0
2020,2,20,0,0,0,0
2020,2,21,0,0,0,0
2020,2,22,0,0,0,0
2020,2,23,0,0,0,0
2020,2,24,0,0,0,0
2020,2,25,0,0,0,0
2020,2,26,0,0,0,0
2020,2,27,0,0,0,0
2020,2,28,0,0,0,0
2020,2,29,1,1,.000305,.0000435
2020,3,1,3,2,.000914,.000131
2020,3,2,6,3,.00183,.000261
2020,3,3,10,4,.00305,.000435
2020,3,4,12,2,.00366,.000522
2020,3,5,12,0,.00366,.000522
2020,3,6,15,3,.00457,.000653
2020,3,7,19,4,.00579,.000783
2020,3,8,22,3,.0067,.000827
2020,3,9,26,4,.00792,.00087
2020,3,10,31,5,.00944,.000914
2020,3,11,37,6,.0113,.00109
2020,3,12,43,6,.0131,.00135
2020,3,13,50,7,.0152,.00152
2020,3,14,60,10,.0183,.00178
2020,3,15,68,8,.0207,.002
2020,3,16,91,23,.0277,.00283
2020,3,17,117,26,.0356,.00374
2020,3,18,162,45,.0494,.00544
2020,3,19,212,50,.0646,.00736
2020,3,20,277,65,.0844,.00988
2020,3,21,359,82,.109,.013
2020,3,22,456,97,.139,.0169
2020,3,23,576,120,.175,.0211
2020,3,24,782,206,.238,.0289
2020,3,25,1051,269,.32,.0387
2020,3,26,1350,299,.411,.0495
2020,3,27,1766,416,.538,.0648
2020,3,28,2296,530,.699,.0843
2020,3,29,2712,416,.826,.0982
2020,3,30,3361,649,1.02,.121
2020,3,31,4294,933,1.31,.153
2020,4,1,5310,1016,1.62,.185
2020,4,2,6525,1215,1.99,.225
2020,4,3,7912,1387,2.41,.267
2020,4,4,9465,1553,2.88,.312
2020,4,5,10831,1366,3.3,.353
2020,4,6,12355,1524,3.76,.391
2020,4,7,14586,2231,4.44,.448
2020,4,8,16670,2084,5.08,.494
2020,4,9,18781,2111,5.72,.533
2020,4,10,21038,2257,6.41,.571
2020,4,11,23118,2080,7.04,.594
2020,4,12,24797,1679,7.55,.608
2020,4,13,26559,1762,8.09,.618
2020,4,14,29264,2705,8.92,.639
2020,4,15,32010,2746,9.75,.668
2020,4,16,34353,2343,10.5,.678
2020,4,17,36639,2286,11.2,.679
2020,4,18,38588,1949,11.8,.673
2020,4,19,40127,1539,12.2,.667
2020,4,20,41963,1836,12.8,.67
2020,4,21,44634,2671,13.6,.669
2020,4,22,47002,2368,14.3,.652
2020,4,23,49148,2146,15,.644
2020,4,24,51272,2124,15.6,.637
2020,4,25,53232,1960,16.2,.637
2020,4,26,54484,1252,16.6,.625
2020,4,27,55926,1442,17,.608
2020,4,28,58318,2392,17.8,.596
2020,4,29,60832,2514,18.5,.602
2020,4,30,63036,2204,19.2,.604
2020,5,1,64796,1760,19.7,.589
2020,5,2,66378,1582,20.2,.572
2020,5,3,67707,1329,20.6,.575
2020,5,4,68796,1089,21,.56
