zcta,emp_incq1_apr2020,emp_incq1_jul2020
00801,1.11,1.11
00820,1.5,2
00917,.907,.512
00918,.4,.
00920,1.31,1.5
00966,0,.
00979,1,1
01001,.781,.709
01002,.883,.731
01003,.395,.263
01005,1,.667
01007,.,.
01013,.733,.789
01020,.879,.899
01022,1,.796
01027,.703,.563
01028,1.05,.986
01030,1,.75
01035,.607,.592
01036,1.5,1.2
01038,1,.52
01040,.608,.579
01056,.531,.6
01057,.417,.
01060,.686,.572
01069,.72,.64
01073,1,1
01075,.682,.546
01077,.75,.563
01082,1,.667
01085,.772,.533
01089,.664,.718
01095,.759,.623
01103,.592,.485
01104,.747,.677
01105,.742,.536
01106,.737,.543
01107,.81,.672
01108,.825,.508
01109,.787,.654
01118,.588,.456
01119,.556,.694
01128,.296,.
01129,.737,.615
01151,.946,.557
01199,.889,.667
01201,.623,.593
01230,.75,.8
01237,0,.
01238,.25,.
01240,.625,.788
01247,1,.96
01301,.721,.623
01331,.722,.532
01344,1.33,1.33
01364,1,1.09
01373,1.01,.726
01376,1.17,.867
01420,.633,.645
01432,1.25,1
01434,.819,.754
01440,.908,.854
01450,.75,.533
01453,.739,.549
01460,.692,.561
01462,.5,.367
01464,1,1.33
01473,.813,.813
01501,.839,.803
01503,1.09,.313
01510,.711,.658
01523,.75,1.35
01524,.75,.8
01527,.626,.465
01532,.978,.847
01534,.75,.55
01536,.813,.6
01537,1.5,1
01540,.766,.875
01543,.643,.653
01545,.795,.663
01550,.492,.551
01564,1.02,.617
01566,.804,.643
01569,.64,.41
01570,.656,.771
01571,.5,.6
01581,.652,.692
01583,1.17,1.13
01588,.9,.6
01590,.977,.549
01602,.972,.85
01603,.638,.365
01604,.788,.789
01605,.792,.589
01606,.649,.606
01607,1.07,.854
01608,.691,.841
01609,.74,.725
01610,.797,.67
01701,.728,.729
01702,.649,.707
01719,1,.833
01720,.905,.634
01721,.8,.528
01730,.721,.814
01742,.664,.802
01746,.741,.329
01747,.,.
01748,.599,.58
01749,.92,.768
01752,.613,.625
01757,.759,.765
01760,.614,.426
