year,month,day,cityid,emp,emp_incq1,emp_incq2,emp_incq3,emp_incq4,emp_incmiddle,emp_incbelowmed,emp_incabovemed
2020,1,14,1,-.00131,.,-.00233,-.0042,.,.,.00014,-.00239
2020,1,14,2,-.00264,-.0089,-.000184,-.0038,.,.,-.00198,-.00296
2020,1,14,3,-8.58e-07,.,.00458,-.000777,-.000282,.00187,.000664,-.000501
2020,1,14,4,-.00273,.00068,.00178,-.0148,.,.,.00119,-.00607
2020,1,14,5,-.0000386,.,-.0000917,-.00366,.00162,-.00184,.00111,-.00118
2020,1,14,6,-.00556,.,-.0119,-.00522,-.00442,.,-.00656,-.00481
2020,1,14,7,.000684,-.00583,.0051,-.00334,.00674,.,-.000944,.00216
2020,1,14,8,.000495,.,.00346,-.00209,.000626,.,.00152,-.000805
2020,1,14,9,-.00448,.,-.00776,-.0109,.0000303,.,-.00268,-.00517
2020,1,14,10,-.00711,.,-.00193,-.0231,-.00488,.,.0000908,-.0143
2020,1,14,11,.00147,.,.00114,.00296,.,.,.000216,.00351
2020,1,14,12,-.00428,.,.00131,-.00921,-.00319,.,-.000626,-.00558
2020,1,14,13,-.000705,.,.0118,-.00506,.,.,.00141,-.00327
2020,1,14,14,-.00429,-.0219,.0155,-.00688,.,.,-.00498,-.00348
2020,1,14,15,-.00439,.,-.00463,-.00411,.000807,.,-.00725,-.00164
2020,1,14,16,-.00432,.,-.00646,-.0132,.00483,.,-.00539,-.00354
2020,1,14,17,-.00549,-.012,-.00366,-.00699,.00206,-.00546,-.00827,-.00272
2020,1,14,18,-.00266,.00655,-.00715,-.0103,.,.,.000624,-.00521
2020,1,14,19,.00281,.,.00297,-.00576,.00282,-.00161,.00716,-.00214
2020,1,14,20,-.000987,.00207,-.00237,-.00702,.,-.00487,.000406,-.00275
2020,1,14,21,-.00892,-.00415,-.0122,-.00488,.,.,-.0113,-.00826
2020,1,14,22,-.00235,.,.,.,.,.,-.00454,.
2020,1,14,23,.00946,.,-.00152,-.00563,.,.,.0245,-.00498
2020,1,14,24,-.00264,.,.0004,-.00844,.00102,.,-.0000661,-.00413
2020,1,14,25,-.00241,.,-.00164,-.00182,-.0018,.,-.00368,-.00181
2020,1,14,26,-.00524,-.0101,-.00163,-.00365,.,-.00271,-.00673,-.0036
2020,1,14,27,-.00232,-.00665,-.000523,.00266,.,.00111,-.00382,-.000668
2020,1,14,28,-.00203,.,-.002,-.00687,.00078,-.00502,-.000954,-.00242
2020,1,14,29,-.00264,.,-.00268,-.00484,.,.,-.00278,-.00259
2020,1,14,30,-.00334,.,.00122,-.00323,.,-.00125,-.002,-.00439
2020,1,14,31,-.000962,-.000256,-.00299,-.00179,.000953,-.00234,-.00132,-.000537
2020,1,14,32,-.00228,.,-.00186,.00189,.,.,-.00702,.00621
2020,1,14,33,-.000383,.,-.0000129,-.0121,.00351,-.00556,.00362,-.00545
2020,1,14,34,-.0072,.,-.0156,-.0143,.,.,-.00557,-.00931
2020,1,14,35,.000979,.,-.0000376,-.0026,.00118,.,.00332,-.000573
2020,1,14,36,.000601,.,.00896,-.00126,.00141,.,.00116,.00025
2020,1,14,37,.00363,.,.0107,-.00193,.,.00351,.00647,.000986
2020,1,14,38,-.00219,.00106,-.00317,-.00328,-.00337,.,-.000961,-.00332
2020,1,14,39,-.000277,.,.000826,-.00898,.,-.00435,.00442,-.00545
2020,1,14,40,.00875,.00621,.0163,.0112,.00304,.0134,.0107,.00715
2020,1,14,41,-.00206,.,.00399,-.00588,.,.,.00393,-.00468
