year,month,day,emp,emp_incq1,emp_incq2,emp_incq3,emp_incq4,emp_incmiddle,emp_incbelowmed,emp_incabovemed,emp_subset_unweighted_q1,emp_subset_unweighted_q2,emp_subset_unweighted_q3,emp_subset_unweighted_q4,emp_subset_reweighted_q1,emp_subset_reweighted_q2,emp_subset_reweighted_q3,emp_ss40,emp_ss60,emp_ss65,emp_ss70,emp_retail,emp_retail_inclow,emp_retail_incmiddle,emp_retail_inchigh,emp_s72,emp_advance
2020,1,14,-.00112,-.00198,.00044,-.00441,.0012,-.00211,-.000659,-.00149,-.000736,-.0012,-.00433,.000185,.00137,-1.94e-06,-.00426,-.000221,-.000347,-.00232,-.00131,.000882,.000315,-.00153,.0089,-.00162,0
2020,1,15,-.000616,-.00104,.000698,-.00311,.000885,-.0013,-.0000911,-.00103,-.000108,-.000339,-.00285,.000261,.00111,.000479,-.00284,-.0000917,.000124,-.0014,-.000964,.000662,.000297,-.00112,.00649,-.00138,0
2020,1,16,-.000127,-.0000821,.000871,-.00182,.000575,-.000543,.000439,-.000576,.000567,.000367,-.00143,.000309,.000997,.000858,-.00147,.0000544,.00058,-.000544,-.000628,.000467,.000444,-.000739,.00406,-.00112,0
2020,1,17,.000313,.000799,.000965,-.000611,.000285,.000136,.00089,-.000146,.0012,.000933,-.000134,.000337,.000928,.00112,-.000225,.000201,.000977,.000232,-.000338,.000268,.000627,-.000414,.0017,-.000873,0
2020,1,18,.000678,.00154,.000993,.000466,.0000148,.000716,.00124,.000232,.00171,.00139,.000998,.000339,.000742,.00128,.000865,.000332,.00126,.000873,-.0000292,.0000775,.000795,-.000122,-.000496,-.00055,0
2020,1,19,.000972,.00216,.000971,.00138,-.000236,.00119,.00151,.000542,.00212,.00175,.00194,.000317,.00061,.00135,.00178,.000454,.00143,.00141,.000263,-.0000843,.000959,.000152,-.00247,-.000214,0
2020,1,20,.00118,.00259,.000913,.00214,-.000466,.00156,.00167,.000787,.00234,.00204,.0027,.000275,.000361,.00136,.00251,.000529,.00148,.00182,.000524,-.00028,.000873,.000418,-.00421,.000127,0
2020,1,21,.00129,.00272,.00083,.00275,-.000676,.00184,.00169,.000971,.0023,.00227,.0033,.000219,-.000117,.00132,.0031,.000536,.00141,.0021,.000669,-.000515,.000515,.000679,-.0057,.000362,0
2020,1,22,.00136,.00283,.000733,.00323,-.000864,.00205,.00168,.0011,.00221,.00245,.00375,.000154,-.000495,.00126,.00355,.000559,.00127,.00237,.000805,-.000662,.000319,.000936,-.00696,.000605,0
2020,1,23,.00143,.00305,.000631,.00361,-.00103,.0022,.00173,.0012,.0022,.0026,.0041,.0000884,-.000418,.00119,.00389,.000597,.00111,.00264,.000928,-.000752,.000195,.00119,-.008,.000835,0
2020,1,24,.00147,.00314,.00054,.00392,-.00117,.00231,.00172,.00128,.00208,.00273,.00438,.0000355,-.000426,.00111,.00417,.0006,.000925,.00286,.00105,-.000824,-2.58e-06,.00143,-.00881,.00106,0
2020,1,25,.00146,.00299,.000462,.00418,-.00127,.00241,.00161,.00135,.00176,.00283,.00461,3.82e-06,-.00086,.00103,.00441,.000543,.000705,.00298,.0012,-.000896,-.000293,.00167,-.00942,.00129,0
2020,1,26,.00144,.00273,.000395,.00441,-.00133,.00251,.00146,.00143,.00134,.0029,.00481,-1.91e-06,-.00143,.000961,.00462,.000445,.000502,.00307,.00132,-.000983,-.000698,.00187,-.00984,.00147,0
2020,1,27,.00142,.00245,.000336,.00463,-.00136,.00259,.0013,.00152,.000899,.00295,.00499,.0000177,-.00195,.000902,.00482,.000325,.000331,.00318,.00141,-.00106,-.00114,.00203,-.0101,.00162,0
2020,1,28,.0014,.0021,.000283,.00484,-.00135,.00268,.00111,.00162,.000397,.00296,.00516,.0000606,-.00249,.000844,.00501,.000198,.000188,.00327,.00144,-.00111,-.00148,.00215,-.0101,.00167,0
2020,1,29,.00137,.0017,.000234,.00504,-.00131,.00276,.000898,.00174,-.000141,.00296,.00531,.000123,-.00304,.000785,.00519,.0000418,.0000775,.00333,.00148,-.0012,-.00202,.00223,-.00995,.00172,0
2020,1,30,.0013,.00107,.000187,.00523,-.00124,.00284,.000588,.00187,-.000876,.00294,.00546,.000199,-.00406,.000732,.00536,-.000184,-.000031,.00333,.00151,-.00134,-.00278,.00226,-.0096,.00175,0
2020,1,31,.00125,.000486,.000139,.00543,-.00116,.00292,.000296,.002,-.0016,.0029,.00559,.000286,-.00503,.000691,.00554,-.000401,-.000106,.00336,.00152,-.00146,-.00352,.00225,-.00907,.00175,0
2020,2,1,.00124,.0000781,.0000903,.00562,-.00106,.003,.0000848,.00215,-.00219,.00286,.00572,.000386,-.00556,.000672,.00572,-.000571,-.000128,.00349,.0015,-.00156,-.0042,.0022,-.00835,.00171,0
2020,2,2,.00124,-.000305,.0000419,.00582,-.000932,.00308,-.000116,.00231,-.00278,.00282,.00585,.000502,-.00603,.000667,.0059,-.000735,-.000118,.00364,.0015,-.00165,-.00492,.00212,-.00747,.00168,0
2020,2,3,.00127,-.000627,-3.25e-06,.00603,-.00077,.00317,-.000286,.0025,-.00332,.00279,.00598,.000645,-.00635,.000675,.00609,-.000879,-.0000641,.00382,.00152,-.00173,-.00562,.00203,-.00647,.00167,0
2020,2,4,.0013,-.000973,-.0000414,.00624,-.00056,.00326,-.000464,.00271,-.00389,.00276,.00612,.000826,-.00675,.000711,.00627,-.00105,.000032,.00402,.00158,-.00188,-.00662,.00192,-.00542,.00171,0
2020,2,5,.00137,-.00131,-.0000686,.00646,-.000288,.00336,-.00063,.00295,-.00444,.00275,.00626,.00106,-.00714,.000779,.00646,-.00119,.00018,.00422,.00165,-.00198,-.00741,.00181,-.00436,.00176,0
2020,2,6,.00151,-.00138,-.0000807,.00668,.0000591,.00348,-.000672,.00324,-.00477,.00275,.00641,.00136,-.00698,.000877,.00666,-.00124,.000422,.00452,.00176,-.00201,-.00796,.00172,-.00336,.00185,0
