year,month,day,statefips,emp,emp_incq1,emp_incq2,emp_incq3,emp_incq4,emp_incmiddle,emp_incbelowmed,emp_incabovemed,emp_ss40,emp_ss60,emp_ss65,emp_ss70
2020,1,14,1,-.00405,-.000334,-.00955,-.00737,.0000625,-.00834,-.00395,-.00415,.00584,.000524,-.0089,.00065
2020,1,14,2,.,.,.,.,.,.,.0176,.,.,.,.,.
2020,1,14,4,-.000391,.00383,-.00115,-.00532,.00184,-.00315,.00112,-.00202,.0024,.00275,.00098,-.00684
2020,1,14,5,-.0104,-.00913,-.0113,.,.,-.0132,-.00988,-.0112,-.0155,.,.,-.0275
2020,1,14,6,-.00352,.0105,-.00661,-.00562,-.00295,-.00614,-.00247,-.00423,-.0012,-.00288,-.00489,-.00559
2020,1,14,8,-.00243,.000184,-.00572,-.00584,.00192,-.00579,-.00356,-.00176,-.00318,-.00439,-.00325,.000615
2020,1,14,9,-.000196,.000973,.00117,-.00153,-.000744,-.000313,.00108,-.00113,.00119,.000511,.000156,.00057
2020,1,14,10,-.0017,-.00209,.00222,-.0018,-.00453,.000067,-.0000389,-.00319,-.00202,-.00485,.0026,.00266
2020,1,14,11,.,.,.,.,.,.,.,.,.,.,.,.
2020,1,14,12,-.00222,-.00366,.000777,-.00722,.00214,-.00332,-.00158,-.00292,-.00237,.000327,-.00371,-.0049
2020,1,14,13,-.00125,-.00433,.00319,-.00358,.000715,-.000436,-.00109,-.00141,.000154,-.000935,-.00322,-.00126
2020,1,14,15,.00392,.00114,.00527,.00772,.,.00635,.00362,.00424,.011,.00125,.,-.00121
2020,1,14,16,-.0235,-.0189,.,.,.,.,-.0276,.,.,.,.,-.0095
2020,1,14,17,-.000637,-.000454,.00258,-.00422,-.000215,-.000962,.00122,-.00207,.0000275,-.00697,-.00118,.00613
2020,1,14,18,-.00489,-.00584,-.00425,-.0111,.00364,-.00786,-.00516,-.00459,-.00436,.00516,-.0116,-.0157
2020,1,14,19,-.00553,-.0102,.,-.0065,.,-.00266,-.00473,.,-.00334,.,.00407,-.0202
2020,1,14,20,.0018,.00316,.00704,-.00109,-.00144,.00273,.00518,-.00125,.00498,.00217,-.000792,.00156
2020,1,14,21,-.00258,-.00732,-.00208,-.000505,.00205,-.00133,-.00498,.000646,-.0055,-.00584,.00527,-.00396
2020,1,14,22,-.00379,-.0096,.00419,-.0067,.00221,-.0016,-.00469,-.00259,.00397,-.000522,-.00173,-.0164
2020,1,14,23,-.00167,-.0111,.0008,.,.,.,-.00388,.,-.0042,.,-.0033,.
2020,1,14,24,-.000975,.000724,.00161,-.00508,-.000692,-.0019,.00118,-.00272,-.00213,.00266,-.00236,.00103
2020,1,14,25,-.000169,.00377,.000226,-.00172,-.000192,-.000862,.00125,-.000881,.00255,-.00117,-.0012,-.00288
2020,1,14,26,-.000703,-.00347,.00547,-.00437,.000278,.000322,.000733,-.00217,.00298,-.00232,.00186,-.00249
2020,1,14,27,-.0000609,-.00222,.00301,-.00352,.00255,-.000826,.000739,-.000572,.00311,-.00442,-.00286,.00318
2020,1,14,28,-.00644,-.00575,.,.,.,.,-.00673,.,.,.,.,.00836
2020,1,14,29,.00217,-.00165,.00482,-.000823,.00747,.00171,.00122,.00309,.00353,.00618,-.00205,.000542
2020,1,14,30,.,-.0145,.,.,.,.,-.0157,.,.,.,.,.
2020,1,14,31,.00791,.00496,.0162,.00632,.00515,.0108,.0103,.00574,.0035,.013,.00842,-.00179
2020,1,14,32,-.000752,-.000394,.00361,-.00531,-.000933,-.000876,.00145,-.00321,.000252,-.00388,-.00307,.00328
2020,1,14,33,-.00035,.00178,.00158,-.00366,-.00013,-.00128,.00167,-.00209,.00305,-.00365,-.0019,.0035
2020,1,14,34,-.000799,-.00433,.00118,.0000911,-.000135,.000584,-.00177,-.0000339,-.00117,.00132,-.00336,-.00283
2020,1,14,35,-.00446,-.00994,-.00419,-.0031,.00516,-.00369,-.00763,.000571,.,-.0108,-.00765,.00497
2020,1,14,36,-.00166,-.00563,.000168,-.00349,.000365,-.00167,-.00186,-.00151,-.00308,-.000106,-.00236,-.000927
2020,1,14,37,-.000616,.00111,-.00177,-.00413,.00227,-.00298,-.000122,-.00121,.0000296,.00952,-.00405,.000328
2020,1,14,38,-.00423,.,.00213,-.00125,.,.000182,-.00591,-.00296,.00803,-.00146,.,.
2020,1,14,39,.000172,.002,-.000948,-.00455,.00436,-.0028,.000794,-.000626,-.0014,.00274,.000684,-.000293
2020,1,14,40,-.000388,-.00298,.00114,.000892,.0000882,.00101,-.0012,.000513,.00115,-.0028,.00409,-.00799
2020,1,14,41,-.00222,-.00267,-.00141,-.00532,.000897,-.00332,-.00179,-.00259,-.00328,.000848,-.00489,-.000189
2020,1,14,42,-.000229,-.00317,.0063,-.00403,.00123,.000717,.00105,-.00149,.00229,-.000686,-.00261,.00495
2020,1,14,44,-.00204,-.00619,.00167,-.00238,-.00188,-.000475,-.00192,-.00214,-.00293,-.000941,-.00674,-.000709
2020,1,14,45,-.00053,-.000212,.000556,-.00435,.,-.00184,.000142,.,.00534,.,-.00972,.000804
2020,1,14,46,.,.,.,.,.,.,.,.,.,.,.,.
2020,1,14,47,-.00382,-.00789,.0015,-.00804,.00126,-.00338,-.00384,-.00379,.000979,-.00296,2.06e-06,-.0194
2020,1,14,48,-.00248,-.00292,-8.61e-06,-.0101,.00326,-.00524,-.00164,-.00335,-.00106,-.00081,-.00533,-.00192
2020,1,14,49,-.000286,-.00287,-.000388,.00132,.00113,.000422,-.00163,.00123,-.00411,.00565,-.00442,.00744
2020,1,14,50,-.000377,-.00859,.0018,.00142,.,.00161,-.00208,.00131,-.00129,.0016,-.00663,-.00403
2020,1,14,51,.000466,-.000589,.00192,-.00355,.00342,-.00107,.000554,.000397,-.0019,.00503,-.000133,-.000287
2020,1,14,53,-.00358,.0648,-.0092,-.00988,.000809,-.00957,-.00156,-.00453,-.00166,-.00506,-.00996,-.0053
2020,1,14,54,-.0054,-.0048,-.00617,-.00936,.,-.00781,-.00528,-.00557,.0024,-.00186,-.0105,-.0229
2020,1,14,55,-.000405,-.00209,.00454,-.00453,.00164,-.000324,.000938,-.00183,.000402,-.0014,.000162,-.0059
2020,1,14,56,.,-.0114,-.00322,.,.,.,-.00715,.,.,.,.,.00196
2020,1,15,1,-.00366,-.00103,-.00811,-.00473,-.00187,-.00623,-.00381,-.00349,.00497,.00045,-.00779,.000675
2020,1,15,2,.,.,.,.,.,.,.0169,.,.,.,.,.
