year,month,day,cityid,emp_combined,emp_combined_inclow,emp_combined_incmiddle,emp_combined_inchigh
2020,1,14,1,-.00619,.00236,-.00829,-.00442
2020,1,14,2,-.00543,-.0091,-.00489,-.00558
2020,1,14,3,-.0056,-.0104,-.00518,-.00327
2020,1,14,4,-.00986,.,-.0145,-.00461
2020,1,14,5,-.00442,-.00227,-.00618,-.00254
2020,1,14,6,-.00766,.00787,-.0128,-.00585
2020,1,14,7,-.00478,-.0095,-.00644,.00207
2020,1,14,8,-.00358,.,-.00569,-.000941
2020,1,14,9,-.00768,-.0115,-.0115,-.00153
2020,1,14,10,-.00672,.00185,-.012,-.00478
2020,1,14,11,-.00185,-.00199,-.00796,.013
2020,1,14,12,-.00662,-.00813,-.00807,-.00484
2020,1,14,13,-.0069,.,.,-.00463
2020,1,14,14,-.0063,-.0238,.,-.00348
2020,1,14,15,-.0053,-.00158,.,-.00425
2020,1,14,16,-.0177,-.00736,.,-.0047
2020,1,14,17,-.00347,-.00269,-.00647,.00147
2020,1,14,18,-.00538,.00352,-.0103,-.00343
2020,1,14,19,.00627,.,-.00411,.
2020,1,14,20,-.00759,-.00977,-.00915,-.000623
2020,1,14,21,-.00926,-.00107,-.00527,-.0135
2020,1,14,22,-.00481,-.00538,.,.
2020,1,14,23,.,.,.,.
2020,1,14,24,-.00475,.,-.00643,.000248
2020,1,14,25,-.00527,-.0134,-.00357,-.0048
2020,1,14,26,-.00487,-.00928,-.00244,.
2020,1,14,27,-.00398,.,-.00184,-.00608
2020,1,14,28,-.00632,.,.,-.00614
2020,1,14,29,-.0051,.0013,-.00791,-.00331
2020,1,14,30,-.00496,-.0053,-.00501,-.00459
2020,1,14,31,-.00428,-.00598,-.00386,-.00242
2020,1,14,32,-.00986,.,-.00952,-.00271
2020,1,14,33,-.00515,.00468,-.0115,-.000789
2020,1,14,34,-.00443,.0173,.,-.00579
2020,1,14,35,.00243,.00992,.00389,-.00297
2020,1,14,36,-.00468,-.00648,-.0072,-.000133
2020,1,14,37,.000448,.,-.000712,.00474
