year,month,day,emp_combined,emp_combined_inclow,emp_combined_incmiddle,emp_combined_inchigh,emp_combined_ss40,emp_combined_ss60,emp_combined_ss65,emp_combined_ss70,emp_combined_retail,emp_combined_retail_inclow,emp_combined_retail_incmiddle,emp_combined_retail_inchigh,emp_combined_advance
2020,1,14,-.00293,-.0019,-.00434,-.00119,-.00174,-.00208,-.00405,-.00348,-.00134,-.00025,-.00431,.0055,0
2020,1,15,-.00193,-.00122,-.00286,-.000821,-.00113,-.00118,-.00264,-.00258,-.000971,-.000264,-.00306,.00392,0
2020,1,16,-.000994,-.000473,-.0015,-.000485,-.000539,-.000319,-.00133,-.00174,-.000604,-.0000428,-.00192,.0023,0
2020,1,17,-.000141,.000234,-.000278,-.000176,.0000224,.000438,-.000156,-.000982,-.000273,.00024,-.000915,.000741,0
2020,1,18,.000602,.000836,.000789,.0000994,.000526,.00105,.000825,-.000206,.0000289,.000524,9.31e-07,-.000708,0
2020,1,19,.00125,.00142,.0017,.000336,.000984,.00154,.00169,.000524,.000334,.000849,.000847,-.00201,0
2020,1,20,.00178,.00181,.00248,.000538,.00133,.0019,.00239,.00118,.000526,.000793,.00164,-.00314,0
2020,1,21,.00216,.00183,.00313,.000708,.00154,.00212,.00292,.00159,.0006,.000314,.00238,-.0041,0
2020,1,22,.00251,.00195,.00368,.000855,.00177,.00227,.00347,.00198,.000783,.00017,.00308,-.00487,0
2020,1,23,.00288,.0024,.00415,.000984,.00202,.00244,.00409,.00234,.00103,.000193,.00374,-.00548,0
2020,1,24,.0032,.00272,.00458,.00111,.0022,.00256,.00465,.00271,.00126,.000126,.00437,-.00589,0
2020,1,25,.00342,.00267,.00496,.00125,.00229,.0026,.00504,.00311,.00146,-.0000764,.00495,-.00613,0
2020,1,26,.0036,.00247,.00531,.00141,.0023,.00261,.00538,.00347,.0016,-.000453,.00546,-.00619,0
2020,1,27,.00378,.00227,.00565,.00158,.00229,.00264,.00574,.00382,.00174,-.000854,.00592,-.00609,0
2020,1,28,.00393,.00196,.00596,.00177,.00227,.00266,.00607,.00407,.00193,-.00104,.00631,-.00584,0
2020,1,29,.00406,.00158,.00627,.00198,.00221,.00269,.00633,.00438,.00203,-.00153,.00664,-.00547,0
2020,1,30,.00411,.000808,.00656,.0022,.00203,.00267,.00645,.00468,.00203,-.00232,.00692,-.00498,0
2020,1,31,.00418,.000108,.00686,.00243,.00187,.00267,.00662,.00501,.00205,-.00302,.00715,-.0044,0
2020,2,1,.00432,-.000286,.00715,.00267,.00181,.00273,.00695,.00531,.00212,-.0035,.00735,-.00374,0
2020,2,2,.00447,-.00065,.00745,.00293,.00176,.00281,.00728,.00568,.00219,-.00399,.00752,-.00304,0
2020,2,3,.00465,-.000924,.00776,.00322,.00174,.00293,.00765,.00608,.00229,-.00439,.00767,-.00231,0
2020,2,4,.00483,-.00127,.00807,.00355,.00167,.00307,.00802,.00655,.00223,-.00529,.00782,-.00158,0
2020,2,5,.00502,-.00162,.00839,.00392,.00166,.00324,.00838,.00698,.00226,-.00584,.00796,-.000879,0
2020,2,6,.00532,-.00156,.00872,.00435,.00178,.00352,.00889,.00744,.00239,-.00604,.0081,-.000228,0
2020,2,7,.00564,-.00148,.00904,.00485,.00193,.00384,.00941,.00789,.00253,-.00617,.00824,.00035,0
2020,2,8,.0059,-.00181,.00936,.00542,.002,.00415,.00978,.0082,.00258,-.00656,.00839,.000823,0
2020,2,9,.00617,-.00212,.00968,.00604,.00211,.00449,.0101,.00849,.00265,-.0068,.00854,.00118,0
2020,2,10,.00643,-.0025,.00998,.0067,.00222,.00484,.0105,.00873,.00272,-.00699,.00869,.00142,0
2020,2,11,.00678,-.00251,.0103,.00741,.00248,.00523,.0108,.00916,.00305,-.00625,.00886,.00156,0
2020,2,12,.00714,-.00249,.0106,.00814,.00276,.00561,.0112,.00959,.00338,-.00546,.00904,.00161,0
2020,2,13,.00742,-.00281,.0108,.00888,.00293,.00593,.0114,.01,.0036,-.0051,.00924,.00158,0
2020,2,14,.00769,-.00324,.0111,.00965,.00306,.00624,.0116,.0104,.00378,-.00489,.0095,.00153,0
2020,2,15,.00804,-.00338,.0114,.0104,.00327,.00658,.0119,.0108,.00405,-.00454,.00983,.00148,0
2020,2,16,.00841,-.00351,.0117,.0112,.00349,.0069,.0122,.0113,.00436,-.00418,.0102,.00147,0
2020,2,17,.00881,-.00353,.0121,.0121,.00374,.00724,.0126,.0118,.00474,-.00376,.0107,.00152,0
2020,2,18,.00918,-.00378,.0124,.0129,.00392,.00755,.0129,.0121,.00499,-.00389,.0112,.00166,0
2020,2,19,.00951,-.00418,.0128,.0137,.00404,.00783,.0132,.0124,.00522,-.00423,.0118,.0019,0
2020,2,20,.0099,-.00433,.0132,.0145,.00423,.00813,.0136,.0126,.00559,-.00424,.0123,.00227,0
2020,2,21,.0103,-.00443,.0136,.0152,.00442,.0084,.014,.0129,.00596,-.00426,.0129,.00276,0
2020,2,22,.0105,-.00496,.014,.0159,.00447,.00858,.0141,.0132,.00624,-.00461,.0134,.00337,0
2020,2,23,.0108,-.00539,.0143,.0165,.00448,.00873,.0143,.0134,.00649,-.00504,.0139,.00409,0
2020,2,24,.011,-.00593,.0146,.017,.00441,.00883,.0145,.0135,.00666,-.00569,.0143,.0049,0
2020,2,25,.0111,-.0065,.0149,.0174,.0043,.00889,.0146,.0137,.00679,-.00643,.0147,.00577,0
2020,2,26,.0113,-.00697,.0152,.0177,.0042,.00893,.0147,.0138,.00697,-.00695,.015,.00669,0
2020,2,27,.0113,-.00764,.0154,.018,.00402,.00891,.0146,.0139,.00698,-.00796,.0153,.00763,0
2020,2,28,.0113,-.00839,.0156,.0181,.00377,.00885,.0145,.0139,.00687,-.00931,.0155,.00857,0
2020,2,29,.0113,-.0088,.0157,.0182,.00358,.00882,.0146,.0138,.00673,-.0107,.0157,.00947,0
2020,3,1,.0113,-.00929,.0159,.0182,.00339,.00878,.0145,.0138,.00653,-.0121,.0158,.0103,0
2020,3,2,.0112,-.0098,.016,.0181,.0032,.00872,.0144,.0136,.00629,-.0135,.0159,.0111,0
2020,3,3,.0111,-.0102,.0161,.0179,.00304,.00867,.0142,.0133,.00601,-.0149,.016,.0117,0
2020,3,4,.0109,-.0108,.0161,.0177,.00281,.00859,.014,.0128,.00556,-.0167,.016,.0122,0
2020,3,5,.0107,-.0116,.0161,.0174,.00255,.00845,.0137,.0121,.00508,-.0184,.0159,.0125,0
2020,3,6,.0104,-.0124,.016,.0171,.00231,.0083,.0133,.0111,.00458,-.0198,.0157,.0126,0
2020,3,7,.00989,-.0135,.0158,.0166,.00192,.00806,.0127,.00975,.0039,-.0216,.0155,.0124,0
2020,3,8,.00927,-.0148,.0154,.0161,.00144,.00775,.012,.00795,.00306,-.0234,.0151,.0119,0
2020,3,9,.00854,-.016,.0149,.0153,.000866,.00739,.0112,.00558,.00209,-.025,.0145,.011,0
2020,3,10,.00754,-.0175,.0141,.0143,.0000864,.00688,.0101,.00245,.000829,-.027,.0136,.00968,0
2020,3,11,.00625,-.0192,.013,.013,-.000907,.00619,.00883,-.0016,-.000697,-.029,.0125,.00786,0
2020,3,12,.00461,-.0213,.0115,.0115,-.00216,.00529,.00719,-.00674,-.00255,-.0311,.0109,.00552,0
2020,3,13,.00245,-.024,.00946,.00939,-.00389,.00399,.0051,-.0132,-.00504,-.0341,.00891,.0025,0
2020,3,14,-.000282,-.0272,.00687,.00683,-.00614,.00229,.00257,-.0213,-.00822,-.038,.00628,-.00118,0
2020,3,15,-.00362,-.0312,.00364,.00377,-.00885,.000166,-.000514,-.031,-.012,-.0423,.00302,-.00549,0
2020,3,16,-.00764,-.0361,-.000267,.000208,-.0121,-.00244,-.00427,-.0424,-.0165,-.0474,-.000947,-.0104,0
2020,3,17,-.0123,-.0419,-.00489,-.00386,-.016,-.0055,-.00864,-.0556,-.0216,-.0531,-.00569,-.0159,0
2020,3,18,-.0177,-.0485,-.0103,-.00841,-.0204,-.00902,-.0137,-.0706,-.0276,-.0596,-.0113,-.022,0
2020,3,19,-.0239,-.0562,-.0165,-.0135,-.0255,-.013,-.0194,-.0876,-.0344,-.0672,-.0178,-.0286,0
2020,3,20,-.0308,-.065,-.0234,-.0188,-.0312,-.0174,-.0259,-.106,-.042,-.0755,-.0252,-.0355,0
2020,3,21,-.0384,-.075,-.031,-.0246,-.0376,-.0221,-.0331,-.127,-.0507,-.0856,-.0335,-.0429,0
2020,3,22,-.0466,-.086,-.0393,-.0305,-.0446,-.0272,-.0409,-.15,-.0602,-.0967,-.0427,-.0505,0
2020,3,23,-.0554,-.098,-.0483,-.0367,-.0521,-.0326,-.0493,-.174,-.0704,-.109,-.0527,-.0583,0
2020,3,24,-.0647,-.111,-.0578,-.0431,-.0602,-.0382,-.0581,-.199,-.0812,-.121,-.0635,-.0662,0
2020,3,25,-.0744,-.124,-.0678,-.0495,-.0687,-.0441,-.0676,-.224,-.0927,-.135,-.0749,-.0741,0
2020,3,26,-.0845,-.139,-.0781,-.0559,-.0776,-.0501,-.0775,-.25,-.105,-.149,-.087,-.082,0
2020,3,27,-.0948,-.154,-.0886,-.0623,-.0869,-.0564,-.0877,-.277,-.117,-.165,-.0995,-.0898,0
2020,3,28,-.105,-.17,-.0993,-.0685,-.0965,-.0627,-.0981,-.302,-.13,-.181,-.112,-.0973,0
2020,3,29,-.116,-.186,-.11,-.0745,-.106,-.0691,-.109,-.328,-.143,-.197,-.125,-.105,0
2020,3,30,-.126,-.202,-.121,-.0804,-.116,-.0755,-.119,-.352,-.156,-.214,-.139,-.112,0
2020,3,31,-.137,-.219,-.131,-.086,-.126,-.0819,-.13,-.375,-.169,-.23,-.152,-.118,0
2020,4,1,-.147,-.234,-.142,-.0914,-.136,-.0881,-.141,-.397,-.182,-.247,-.165,-.125,0
2020,4,2,-.156,-.25,-.151,-.0965,-.145,-.0941,-.151,-.418,-.195,-.263,-.178,-.131,0
2020,4,3,-.165,-.264,-.161,-.101,-.154,-.0999,-.161,-.437,-.206,-.278,-.19,-.137,0
2020,4,4,-.174,-.277,-.17,-.106,-.163,-.105,-.17,-.454,-.217,-.291,-.201,-.142,0
2020,4,5,-.182,-.29,-.178,-.11,-.171,-.11,-.179,-.469,-.228,-.304,-.212,-.147,0
2020,4,6,-.19,-.301,-.186,-.114,-.178,-.115,-.187,-.483,-.238,-.316,-.222,-.152,0
2020,4,7,-.196,-.312,-.194,-.117,-.185,-.12,-.195,-.495,-.247,-.328,-.232,-.156,0
2020,4,8,-.203,-.321,-.2,-.12,-.192,-.124,-.202,-.505,-.255,-.338,-.24,-.16,0
2020,4,9,-.208,-.33,-.206,-.123,-.198,-.128,-.209,-.514,-.262,-.348,-.248,-.163,0
2020,4,10,-.213,-.338,-.212,-.125,-.203,-.131,-.215,-.522,-.269,-.356,-.255,-.166,0
2020,4,11,-.218,-.344,-.216,-.127,-.208,-.134,-.22,-.529,-.275,-.363,-.261,-.168,0
2020,4,12,-.221,-.35,-.22,-.129,-.211,-.137,-.225,-.534,-.279,-.37,-.266,-.17,0
2020,4,13,-.224,-.355,-.223,-.13,-.215,-.139,-.229,-.538,-.283,-.375,-.27,-.171,0
2020,4,14,-.227,-.359,-.226,-.131,-.217,-.14,-.233,-.541,-.287,-.38,-.273,-.172,0
2020,4,15,-.229,-.363,-.228,-.131,-.219,-.141,-.236,-.544,-.289,-.384,-.275,-.173,0
2020,4,16,-.23,-.366,-.23,-.131,-.221,-.142,-.239,-.546,-.291,-.387,-.277,-.173,0
2020,4,17,-.231,-.369,-.231,-.131,-.222,-.143,-.241,-.547,-.293,-.389,-.279,-.173,0
2020,4,18,-.232,-.371,-.232,-.13,-.223,-.144,-.242,-.547,-.294,-.391,-.28,-.173,0
2020,4,19,-.232,-.372,-.232,-.129,-.223,-.144,-.243,-.547,-.294,-.393,-.28,-.172,0
2020,4,20,-.232,-.374,-.233,-.129,-.223,-.144,-.244,-.547,-.295,-.394,-.28,-.171,0
2020,4,21,-.232,-.374,-.233,-.128,-.223,-.144,-.245,-.546,-.294,-.395,-.28,-.17,0
2020,4,22,-.232,-.375,-.232,-.126,-.223,-.144,-.245,-.545,-.294,-.395,-.28,-.169,0
2020,4,23,-.231,-.375,-.232,-.125,-.223,-.144,-.245,-.543,-.293,-.394,-.279,-.167,0
