year,month,day,statefips,emp_combined,emp_combined_inclow,emp_combined_incmiddle,emp_combined_inchigh,emp_combined_ss40,emp_combined_ss60,emp_combined_ss65,emp_combined_ss70
2020,1,14,1,-.00307,-.000734,-.00671,.00141,.00194,.00258,-.00562,-.000942
2020,1,14,2,-.00311,.0288,-.00137,-.023,.0138,.041,-.0451,.0226
2020,1,14,4,-.00411,-2.62e-06,-.00678,-.0023,-.000351,.00169,-.0048,-.00674
2020,1,14,5,-.00508,-.00707,-.00756,.,.00334,-.00933,.,-.0225
2020,1,14,6,-.00588,.00575,-.00849,-.0054,-.002,-.00489,-.00798,-.0068
2020,1,14,8,-.00409,-.00716,-.00497,-.00129,-.00154,-.00612,-.00785,-.00389
2020,1,14,9,-.00217,-.00416,-.000823,-.00318,-.00189,-.00159,.0018,-.00123
2020,1,14,10,-.00379,-.00728,-.000754,-.00584,-.00379,-.00759,.00526,-.00707
2020,1,14,11,-.00513,.000767,-.00791,-.00331,.00873,-.00397,-.0113,-.00731
2020,1,14,12,-.00585,-.00605,-.00827,-.000146,-.00675,-.0035,-.0062,-.00597
2020,1,14,13,-.00376,-.00484,-.0046,-.00094,-.00241,-.00154,-.00532,-.00318
2020,1,14,15,-.00314,-.00892,-.000636,.,.0107,-.00413,-.0174,-.000255
2020,1,14,16,-.0132,-.00872,-.0136,-.0197,-.00465,-.0137,-.0286,-.0201
2020,1,14,17,-.00417,-.00452,-.00531,-.00211,-.00287,-.00774,-.00454,-.0108
2020,1,14,18,-.00425,-.00139,-.00885,.00305,-.00419,-.000531,-.00905,-.00297
2020,1,14,19,-.00615,-.00757,-.00675,-.0027,-.0114,-.00797,.00385,-.0058
2020,1,14,20,.00273,.00415,.00352,-.000756,.0139,-.005,-.00609,.00119
2020,1,14,21,-.00637,-.00975,-.00594,-.00102,-.000744,-.0038,-.00847,-.0037
2020,1,14,22,-.00656,-.00901,-.00861,.00287,-.00196,.00021,-.00727,-.00357
2020,1,14,23,-.00232,-.0127,.000479,.0019,-.00153,-.00237,-.00443,.00633
2020,1,14,24,-.00258,-.00479,-.0028,-.000609,-.000828,-.00138,-.00484,-.00231
2020,1,14,25,-.00194,.00169,-.00292,-.00191,.000503,-.00302,-.00233,-.00337
2020,1,14,26,-.00468,-.00786,-.0043,-.00163,-.00103,-.00738,-.00609,-.00544
2020,1,14,27,-.00185,-.00576,-.00308,.00299,.000877,-.00317,-.00644,-.000245
2020,1,14,28,-.000554,.0045,-.00724,-.00139,.0113,-.00206,-.0104,.0127
2020,1,14,29,-.000502,-.00397,-.000318,.00441,.00351,-.0000283,.0000459,-.00593
2020,1,14,30,-.0039,-.0125,-.000838,-.000548,.0017,-.00664,-.00859,-.00942
2020,1,14,31,.00768,-.000345,.00956,.0118,.000863,.00606,.0441,-.00932
2020,1,14,32,-.00425,-.00284,-.00606,-.00207,-.00226,-.00533,-.00858,-.000551
2020,1,14,33,-.00204,-.00347,-.00242,.00022,.00284,-.00715,-.00556,.00227
2020,1,14,34,-.00301,-.00416,-.00319,-.0018,-.00456,-.00216,-.00513,-.00211
2020,1,14,35,-.0113,-.0129,-.0112,-.00819,-.00405,-.0126,-.0145,-.000646
2020,1,14,36,-.00395,-.00707,-.00405,-.0021,-.00543,-.00194,-.00753,-.0000229
2020,1,14,37,-.00199,.0015,-.00557,.000553,-.000212,.00373,-.00856,-.00404
2020,1,14,38,-.00958,-.0232,-.0039,-.00294,.00324,-.0076,-.0156,.
2020,1,14,39,-.00139,.000772,-.00437,.00216,.000152,.00183,-.00494,-.00152
2020,1,14,40,-.00314,-.0073,-.00145,-.000605,.000704,-.0137,.00333,-.00604
2020,1,14,41,-.00373,-.00508,-.00495,.000694,-.00244,8.88e-06,-.00626,-.00265
2020,1,14,42,-.00232,-.00699,-.000783,.000169,-.000889,-.00249,-.00218,-.00144
2020,1,14,44,-.00268,-.00558,-.00102,-.00365,-.0018,-.00325,-.00675,.00106
2020,1,14,45,-.00251,-.000808,-.00561,.00294,-.00427,-.00151,-.011,-.00293
2020,1,14,46,.00167,-.008,-.00378,.,.,.00381,.,.00928
2020,1,14,47,-.00462,-.00697,-.00489,-.000442,.000196,-.00645,-.0034,-.0102
2020,1,14,48,-.00727,-.00489,-.0116,-.00206,-.00825,-.0042,-.00927,-.0072
2020,1,14,49,-.00398,-.00719,-.00642,.00609,-.000623,.0049,-.0167,-.00144
2020,1,14,50,-.00108,-.0227,.00338,.00432,.00364,-.0126,-.00218,-.00272
2020,1,14,51,-.000382,-.000561,-.00226,.00225,-.00122,.00427,-.00596,.00444
2020,1,14,53,-.00579,.0177,-.0093,-.00139,-.000557,-.00745,-.0169,-.00444
2020,1,14,54,-.00293,-.00757,-.00209,.00479,.00248,.00749,.000825,-.0319
2020,1,14,55,-.00283,-.00567,-.00291,.0014,-.00227,-.00445,.000395,-.00493
2020,1,14,56,-.00345,-.00105,-.000108,.,.00833,-.0266,.00428,-.00224
2020,1,15,1,-.00251,-.000906,-.00428,-.00108,.00176,.00327,-.00471,-.000902
2020,1,15,2,-.00357,.0261,-.00311,-.0198,.0122,.0254,-.042,.0219
2020,1,15,4,-.00344,-.000834,-.00519,-.00214,.00022,-.000791,-.00356,-.00481
2020,1,15,5,-.00611,-.00907,-.00716,.,.00361,-.00902,.,-.0288
2020,1,15,6,-.0041,.00244,-.00557,-.00382,-.000995,-.00318,-.00524,-.00555
