cityid,cityname,stateabbrev,statename,statefips,lat,lon,city_pop2019
1,Los Angeles,CA,California,6,34.05,-118.24,10039107
2,New York City,NY,New York,36,40.71,-74.01,8336817
3,Chicago,IL,Illinois,17,41.88,-87.63,5150233
4,Houston,TX,Texas,48,29.76,-95.37,4713325
5,Phoenix,AZ,Arizona,4,33.45,-112.07,4485414
6,San Diego,CA,California,6,32.72,-117.16,3338330
7,Dallas,TX,Texas,48,32.78,-96.8,2635516
8,Las Vegas,NV,Nevada,32,36.17,-115.14,2266715
9,Seattle,WA,Washington,53,47.61,-122.33,2252782
10,Fort Worth,TX,Texas,48,32.76,-97.33,2102515
11,San Antonio,TX,Texas,48,29.42,-98.49,2003554
12,San Jose,CA,California,6,37.34,-121.89,1927852
13,Detroit,MI,Michigan,26,42.33,-83.05,1749343
14,Philadelphia,PA,Pennsylvania,42,39.95,-75.17,1584064
15,Columbus,OH,Ohio,39,39.96,-83,1316756
16,Austin,TX,Texas,48,30.27,-97.74,1273954
17,Charlotte,NC,North Carolina,37,35.23,-80.84,1110356
18,Indianapolis,IN,Indiana,18,39.77,-86.16,964582
19,Jacksonville,FL,Florida,12,30.33,-81.66,957755
20,Memphis,TN,Tennessee,47,35.15,-90.05,937166
21,San Francisco,CA,California,6,37.77,-122.42,881549
22,El Paso,TX,Texas,48,31.78,-106.44,839238
23,Baltimore,MD,Maryland,24,39.29,-76.61,593490
24,Portland,OR,Oregon,41,45.52,-122.68,812855
25,Boston,MA,Massachusetts,25,42.36,-71.06,803907
26,Oklahoma City,OK,Oklahoma,40,35.47,-97.52,797434
27,Louisville,KY,Kentucky,21,38.25,-85.76,766757
28,Denver,CO,Colorado,8,39.74,-104.99,727211
29,Washington,DC,District of Columbia,11,38.91,-77.04,705749
30,Nashville,TN,Tennessee,47,36.16,-86.78,694144
31,Milwaukee,WI,Wisconsin,55,43.04,-87.91,945726
32,Albuquerque,NM,New Mexico,35,35.09,-106.61,679121
33,Tucson,AZ,Arizona,4,32.22,-110.93,1047279
34,Fresno,CA,California,6,36.75,-119.77,999101
35,Sacramento,CA,California,6,38.58,-121.49,1552058
36,Atlanta,GA,Georgia,13,33.75,-84.39,1063937
37,Kansas City,MO,Missouri,29,39.1,-94.58,703011
38,Miami,FL,Florida,12,25.76,-80.19,2716940
39,Raleigh,NC,North Carolina,37,35.78,-78.64,1111761
40,Omaha,NE,Nebraska,31,41.25,-96,571327
41,Oakland,CA,California,6,37.8,-122.27,1671329
42,Minneapolis,MN,Minnesota,27,44.98,-93.27,1265843
43,Tampa,FL,Florida,12,27.95,-82.46,1471968
44,New Orleans,LA,Louisiana,22,29.95,-90.07,390144
45,Wichita,KS,Kansas,20,37.69,-97.34,516042
46,Cleveland,OH,Ohio,39,41.5,-81.69,1235072
47,Bakersfield,CA,California,6,35.37,-119.02,900202
48,Honolulu,HI,Hawaii,15,21.31,-157.86,974563
49,Boise,ID,Idaho,16,43.62,-116.2,481587
50,Salt Lake City,UT,Utah,49,40.76,-111.89,1160437
51,Virginia Beach,VA,Virginia,51,36.85,-75.98,449974
52,Colorado Springs,CO,Colorado,8,38.83,-104.82,720403
53,Tulsa,OK,Oklahoma,40,36.15,-95.99,651552
