year,month,day,gps_retail_and_recreation,gps_grocery_and_pharmacy,gps_parks,gps_transit_stations,gps_workplaces,gps_residential,gps_away_from_home
2020,2,24,.029999999,.0057100002,.11,.02,.0143,0,.0025800001
2020,2,25,.035700001,.0085699996,.114,.021400001,.017100001,-.0014299999,.00397
2020,2,26,.0429,.0114,.11,.0243,.0186,-.0028599999,.00557
2020,2,27,.052900001,.015699999,.121,.029999999,.021400001,-.0042900001,.0070099998
2020,2,28,.0614,.0229,.13,.035700001,.0243,-.0057100002,.0083900001
2020,2,29,.068599999,.0286,.127,.038600001,.0243,-.0071399999,.0109
2020,3,1,.077100001,.037099998,.12,.0414,.025699999,-.0071399999,.0109
2020,3,2,.084299996,.044300001,.121,.0429,.025699999,-.0085699996,.0126
2020,3,3,.094300002,.057100002,.13699999,.044300001,.025699999,-.0099999998,.014
2020,3,4,.095700003,.062899999,.154,.0429,.027100001,-.0099999998,.014
2020,3,5,.095700003,.068599999,.167,.039999999,.0286,-.0114,.0154
2020,3,6,.091399997,.068599999,.17,.035700001,.0286,-.0114,.0154
2020,3,7,.088600002,.07,.18099999,.035700001,.029999999,-.0099999998,.0129
2020,3,8,.084299996,.067100003,.213,.032900002,.0286,-.0099999998,.0129
2020,3,9,.082900003,.067100003,.243,.0286,.0243,-.0085699996,.0112
2020,3,10,.0757,.062899999,.23999999,.02,.0186,-.0057100002,.00844
2020,3,11,.0757,.068599999,.25299999,.0143,.0129,-.0042900001,.0068399999
2020,3,12,.072899997,.091399997,.25,.0028599999,.0042900001,-.0014299999,.0039599999
2020,3,13,.068599999,.124,.23899999,-.0143,-.0085699996,.0042900001,-.00157
2020,3,14,.045699999,.139,.20100001,-.038600001,-.017100001,.0099999998,-.0116
2020,3,15,.0186,.146,.15099999,-.064300001,-.029999999,.015699999,-.0232
2020,3,16,-.0014299999,.167,.106,-.094300002,-.058600001,.027100001,-.036800001
2020,3,17,-.035700001,.177,.091399997,-.127,-.094300002,.0414,-.050700001
2020,3,18,-.0814,.17399999,.062899999,-.167,-.13699999,.059999999,-.071500003
2020,3,19,-.13,.15099999,.038600001,-.20999999,-.18000001,.079999998,-.091600001
2020,3,20,-.17900001,.121,.029999999,-.249,-.221,.0986,-.11
2020,3,21,-.227,.092900001,.021400001,-.28600001,-.25400001,.111,-.132
2020,3,22,-.27700001,.057100002,-.0028599999,-.33000001,-.289,.123,-.155
2020,3,23,-.31999999,.0129,-.034299999,-.366,-.31900001,.13600001,-.171
2020,3,24,-.34999999,-.0243,-.059999999,-.39399999,-.34400001,.147,-.182
2020,3,25,-.373,-.057100002,-.078599997,-.419,-.366,.156,-.191
2020,3,26,-.38999999,-.087099999,-.077100001,-.43599999,-.38600001,.163,-.199
2020,3,27,-.40400001,-.117,-.084299996,-.45300001,-.40000001,.17,-.205
2020,3,28,-.41600001,-.141,-.116,-.47099999,-.414,.17399999,-.213
2020,3,29,-.41999999,-.154,-.126,-.48100001,-.42399999,.176,-.21600001
2020,3,30,-.42300001,-.16599999,-.114,-.486,-.43399999,.17900001,-.219
2020,3,31,-.42399999,-.171,-.123,-.49000001,-.44,.18000001,-.221
2020,4,1,-.41999999,-.16599999,-.123,-.491,-.44400001,.18099999,-.222
2020,4,2,-.41999999,-.161,-.14,-.49599999,-.449,.183,-.22400001
2020,4,3,-.41999999,-.156,-.16,-.49900001,-.454,.184,-.22499999
2020,4,4,-.41999999,-.15000001,-.15899999,-.5,-.45899999,.184,-.22499999
2020,4,5,-.42300001,-.147,-.16,-.50400001,-.461,.186,-.228
2020,4,6,-.426,-.14399999,-.153,-.50700003,-.46399999,.18700001,-.23
2020,4,7,-.42899999,-.141,-.133,-.50999999,-.46700001,.189,-.23100001
2020,4,8,-.43599999,-.147,-.131,-.514,-.47,.19,-.233
2020,4,9,-.44,-.15000001,-.149,-.51899999,-.47299999,.191,-.234
2020,4,10,-.44100001,-.15099999,-.149,-.523,-.48100001,.19400001,-.237
2020,4,11,-.43700001,-.14,-.13699999,-.52100003,-.48300001,.193,-.234
2020,4,12,-.45699999,-.167,-.16,-.52399999,-.49000001,.193,-.234
2020,4,13,-.461,-.176,-.19,-.52899998,-.491,.19400001,-.236
2020,4,14,-.45899999,-.17900001,-.20900001,-.52700001,-.49000001,.193,-.235
2020,4,15,-.44999999,-.176,-.223,-.52399999,-.48699999,.191,-.233
2020,4,16,-.44400001,-.176,-.213,-.51899999,-.48300001,.19,-.23199999
2020,4,17,-.44299999,-.18099999,-.214,-.514,-.47099999,.18700001,-.229
2020,4,18,-.44299999,-.193,-.22,-.51099998,-.46399999,.18700001,-.229
2020,4,19,-.417,-.164,-.183,-.50300002,-.45300001,.184,-.223
2020,4,20,-.40900001,-.156,-.149,-.49399999,-.449,.18099999,-.22
2020,4,21,-.40599999,-.153,-.139,-.493,-.447,.18099999,-.22
2020,4,22,-.40900001,-.154,-.12899999,-.491,-.447,.18099999,-.22
2020,4,23,-.41,-.156,-.12899999,-.491,-.447,.18099999,-.22
2020,4,24,-.40700001,-.154,-.117,-.49000001,-.447,.18000001,-.21799999
2020,4,25,-.40099999,-.149,-.085699998,-.48300001,-.44600001,.177,-.213
2020,4,26,-.39700001,-.14399999,-.087099999,-.47999999,-.44400001,.177,-.213
2020,4,27,-.391,-.14,-.082900003,-.479,-.44100001,.176,-.212
2020,4,28,-.38600001,-.134,-.062899999,-.47299999,-.44,.164,-.2
2020,4,29,-.38,-.13,-.059999999,-.47,-.43700001,.163,-.199
2020,4,30,-.37099999,-.123,-.050000001,-.46599999,-.43399999,.16,-.19599999
2020,5,1,-.36000001,-.11,-.02,-.456,-.43000001,.156,-.192
2020,5,2,-.34999999,-.1,.017100001,-.44600001,-.426,.153,-.18700001
2020,5,3,-.33899999,-.088600002,.064300001,-.43399999,-.419,.149,-.178
2020,5,4,-.33000001,-.079999998,.077100001,-.42899999,-.41600001,.146,-.175
2020,5,5,-.32100001,-.07,.0757,-.426,-.41100001,.153,-.182
2020,5,6,-.31400001,-.062899999,.094300002,-.421,-.40700001,.15000001,-.178
2020,5,7,-.30700001,-.054299999,.134,-.414,-.403,.147,-.176
2020,5,8,-.30700001,-.051399998,.121,-.414,-.40000001,.147,-.176
2020,5,9,-.301,-.035700001,.094300002,-.414,-.396,.146,-.17299999
2020,5,10,-.296,-.0229,.071400002,-.41,-.38999999,.14399999,-.17
2020,5,11,-.29899999,-.0286,.059999999,-.41,-.38699999,.14399999,-.17
2020,5,12,-.29899999,-.032900002,.067100003,-.40700001,-.384,.14300001,-.169
2020,5,13,-.294,-.031399999,.084299996,-.403,-.38100001,.141,-.167
2020,5,14,-.29300001,-.034299999,.078599997,-.403,-.38,.141,-.167
2020,5,15,-.289,-.037099998,.111,-.39899999,-.37900001,.139,-.164
2020,5,16,-.289,-.051399998,.14399999,-.39700001,-.37599999,.139,-.164
2020,5,17,-.289,-.064300001,.16,-.40000001,-.373,.14,-.167
2020,5,18,-.28099999,-.059999999,.167,-.39899999,-.37,.139,-.16599999
2020,5,19,-.27599999,-.057100002,.17399999,-.39700001,-.36700001,.13699999,-.164
2020,5,20,-.27000001,-.054299999,.18099999,-.39399999,-.366,.13600001,-.163
2020,5,21,-.26100001,-.048599999,.20100001,-.38699999,-.36300001,.133,-.16
2020,5,22,-.25400001,-.0414,.21600001,-.38100001,-.361,.131,-.15800001
2020,5,23,-.25,-.037099998,.23100001,-.37599999,-.35699999,.12899999,-.153
2020,5,24,-.243,-.0286,.289,-.36700001,-.35600001,.124,-.145
2020,5,25,-.24600001,-.0286,.37099999,-.37400001,-.40099999,.131,-.153
