countyfips,year,month,day_endofweek,bg_posts,bg_posts_jzgrp12,bg_posts_jzgrp345
1001,2021,7,2,-.0394,-.0448,-.0303
1001,2021,7,9,.622,.463,.778
1001,2021,7,16,.402,.701,.212
1001,2021,7,23,.118,-.0149,.253
1001,2021,7,30,.977,1.06,.897
1001,2021,8,6,.811,1.06,.859
1001,2021,8,13,.402,.194,.818
1001,2021,8,20,.465,.433,.657
1001,2021,8,27,.543,.672,.374
1001,2021,9,3,.386,.612,.253
1001,2021,9,10,.433,.731,.131
1001,2021,9,17,.496,.881,.172
1001,2021,9,24,.244,.194,.333
1001,2021,10,1,.37,.254,.495
1001,2021,10,8,.606,.761,.657
1001,2021,10,15,.701,.522,.897
1001,2021,10,22,.811,.433,.897
1001,2021,10,29,.977,1.19,.897
1001,2021,11,5,.654,.463,.897
1001,2021,11,12,.354,.254,.333
1001,2021,11,19,.977,1.19,.897
1001,2021,11,26,.977,1.18,.897
1001,2021,12,3,.977,1.19,.897
1001,2021,12,10,.977,1.19,.897
1001,2021,12,17,.843,1.06,.737
1001,2021,12,24,.732,.94,.535
1001,2021,12,31,.575,.582,.737
1003,2021,7,2,.321,.528,.0954
1003,2021,7,9,.361,.445,.203
1003,2021,7,16,.215,.3,.203
1003,2021,7,23,.235,.249,.212
1003,2021,7,30,.298,.496,.0705
1003,2021,8,6,.621,.762,.519
1003,2021,8,13,.348,.357,.361
1003,2021,8,20,.0316,.192,-.162
1003,2021,8,27,.764,.661,.809
1003,2021,9,3,.295,.3,.253
1003,2021,9,10,.211,.281,.0705
1003,2021,9,17,.441,.388,.51
1003,2021,9,24,.557,.591,.494
1003,2021,10,1,.281,.179,.394
1003,2021,10,8,.507,.483,.627
1003,2021,10,15,.348,.477,.228
1003,2021,10,22,.304,.338,.212
1003,2021,10,29,.694,.851,.436
1003,2021,11,5,.148,.211,.029
1003,2021,11,12,-.0449,-.0618,-.0207
1003,2021,11,19,.977,.876,.897
1003,2021,11,26,.647,.401,.897
1003,2021,12,3,.95,.889,.897
1003,2021,12,10,.977,.978,.897
1003,2021,12,17,.454,.458,.469
1003,2021,12,24,.567,.502,.668
1003,2021,12,31,.78,.921,.627
1005,2021,7,2,-.259,-.135,-.273
1005,2021,7,9,.037,.514,-.273
1005,2021,7,16,-.296,-.135,-.455
1005,2021,7,23,-.333,-.135,-.455
1005,2021,7,30,-.333,-.243,-.576
1005,2021,8,6,.296,-.027,.333
1005,2021,8,13,-.407,.0811,-.697
1005,2021,8,20,-.333,-.135,-.394
1005,2021,8,27,.556,.297,.515
1005,2021,9,3,.148,.946,-.273
1005,2021,9,10,.296,1.05,-.0909
1005,2021,9,17,0,-.351,.0303
1005,2021,9,24,-.519,-.568,-.515
1005,2021,10,1,-.481,-.892,-.212
1005,2021,10,8,.37,1.05,-.152
1005,2021,10,15,.148,.514,-.212
1005,2021,10,22,-.037,.838,-.636
1005,2021,10,29,-.185,.0811,-.455
1005,2021,11,5,-.037,.189,-.273
1005,2021,11,12,-.519,-1,-.455
1005,2021,11,19,.519,1.19,-.273
1005,2021,11,26,.977,1.16,.897
1005,2021,12,3,.481,.297,.576
1005,2021,12,10,.593,1.19,.0303
1005,2021,12,17,-.148,-.027,-.212
1005,2021,12,24,.667,.73,.515
