year,month,day_endofweek,bg_posts,bg_posts_ss30,bg_posts_ss55,bg_posts_ss60,bg_posts_ss65,bg_posts_ss70,bg_posts_jz1,bg_posts_jzgrp12,bg_posts_jz2,bg_posts_jz3,bg_posts_jzgrp345,bg_posts_jz4,bg_posts_jz5
2020,1,10,-0.0458,-0.0566,-0.0598,-0.0877,-0.103,0.00995,0.0587,0.00785,0.00203,-0.0596,-0.0745,-0.0789,-0.0893
2020,1,17,0.117,0.13,0.0879,0.153,0.15,0.116,0.0723,0.0981,0.101,0.107,0.125,0.116,0.222
2020,1,24,-0.0907,-0.0947,-0.0727,-0.146,-0.0821,-0.0103,-0.0522,-0.0551,-0.0554,-0.0937,-0.108,-0.105,-0.164
2020,1,31,0.0199,0.0215,0.0447,0.0808,0.0355,-0.115,-0.0787,-0.0508,-0.0476,0.046,0.0573,0.067,0.0318
2020,2,7,-0.0937,-0.116,-0.0205,-0.14,-0.0882,-0.11,-0.0408,-0.0832,-0.0881,-0.102,-0.102,-0.0967,-0.13
2020,2,14,0.191,0.246,0.176,0.147,0.178,0.0603,0.148,0.144,0.143,0.21,0.212,0.209,0.236
2020,2,21,0.0248,0.0425,-0.0334,-0.0126,0.0334,-0.185,-0.0789,-0.00206,0.00675,0.0426,0.0379,0.0322,0.0585
2020,2,28,0.0361,0.0408,0.073,0.0623,0.0419,-0.0851,-0.0664,-0.0394,-0.0363,0.00938,0.0718,0.0642,0.287
2020,3,6,-0.00582,-0.0041,-0.0463,-0.0751,-0.0184,0.0641,0.0974,0.0247,0.0163,-0.0241,-0.0217,-0.0259,0.0101
2020,3,13,-0.0279,-0.0205,0.000623,-0.0538,-0.045,-0.019,0.0184,-0.0335,-0.0395,-0.0378,-0.0287,-0.0208,-0.0502
2020,3,20,0.0456,-0.0689,-0.0276,0.0596,-0.0223,-0.0803,0.0276,0.0599,0.0636,0.0278,0.0344,0.0398,0.0211
2020,3,27,-0.0725,-0.23,-0.142,-0.0645,-0.155,-0.406,-0.192,-0.0909,-0.0793,-0.129,-0.0696,-0.0391,-0.0861
