cityid,year,month,day,pay,pay31_33,pay44_45,pay48_49,pay62,pay72,pay_inclow,pay_incmiddle,pay_inchigh
1,2020,1,1,.,.,.,.,.,.,.,.,.
1,2020,1,2,.,.,.,.,.,.,.,.,.
1,2020,1,3,.,.,.,.,.,.,.,.,.
1,2020,1,4,.,.,.,.,.,.,.,.,.
1,2020,1,5,.,.,.,.,.,.,.,.,.
1,2020,1,6,.,.,.,.,.,.,.,.,.
1,2020,1,7,.,.,.,.,.,.,.,.,.
1,2020,1,8,-.0205,-.00427,.0361,-.0168,-.0133,-.0337,-.0185,-.023,-.0184
1,2020,1,9,-.0189,-.00177,.0319,-.0171,-.0141,-.0212,-.0163,-.0217,-.017
1,2020,1,10,-.0181,-.000655,.0272,-.0162,-.0149,-.0195,-.014,-.0205,-.0173
1,2020,1,11,-.015,.000064,.0252,-.0134,-.0125,-.0182,-.0123,-.0163,-.0149
1,2020,1,12,-.0121,.000783,.0228,-.0105,-.0101,-.0169,-.00998,-.0121,-.013
1,2020,1,13,-.00916,.0015,.0205,-.00767,-.00776,-.0168,-.0078,-.00792,-.0112
1,2020,1,14,-.00627,.00237,.0163,-.00606,-.00502,-.0141,-.00555,-.00352,-.00973
1,2020,1,15,-.00297,.00354,.0146,-.00438,-.00215,-.0113,-.00386,.000483,-.00646
1,2020,1,16,-.000334,.0039,.0117,-.00323,-.0000103,-.00893,-.0017,.00384,-.00445
1,2020,1,17,.00272,.00772,.0102,-.000958,.000901,-.00702,.000793,.00738,-.00163
1,2020,1,18,.00422,.00841,.0109,-.000915,.00174,-.00424,.00249,.00837,.000317
1,2020,1,19,.00487,.0091,.00763,-.000871,.00257,-.0018,.00336,.00805,.00198
1,2020,1,20,.00553,.00978,.00245,-.000827,.00341,.00454,.00301,.00802,.00393
1,2020,1,21,.00609,.00991,.00447,.00152,.00381,-.000436,.00388,.00856,.00436
1,2020,1,22,.00728,.0104,.000949,.00409,.005,.000846,.0044,.00927,.0064
1,2020,1,23,.00879,.0118,-.00165,.00708,.00633,.00204,.00542,.0102,.00888
1,2020,1,24,.00956,.0104,-.00534,.00916,.00824,.00355,.00562,.0097,.0113
1,2020,1,25,.00892,.00637,-.00941,.00915,.00768,.00583,.00616,.00833,.0109
1,2020,1,26,.00861,.00229,-.0108,.00914,.00713,.00592,.00699,.00771,.0104
1,2020,1,27,.00908,-.00109,-.0151,.00917,.00742,.00864,.00762,.00744,.0116
1,2020,1,28,.00849,-.00518,-.0167,.00921,.00647,.0101,.00827,.00661,.0107
1,2020,1,29,.00759,-.00914,-.0198,.00923,.00541,.0118,.0093,.00531,.0093
1,2020,1,30,.00653,-.0137,-.0237,.00934,.00464,.0153,.00894,.00437,.00774
1,2020,1,31,.00515,-.0182,-.027,.00797,.00492,.0166,.00796,.00347,.0057
1,2020,2,1,.00365,-.0197,-.029,.00539,.00664,.0172,.00558,.00275,.00383
1,2020,2,2,.00246,-.0213,-.0292,.00282,.00836,.0174,.00328,.00265,.00196
1,2020,2,3,.000537,-.0228,-.0322,.000243,.0101,.0155,.00139,.00132,-.000649
1,2020,2,4,-.00121,-.0245,-.0327,-.00415,.0115,.0149,-.00154,.000316,-.00257
1,2020,2,5,-.00315,-.026,-.0339,-.00904,.0133,.0145,-.00523,-.00031,-.00507
1,2020,2,6,-.00516,-.0273,-.0346,-.0133,.0151,.0113,-.00889,-.00134,-.00734
1,2020,2,7,-.00632,-.028,-.0334,-.0171,.0157,.0108,-.0109,-.00123,-.00949
1,2020,2,8,-.0066,-.0299,-.0301,-.0151,.0147,.0126,-.0118,.000339,-.0116
1,2020,2,9,-.00735,-.0318,-.029,-.013,.0136,.0145,-.013,.000828,-.0135
1,2020,2,10,-.00802,-.0337,-.0279,-.011,.0126,.017,-.0145,.000918,-.0146
1,2020,2,11,-.00886,-.0356,-.0276,-.00857,.0117,.0179,-.0157,.00111,-.0164
1,2020,2,12,-.00947,-.0377,-.0259,-.00589,.0105,.0177,-.0169,.00108,-.0174
1,2020,2,13,-.00967,-.0401,-.0224,-.0044,.00921,.0195,-.0172,.00135,-.018
