year,month,day,pay,pay31_33,pay44_45,pay48_49,pay62,pay72,pay_inclow,pay_incmiddle,pay_inchigh
2020,1,1,.,.,.,.,.,.,.,.,.
2020,1,2,.,.,.,.,.,.,.,.,.
2020,1,3,.,.,.,.,.,.,.,.,.
2020,1,4,.,.,.,.,.,.,.,.,.
2020,1,5,.,.,.,.,.,.,.,.,.
2020,1,6,.,.,.,.,.,.,.,.,.
2020,1,7,.,.,.,.,.,.,.,.,.
2020,1,8,-.0216,-.0406,.0291,-.0202,-.0117,-.0204,-.0248,-.0221,-.018
2020,1,9,-.0198,-.0375,.0265,-.0198,-.0115,-.0141,-.0226,-.0202,-.0167
2020,1,10,-.0182,-.0335,.0232,-.0192,-.0115,-.0125,-.0205,-.0184,-.0157
2020,1,11,-.016,-.0283,.0189,-.0159,-.0108,-.0121,-.0182,-.016,-.014
2020,1,12,-.0137,-.0232,.0153,-.0125,-.0102,-.0112,-.0156,-.0136,-.0123
2020,1,13,-.0115,-.0181,.0115,-.00915,-.00957,-.0111,-.013,-.0112,-.0106
2020,1,14,-.009,-.0129,.00763,-.0059,-.00817,-.0104,-.0103,-.00853,-.00873
2020,1,15,-.00656,-.00774,.00384,-.00272,-.00684,-.00943,-.00752,-.00591,-.00686
2020,1,16,-.00439,-.00298,-.000425,.00035,-.0054,-.00829,-.00506,-.00361,-.00517
2020,1,17,-.00261,-.000882,-.00406,.00301,-.00412,-.00717,-.00305,-.00187,-.00353
2020,1,18,-.00184,-.000236,-.00581,.002,-.00343,-.00682,-.0019,-.00136,-.00263
2020,1,19,-.00113,.000409,-.00797,.000985,-.00274,-.00623,-.000996,-.000887,-.00166
2020,1,20,-.000511,.00105,-.0105,-.0000272,-.00205,-.00613,-.000347,-.000444,-.000781
2020,1,21,.000873,.00166,-.00898,.00216,-.000949,-.00381,.00132,.000976,.0003
2020,1,22,.00287,.00277,-.0102,.00349,.000747,-.00188,.0035,.00286,.00233
2020,1,23,.00503,.00425,-.0108,.00487,.00243,-.000301,.00594,.00492,.00445
2020,1,24,.00738,.00745,-.0101,.00635,.00429,.00274,.00855,.00726,.00658
2020,1,25,.00891,.0106,-.00882,.00788,.00581,.00828,.0103,.00878,.00796
2020,1,26,.0102,.0137,-.0077,.00941,.00732,.0109,.0118,.0101,.00909
2020,1,27,.0122,.0174,-.00855,.00993,.00952,.0127,.014,.0119,.0111
2020,1,28,.0126,.0201,-.00803,.0105,.01,.0135,.0144,.0122,.0115
2020,1,29,.0129,.0229,-.00729,.0109,.0106,.0145,.0149,.0125,.0118
2020,1,30,.0132,.0253,-.00668,.0113,.0109,.016,.015,.0129,.012
2020,1,31,.0128,.0262,-.00657,.0109,.0106,.0168,.0144,.0126,.0118
2020,2,1,.0114,.0245,-.00617,.00937,.00983,.0186,.0123,.0115,.0106
2020,2,2,.00981,.0228,-.00641,.00786,.00903,.0179,.00999,.0101,.0091
2020,2,3,.00814,.0211,-.00696,.00635,.00823,.0173,.00771,.00869,.00758
2020,2,4,.00596,.0191,-.00717,.00383,.00643,.0165,.00482,.00672,.00564
2020,2,5,.00372,.0172,-.00779,.00143,.00483,.0155,.00175,.00475,.00367
2020,2,6,.00143,.015,-.00838,-.000945,.00312,.0139,-.00125,.00269,.00161
2020,2,7,-.000591,.0127,-.00909,-.003,.00129,.0127,-.00375,.000812,-.000243
2020,2,8,-.00158,.0113,-.00898,-.00384,-.000727,.0125,-.00465,-.000211,-.00125
2020,2,9,-.00233,.0099,-.00829,-.00468,-.00275,.0144,-.00543,-.000982,-.00195
2020,2,10,-.00314,.00849,-.00774,-.00552,-.00477,.0159,-.00621,-.00183,-.00268
2020,2,11,-.00369,.00717,-.00746,-.00628,-.00592,.0174,-.00687,-.00239,-.00315
2020,2,12,-.00418,.00582,-.0066,-.00711,-.00726,.0197,-.00726,-.00295,-.00361
2020,2,13,-.00454,.00467,-.0056,-.00801,-.00842,.0234,-.00754,-.00342,-.00382
2020,2,14,-.00445,.00364,-.00493,-.00824,-.00919,.0315,-.0074,-.00343,-.00359
2020,2,15,-.00489,.00342,-.0063,-.00905,-.0102,.0313,-.00809,-.00393,-.00372
2020,2,16,-.00532,.0032,-.00766,-.00985,-.0112,.0313,-.00879,-.00441,-.0038
2020,2,17,-.00578,.00297,-.00924,-.0107,-.0123,.0314,-.00957,-.00489,-.00395
2020,2,18,-.00447,.00353,-.00773,-.00888,-.0111,.0324,-.00801,-.00347,-.00306
2020,2,19,-.00367,.00385,-.00815,-.00793,-.0112,.0333,-.00734,-.00269,-.00213
2020,2,20,-.003,.00442,-.00924,-.00693,-.0112,.033,-.00676,-.00198,-.00143
2020,2,21,-.00266,.00515,-.00983,-.00615,-.0112,.0293,-.00661,-.00166,-.000883
2020,2,22,-.00268,.00518,-.00949,-.00674,-.0114,.0317,-.00682,-.00167,-.000715
2020,2,23,-.00276,.00521,-.00926,-.00733,-.0116,.0333,-.00719,-.00169,-.000645
2020,2,24,-.00325,.00501,-.0102,-.00873,-.0127,.0345,-.00811,-.00223,-.000693
2020,2,25,-.00432,.00463,-.0109,-.0104,-.014,.0351,-.00945,-.00341,-.00132
2020,2,26,-.00535,.00426,-.0112,-.0122,-.015,.0352,-.0106,-.00445,-.00218
2020,2,27,-.00634,.00339,-.0112,-.0139,-.0161,.0359,-.0118,-.00549,-.00295
2020,2,28,-.00779,.00129,-.0115,-.0162,-.0179,.0362,-.0134,-.00685,-.00438
2020,2,29,-.00992,-.00222,-.0114,-.0167,-.0209,.0372,-.0158,-.00899,-.00628
2020,3,1,-.0122,-.00572,-.012,-.0173,-.0238,.0373,-.0182,-.0114,-.00833
2020,3,2,-.0146,-.00922,-.0126,-.0179,-.0268,.0369,-.0206,-.0137,-.0106
2020,3,3,-.0168,-.0127,-.0129,-.0182,-.0298,.0363,-.0229,-.016,-.0127
2020,3,4,-.0191,-.0162,-.0135,-.0184,-.0328,.0363,-.0253,-.0184,-.0148
2020,3,5,-.0214,-.0193,-.0138,-.0187,-.0357,.036,-.0276,-.0207,-.0169
2020,3,6,-.0232,-.0214,-.0133,-.0187,-.0386,.0358,-.0294,-.0225,-.0188
2020,3,7,-.0247,-.0221,-.0138,-.0204,-.0414,.0345,-.0309,-.0238,-.0209
2020,3,8,-.026,-.0227,-.014,-.0221,-.0442,.0369,-.0321,-.0248,-.0227
2020,3,9,-.0275,-.0234,-.0143,-.0237,-.0469,.0359,-.0335,-.0261,-.0247
2020,3,10,-.0292,-.0241,-.0148,-.026,-.0497,.0346,-.035,-.0275,-.0269
2020,3,11,-.031,-.0249,-.0154,-.0284,-.0525,.0323,-.0366,-.029,-.0294
2020,3,12,-.0331,-.0257,-.0165,-.0307,-.0553,.0284,-.0387,-.0308,-.0321
2020,3,13,-.0359,-.0272,-.0186,-.033,-.058,.0195,-.0413,-.0334,-.0355
2020,3,14,-.0402,-.0301,-.0224,-.0347,-.0606,.00257,-.0448,-.0375,-.0408
2020,3,15,-.0447,-.033,-.026,-.0364,-.0631,-.0194,-.0485,-.0418,-.0465
2020,3,16,-.0494,-.0359,-.0304,-.038,-.0656,-.0411,-.0523,-.0461,-.0525
2020,3,17,-.0554,-.0388,-.0368,-.0394,-.0682,-.0778,-.0571,-.0517,-.0603
2020,3,18,-.0625,-.0417,-.045,-.0408,-.0708,-.124,-.063,-.0584,-.0691
2020,3,19,-.0703,-.0447,-.0543,-.0424,-.0735,-.176,-.0695,-.0658,-.0787
