cityid,year,month,day,pay,pay31_33,pay44_45,pay48_49,pay62,pay72,pay_inclow,pay_incmiddle,pay_inchigh
1,2020,1,1,.,.,.,.,.,.,.,.,.
1,2020,1,2,.,.,.,.,.,.,.,.,.
1,2020,1,3,.,.,.,.,.,.,.,.,.
1,2020,1,4,.,.,.,.,.,.,.,.,.
1,2020,1,5,.,.,.,.,.,.,.,.,.
1,2020,1,6,.,.,.,.,.,.,.,.,.
1,2020,1,7,.,.,.,.,.,.,.,.,.
1,2020,1,8,-.0304,-.0143,.0209,-.0204,-.0157,-.0327,-.0246,-.0334,-.0298
1,2020,1,9,-.0276,-.0134,.0213,-.0205,-.0153,-.0192,-.022,-.0305,-.0272
1,2020,1,10,-.0254,-.0133,.0215,-.019,-.0154,-.0164,-.0188,-.0276,-.0262
1,2020,1,11,-.021,-.00973,.0214,-.0161,-.0127,-.0152,-.0161,-.022,-.0224
1,2020,1,12,-.0167,-.00621,.0208,-.0131,-.0101,-.013,-.0129,-.0164,-.0189
1,2020,1,13,-.0125,-.00268,.0206,-.0102,-.00742,-.0135,-.00981,-.0109,-.0157
1,2020,1,14,-.00843,.00102,.0166,-.00721,-.00462,-.0117,-.00656,-.00533,-.0131
1,2020,1,15,-.00387,.00505,.017,-.00439,-.00168,-.00914,-.00405,-.00019,-.00817
1,2020,1,16,-.0000188,.00821,.0151,-.00225,.000411,-.00712,-.00105,.0043,-.00469
1,2020,1,17,.00412,.0141,.0149,.00146,.00162,-.00659,.00172,.00903,-.000461
1,2020,1,18,.0061,.0147,.0191,.00258,.00247,-.00357,.00322,.0105,.00234
1,2020,1,19,.0071,.0154,.0164,.00371,.00331,-.00211,.00394,.0107,.00443
1,2020,1,20,.00806,.016,.0101,.00484,.00416,.00484,.00319,.011,.00698
1,2020,1,21,.00875,.0161,.0131,.00603,.00449,-.000619,.00433,.0116,.00758
1,2020,1,22,.0103,.0165,.00968,.00825,.00563,.0000776,.00465,.0129,.0102
1,2020,1,23,.0121,.0178,.00686,.0109,.00693,.000209,.00542,.014,.0133
1,2020,1,24,.0133,.0167,.00238,.0133,.00902,.00094,.006,.0139,.0163
1,2020,1,25,.0124,.0118,-.0048,.0125,.0082,.00268,.00715,.0119,.0156
1,2020,1,26,.0119,.00696,-.00743,.0116,.00738,.00334,.00856,.0108,.015
1,2020,1,27,.0126,.00269,-.0122,.0119,.0074,.00583,.00957,.0105,.0167
1,2020,1,28,.0117,-.00223,-.0148,.0104,.00625,.0074,.0107,.00921,.0152
1,2020,1,29,.0105,-.00701,-.0206,.00885,.00498,.00924,.0125,.00731,.0132
1,2020,1,30,.00909,-.0123,-.0267,.00748,.00404,.0136,.0128,.00598,.0109
1,2020,1,31,.00699,-.0182,-.0324,.00317,.00391,.0151,.0118,.00424,.00781
1,2020,2,1,.00549,-.0209,-.0349,.00167,.0051,.0132,.00946,.00385,.00547
1,2020,2,2,.0044,-.0236,-.0344,.000181,.00629,.0117,.00737,.00414,.00325
1,2020,2,3,.00267,-.0263,-.0384,-.00131,.00748,.00934,.00569,.00321,.000515
1,2020,2,4,.00113,-.0292,-.0385,-.00394,.00849,.00892,.00283,.00259,-.00138
1,2020,2,5,-.00056,-.0318,-.0392,-.00653,.00988,.00911,-.000684,.00243,-.00389
1,2020,2,6,-.00225,-.0342,-.0392,-.00832,.0113,.00584,-.00399,.00191,-.00609
1,2020,2,7,-.0028,-.0352,-.0359,-.00967,.0114,.00578,-.00525,.00304,-.0082
1,2020,2,8,-.00291,-.0364,-.0308,-.00982,.0108,.0102,-.00605,.0048,-.0101
1,2020,2,9,-.00361,-.0375,-.0297,-.00997,.0102,.0134,-.00729,.00529,-.0118
1,2020,2,10,-.00441,-.0387,-.029,-.0101,.00966,.0161,-.0089,.00527,-.013
1,2020,2,11,-.00537,-.0399,-.029,-.00984,.00911,.0159,-.0103,.0054,-.0149
1,2020,2,12,-.00608,-.0412,-.0271,-.00939,.00828,.0142,-.0117,.00522,-.0158
1,2020,2,13,-.00645,-.0429,-.022,-.0105,.00723,.0153,-.0123,.00522,-.0164
