statefips,year,month,day,pay,pay31_33,pay44_45,pay48_49,pay62,pay72,pay_inclow,pay_incmiddle,pay_inchigh
1,2020,1,1,.,.,.,.,.,.,.,.,.
1,2020,1,2,.,.,.,.,.,.,.,.,.
1,2020,1,3,.,.,.,.,.,.,.,.,.
1,2020,1,4,.,.,.,.,.,.,.,.,.
1,2020,1,5,.,.,.,.,.,.,.,.,.
1,2020,1,6,.,.,.,.,.,.,.,.,.
1,2020,1,7,.,.,.,.,.,.,.,.,.
1,2020,1,8,-.0552,-.0964,-.0255,-.0733,-.0233,-.00363,-.0554,-.0551,-.0524
1,2020,1,9,-.0491,-.0876,-.025,-.0616,-.0215,.00559,-.0503,-.0481,-.0457
1,2020,1,10,-.0424,-.0721,-.0223,-.0558,-.0194,.00707,-.0443,-.0404,-.0398
1,2020,1,11,-.0364,-.0581,-.0268,-.0474,-.0173,-.00181,-.0378,-.0339,-.0375
1,2020,1,12,-.0297,-.0441,-.0245,-.039,-.0152,-.00835,-.0303,-.0273,-.0337
1,2020,1,13,-.0227,-.0301,-.0194,-.0306,-.0131,-.0135,-.0229,-.0204,-.0283
1,2020,1,14,-.0154,-.0158,-.0133,-.0236,-.01,-.0195,-.0154,-.0132,-.0223
1,2020,1,15,-.00865,-.000168,-.0131,-.0151,-.00716,-.0219,-.00791,-.00703,-.016
1,2020,1,16,-.00204,.0137,-.0133,-.00719,-.00439,-.0233,-.000657,-.00111,-.00971
1,2020,1,17,.0022,.0164,-.0139,.00113,-.00231,-.0249,.00416,.00248,-.0058
1,2020,1,18,.00534,.0141,-.0037,.00411,-.000776,-.0159,.0066,.00564,-.000566
1,2020,1,19,.00712,.0118,-.0038,.0071,.000754,-.0175,.00782,.0076,.0024
1,2020,1,20,.00875,.00942,-.0038,.0101,.00228,-.0228,.00904,.0098,.00347
1,2020,1,21,.0105,.00973,-.000847,.0146,.00175,-.0108,.0114,.0107,.00596
1,2020,1,22,.0133,.00576,.00194,.0185,.00343,-.0102,.0139,.0138,.00857
1,2020,1,23,.0158,.00285,.00537,.0244,.00492,-.0102,.0161,.0168,.0102
1,2020,1,24,.019,.00727,.00994,.0295,.00688,-.00355,.0189,.0207,.0129
1,2020,1,25,.0197,.0148,.013,.0283,.00821,.00462,.0204,.0198,.0158
1,2020,1,26,.0206,.0223,.019,.027,.00954,.0118,.022,.0193,.0183
1,2020,1,27,.023,.0275,.0233,.0287,.0124,.0156,.0248,.0207,.0232
1,2020,1,28,.0224,.0348,.0237,.0256,.0132,.0163,.0242,.0193,.0249
1,2020,1,29,.0216,.0416,.0241,.0254,.0129,.0196,.0233,.0179,.0266
1,2020,1,30,.021,.0481,.0248,.0239,.013,.0245,.0225,.0168,.0288
1,2020,1,31,.0196,.0507,.0263,.0222,.0133,.0267,.02,.015,.0316
1,2020,2,1,.0184,.0511,.0272,.0231,.00932,.0315,.0175,.0162,.0283
1,2020,2,2,.0169,.0516,.0248,.024,.00539,.0348,.0148,.0168,.0248
1,2020,2,3,.0154,.052,.0224,.0248,.00145,.0376,.0122,.0172,.022
1,2020,2,4,.0137,.0518,.0251,.0249,-.00223,.0363,.00909,.0178,.0181
1,2020,2,5,.0126,.0523,.0272,.0241,-.00494,.035,.00674,.019,.0138
1,2020,2,6,.0114,.0529,.0276,.0236,-.00761,.0321,.00459,.0198,.0102
1,2020,2,7,.0107,.0545,.0272,.0188,-.012,.0307,.00453,.0202,.00429
1,2020,2,8,.00967,.0533,.0267,.0184,-.0134,.0272,.00457,.0188,.000314
1,2020,2,9,.00873,.0521,.0273,.018,-.0147,.0239,.00467,.0172,-.00224
1,2020,2,10,.00796,.0509,.0288,.0175,-.0161,.0233,.00519,.016,-.00615
1,2020,2,11,.00736,.0496,.0285,.0138,-.0169,.024,.00622,.0144,-.00935
1,2020,2,12,.00679,.0485,.0298,.0109,-.0177,.0293,.00714,.0126,-.0114
1,2020,2,13,.00579,.0467,.0328,.00681,-.0189,.035,.00763,.0106,-.0149
1,2020,2,14,.0043,.0426,.0307,.00311,-.0194,.0446,.00634,.00891,-.0166
1,2020,2,15,.00139,.0379,.0265,-.00957,-.0227,.0456,.00293,.00696,-.0211
