year,month,day,emp,emp31_33,emp44_45,emp48_49,emp62,emp72,emp_inclow,emp_incmiddle,emp_inchigh
2020,1,1,.,.,.,.,.,.,.,.,.
2020,1,2,.,.,.,.,.,.,.,.,.
2020,1,3,.,.,.,.,.,.,.,.,.
2020,1,4,.,.,.,.,.,.,.,.,.
2020,1,5,.,.,.,.,.,.,.,.,.
2020,1,6,.,.,.,.,.,.,.,.,.
2020,1,7,.,.,.,.,.,.,.,.,.
2020,1,8,-.00585,-.00949,.00719,-.0154,-.00406,-.0205,-.00732,-.00575,-.00467
2020,1,9,-.0053,-.00815,.00512,-.0148,-.00426,-.0128,-.00634,-.00526,-.00442
2020,1,10,-.00478,-.00695,.00399,-.0139,-.00479,-.0101,-.00537,-.00474,-.00431
2020,1,11,-.00453,-.00608,.00305,-.0114,-.00492,-.00935,-.00522,-.00445,-.00402
2020,1,12,-.00418,-.0052,.00243,-.00903,-.00506,-.00828,-.0048,-.00411,-.00373
2020,1,13,-.00384,-.00433,.00183,-.00662,-.00519,-.00739,-.0044,-.00375,-.00349
2020,1,14,-.00318,-.00343,.00101,-.00377,-.00451,-.00572,-.00362,-.00306,-.00297
2020,1,15,-.0026,-.00262,.000369,-.00118,-.00396,-.00431,-.00288,-.00251,-.00252
2020,1,16,-.00206,-.002,-.000286,.00137,-.00329,-.00316,-.00219,-.00198,-.0021
2020,1,17,-.00182,-.0025,-.00105,.00336,-.00283,-.00259,-.00177,-.0018,-.00188
2020,1,18,-.00239,-.00271,-.00193,.00179,-.00291,-.00397,-.00213,-.00253,-.00237
2020,1,19,-.00296,-.00293,-.00297,.000222,-.00299,-.00487,-.0027,-.0032,-.00275
2020,1,20,-.00368,-.00315,-.00423,-.00135,-.00307,-.00708,-.00351,-.00405,-.00316
2020,1,21,-.00209,-.00243,-.0026,.000374,-.00196,-.00342,-.00171,-.00235,-.00194
2020,1,22,-.00123,-.00192,-.00267,.00097,-.000987,-.00216,-.00081,-.00153,-.00106
2020,1,23,-.000169,-.00118,-.00249,.00169,-.0000644,-.00077,.000404,-.000546,-6.28e-06
2020,1,24,.00111,.000918,-.00184,.00252,.00103,.00199,.0017,.000795,.00115
2020,1,25,.00275,.00245,-.000867,.00456,.00245,.00656,.00334,.00258,.00251
2020,1,26,.00422,.00398,-.0000728,.0066,.00386,.00968,.00493,.00415,.00371
2020,1,27,.00503,.00529,-.00018,.00707,.0052,.0103,.00574,.00497,.00447
2020,1,28,.00538,.00631,-.000149,.00798,.00561,.0106,.00598,.00542,.00474
2020,1,29,.00581,.00734,.000194,.00863,.00601,.0115,.0063,.00596,.00507
2020,1,30,.00603,.0083,.000216,.00914,.00635,.0122,.00628,.00632,.00525
2020,1,31,.0062,.00875,.000152,.00954,.00667,.0129,.00624,.00659,.00546
2020,2,1,.00689,.00945,.000552,.00955,.00776,.0153,.00665,.00734,.00628
2020,2,2,.00734,.0101,.000437,.00955,.00884,.0163,.00685,.00789,.00679
2020,2,3,.00771,.0108,.000137,.00956,.00992,.0167,.00701,.00831,.00728
2020,2,4,.0075,.0113,-.000169,.00856,.00998,.0169,.00651,.0081,.00735
2020,2,5,.0072,.0118,-.000808,.0076,.0103,.0163,.00581,.00784,.00732
2020,2,6,.0069,.012,-.00108,.00664,.0105,.0157,.00512,.00759,.00733
2020,2,7,.00657,.012,-.00149,.00565,.0104,.0151,.00451,.00721,.00736
2020,2,8,.00587,.0119,-.0017,.00538,.00931,.0148,.00368,.00639,.007
2020,2,9,.00532,.0119,-.00159,.0051,.0082,.0155,.0029,.00571,.00689
2020,2,10,.00481,.0118,-.00138,.00483,.00708,.0165,.00224,.00507,.00679
2020,2,11,.00454,.0118,-.00149,.00492,.00687,.0173,.00181,.00469,.00685
2020,2,12,.00434,.0117,-.00113,.00487,.00639,.0191,.00157,.00436,.00693
2020,2,13,.00419,.0118,-.000872,.00476,.00603,.0217,.00148,.00409,.00696
2020,2,14,.00407,.0116,-.000834,.00493,.00565,.0255,.00133,.00389,.00703
2020,2,15,.00262,.0111,-.00223,.00339,.00407,.0232,-.000246,.00237,.00582
2020,2,16,.00113,.0106,-.00372,.00185,.0025,.0207,-.00184,.000839,.00451
2020,2,17,-.000369,.01,-.00549,.000306,.000928,.0188,-.0035,-.000665,.00315
2020,2,18,.00116,.0107,-.00387,.00205,.00217,.0214,-.00181,.00098,.00432
2020,2,19,.00112,.0109,-.00439,.00258,.00157,.0217,-.00189,.000937,.00432
2020,2,20,.000948,.0112,-.00533,.0032,.000988,.0207,-.00214,.000777,.00419
2020,2,21,.000514,.011,-.00642,.00357,.000376,.0194,-.0027,.000343,.00388
2020,2,22,.000304,.00958,-.00728,.00372,-.000114,.0224,-.00307,.000159,.00378
2020,2,23,.000114,.00816,-.00792,.00388,-.000605,.025,-.00347,.0000156,.0037
2020,2,24,-.0016,.00622,-.0102,.00249,-.00267,.0249,-.00546,-.0017,.00224
2020,2,25,-.00301,.00433,-.0119,.00132,-.00435,.0249,-.00711,-.00325,.00132
2020,2,26,-.00437,.00244,-.0134,-.0000534,-.00575,.0249,-.00865,-.00464,.000191
2020,2,27,-.00564,.00026,-.0146,-.00157,-.00728,.0258,-.0101,-.00593,-.000838
2020,2,28,-.00697,-.00187,-.0156,-.00317,-.00903,.0264,-.0116,-.00723,-.00205
2020,2,29,-.00841,-.00355,-.0164,-.00402,-.0114,.0272,-.0133,-.00867,-.00334
2020,3,1,-.00995,-.00524,-.0173,-.00487,-.0137,.0273,-.0148,-.0103,-.00473
2020,3,2,-.0115,-.00692,-.0184,-.00572,-.0161,.0271,-.0164,-.0119,-.00622
2020,3,3,-.0131,-.00861,-.0193,-.00643,-.0184,.027,-.0178,-.0135,-.00774
2020,3,4,-.0146,-.0103,-.0203,-.00711,-.0208,.0271,-.0194,-.0151,-.00914
2020,3,5,-.0162,-.0118,-.0215,-.0078,-.0231,.0269,-.0209,-.0168,-.0106
2020,3,6,-.0179,-.0133,-.0233,-.00869,-.0255,.0272,-.0225,-.0185,-.0122
2020,3,7,-.0198,-.0149,-.0257,-.0109,-.0277,.0271,-.0246,-.0204,-.0142
2020,3,8,-.0216,-.0165,-.0281,-.0131,-.03,.0286,-.0267,-.0221,-.016
2020,3,9,-.0236,-.0181,-.0303,-.0152,-.0323,.0283,-.0289,-.0239,-.0179
2020,3,10,-.0256,-.0197,-.0328,-.0176,-.0345,.0281,-.0311,-.0259,-.0199
2020,3,11,-.0277,-.0212,-.0353,-.0201,-.0368,.0272,-.0332,-.0279,-.0222
2020,3,12,-.03,-.0229,-.038,-.0225,-.039,.0256,-.0357,-.03,-.0246
2020,3,13,-.0327,-.0247,-.0407,-.0249,-.0412,.0212,-.0385,-.0326,-.0276
2020,3,14,-.0365,-.0274,-.0437,-.0275,-.0436,.0125,-.0419,-.0361,-.0322
2020,3,15,-.0406,-.0301,-.0467,-.0301,-.046,.0000637,-.0455,-.0399,-.0372
2020,3,16,-.0451,-.0328,-.0505,-.0327,-.0484,-.0159,-.0495,-.0441,-.0429
2020,3,17,-.0514,-.0355,-.056,-.0352,-.0508,-.0482,-.0549,-.0499,-.0508
2020,3,18,-.0589,-.0382,-.0629,-.0376,-.0532,-.0915,-.0615,-.057,-.0599
2020,3,19,-.0674,-.041,-.071,-.0401,-.0557,-.142,-.0689,-.0652,-.07
2020,3,20,-.0774,-.0438,-.081,-.0431,-.0586,-.203,-.0778,-.075,-.0815
2020,3,21,-.0888,-.0469,-.0922,-.0475,-.0622,-.266,-.0879,-.0863,-.0944
