cityid,year,month,day,emp,emp31_33,emp44_45,emp48_49,emp62,emp72,emp_inclow,emp_incmiddle,emp_inchigh
1,2020,1,1,.,.,.,.,.,.,.,.,.
1,2020,1,2,.,.,.,.,.,.,.,.,.
1,2020,1,3,.,.,.,.,.,.,.,.,.
1,2020,1,4,.,.,.,.,.,.,.,.,.
1,2020,1,5,.,.,.,.,.,.,.,.,.
1,2020,1,6,.,.,.,.,.,.,.,.,.
1,2020,1,7,.,.,.,.,.,.,.,.,.
1,2020,1,8,-.00767,.0106,.00781,-.00273,-.00532,-.0329,-.00816,-.00677,-.00822
1,2020,1,9,-.00569,.0114,.0096,-.00253,-.00656,-.0179,-.00625,-.00467,-.00639
1,2020,1,10,-.00515,.0106,.00841,-.00232,-.00755,-.0141,-.00454,-.00431,-.00625
1,2020,1,11,-.00453,.00969,.0092,-.00354,-.00607,-.0132,-.00417,-.00354,-.0057
1,2020,1,12,-.00408,.00875,.00885,-.00475,-.00458,-.0124,-.00322,-.0031,-.00547
1,2020,1,13,-.0037,.00782,.00831,-.00596,-.0031,-.0119,-.00229,-.00273,-.00536
1,2020,1,14,-.00299,.0072,.00732,-.00677,-.00144,-.0107,-.00119,-.00176,-.00527
1,2020,1,15,-.00244,.00689,.00578,-.00778,.000206,-.00851,-.000985,-.00168,-.00405
1,2020,1,16,-.00216,.00611,.00286,-.00879,.00128,-.0069,-.000251,-.00192,-.00345
1,2020,1,17,-.0016,.00766,.00162,-.00859,.00161,-.00711,-.000132,-.00177,-.00218
1,2020,1,18,-.00153,.00735,.00152,-.00717,.00177,-.00647,-.000198,-.002,-.00172
1,2020,1,19,-.00165,.00704,-.0000619,-.00576,.00194,-.00561,-.000757,-.00225,-.00152
1,2020,1,20,-.00168,.00673,-.00199,-.00434,.0021,-.00313,-.00237,-.00229,-.00074
1,2020,1,21,-.000716,.00689,-.00031,-.00313,.00243,-.00279,-.000932,-.00163,.000366
1,2020,1,22,.000392,.00642,.000285,-.000303,.00293,-.00139,-.000992,-.000548,.00208
1,2020,1,23,.0017,.00658,.00103,.00253,.0031,.000683,.000149,.000281,.00405
1,2020,1,24,.00289,.0044,.00197,.00616,.00409,.00223,.000731,.00147,.00556
1,2020,1,25,.00352,.000506,-.000161,.00637,.00367,.00568,.00181,.00241,.00559
1,2020,1,26,.0042,-.00338,-.00209,.00657,.00326,.0093,.00315,.00323,.00576
1,2020,1,27,.00505,-.00759,-.00269,.00818,.00301,.0125,.0037,.00411,.00674
1,2020,1,28,.00502,-.0115,-.00368,.00717,.00227,.0131,.00458,.00451,.00574
1,2020,1,29,.00489,-.0152,-.00541,.00596,.00144,.014,.00588,.00457,.00469
1,2020,1,30,.00448,-.0191,-.00789,.00475,.00153,.0153,.0059,.00474,.0034
1,2020,1,31,.00389,-.0224,-.0101,.00333,.00169,.0165,.00556,.00466,.00208
1,2020,2,1,.00404,-.0236,-.00858,.00556,.00367,.0151,.00621,.00506,.00164
1,2020,2,2,.00433,-.0249,-.0069,.00778,.00565,.015,.00698,.00575,.0012
1,2020,2,3,.00407,-.0261,-.00774,.01,.00763,.0127,.00709,.00585,.000297
1,2020,2,4,.00366,-.0277,-.00809,.0112,.00937,.0127,.00647,.00572,-.000336
1,2020,2,5,.00319,-.0291,-.00873,.0124,.0115,.0133,.00581,.00588,-.00148
1,2020,2,6,.00289,-.0308,-.00754,.0144,.0142,.0126,.00507,.00596,-.00199
1,2020,2,7,.00307,-.0308,-.00625,.0153,.0165,.0122,.00579,.00646,-.00248
1,2020,2,8,.00301,-.0305,-.00511,.0138,.0171,.0133,.00596,.00674,-.00296
1,2020,2,9,.00251,-.0302,-.00611,.0124,.0178,.0129,.00523,.00632,-.00332
1,2020,2,10,.00227,-.0298,-.00576,.011,.0184,.0132,.00527,.00614,-.00365
1,2020,2,11,.00234,-.0295,-.00417,.0104,.0193,.0126,.00564,.00642,-.00396
1,2020,2,12,.00238,-.0294,-.00239,.01,.0197,.012,.00549,.00656,-.00386
1,2020,2,13,.00241,-.0294,-.000458,.00859,.0189,.0129,.00562,.00665,-.0039
