year,month,day,emp,emp31_33,emp44_45,emp48_49,emp62,emp72,emp_inclow,emp_incmiddle,emp_inchigh
2020,1,1,.,.,.,.,.,.,.,.,.
2020,1,2,.,.,.,.,.,.,.,.,.
2020,1,3,.,.,.,.,.,.,.,.,.
2020,1,4,.,.,.,.,.,.,.,.,.
2020,1,5,.,.,.,.,.,.,.,.,.
2020,1,6,.,.,.,.,.,.,.,.,.
2020,1,7,.,.,.,.,.,.,.,.,.
2020,1,8,-.00807,-.0106,.00155,-.0109,-.00368,-.0208,-.00883,-.00817,-.00717
2020,1,9,-.00693,-.0091,.00153,-.00979,-.00392,-.0125,-.00739,-.00702,-.00635
2020,1,10,-.00625,-.00771,.00076,-.00878,-.00449,-.00957,-.00628,-.00633,-.00611
2020,1,11,-.00595,-.00664,-.000155,-.00842,-.00472,-.0089,-.00613,-.00602,-.00568
2020,1,12,-.00554,-.00558,-.000496,-.00807,-.00495,-.00753,-.00572,-.00564,-.00521
2020,1,13,-.00515,-.00451,-.000656,-.00771,-.00518,-.00681,-.00538,-.00525,-.00477
2020,1,14,-.00439,-.00342,-.00114,-.00636,-.00461,-.00594,-.00463,-.00445,-.00407
2020,1,15,-.0037,-.00243,-.00154,-.0049,-.00417,-.00442,-.00385,-.00379,-.00341
2020,1,16,-.00305,-.00166,-.00194,-.0034,-.00359,-.00333,-.00315,-.00315,-.00278
2020,1,17,-.00269,-.00215,-.00269,-.00211,-.0032,-.00262,-.00276,-.00284,-.00235
2020,1,18,-.00305,-.00251,-.00356,-.00303,-.00321,-.00276,-.00304,-.00327,-.00263
2020,1,19,-.00342,-.00287,-.00456,-.00395,-.00323,-.00283,-.00349,-.00368,-.00284
2020,1,20,-.00392,-.00323,-.006,-.00487,-.00325,-.00421,-.0041,-.00426,-.00308
2020,1,21,-.00226,-.00245,-.00365,-.00239,-.00211,-.00144,-.00235,-.00249,-.00171
2020,1,22,-.00108,-.00202,-.00309,-.00102,-.00106,-.000659,-.00128,-.00127,-.000513
2020,1,23,.000306,-.00133,-.00223,.000639,-.0000689,.000281,.000167,.0000968,.00084
2020,1,24,.00179,.000778,-.000775,.00217,.00109,.00264,.00172,.00163,.00218
2020,1,25,.00352,.00246,.000953,.00454,.00249,.00604,.00358,.00347,.00355
2020,1,26,.00513,.00415,.00231,.0069,.00389,.00824,.00543,.00515,.0048
2020,1,27,.00628,.00547,.00282,.00835,.00527,.00862,.00668,.00636,.00575
2020,1,28,.00669,.00663,.00313,.00883,.00564,.00877,.00716,.00685,.00593
2020,1,29,.00716,.00779,.00387,.00928,.00601,.00978,.00772,.0074,.00619
2020,1,30,.00739,.00887,.00396,.00946,.00632,.0104,.00786,.00774,.00629
2020,1,31,.00765,.00945,.00415,.00963,.00661,.0109,.00793,.00812,.00652
2020,2,1,.0084,.0102,.00508,.0109,.00766,.0128,.00853,.0089,.00734
2020,2,2,.00894,.011,.00502,.0121,.0087,.0132,.00892,.0095,.00791
2020,2,3,.00941,.0117,.00467,.0133,.00974,.013,.00926,.01,.00845
2020,2,4,.0092,.0122,.00433,.013,.00975,.0133,.0089,.00974,.0085
2020,2,5,.00891,.0127,.00326,.013,.01,.0126,.00837,.00948,.0084
2020,2,6,.00867,.0129,.00307,.0129,.0102,.0119,.00789,.00922,.00839
2020,2,7,.00841,.0129,.00269,.0129,.0101,.0113,.00747,.00889,.00845
2020,2,8,.00774,.0129,.0026,.012,.00901,.011,.00674,.00805,.00817
2020,2,9,.00723,.0129,.00311,.0111,.00791,.0121,.00606,.00735,.00813
2020,2,10,.00674,.0128,.00369,.0103,.00682,.0135,.00551,.00667,.00807
2020,2,11,.00662,.0128,.00413,.0102,.00663,.0143,.00527,.00642,.0083
2020,2,12,.00649,.0128,.00524,.0102,.00618,.0161,.00513,.00612,.00851
2020,2,13,.00639,.0129,.0061,.00982,.00583,.0189,.0051,.00587,.00862
2020,2,14,.00627,.0127,.00661,.00972,.00544,.0229,.00496,.00564,.0087
2020,2,15,.00474,.0121,.00487,.00796,.00379,.0219,.00324,.00407,.00745
2020,2,16,.00317,.0115,.00295,.0062,.00215,.0204,.0015,.00247,.00607
2020,2,17,.00157,.0109,.000514,.00445,.000502,.0195,-.000286,.00087,.00466
2020,2,18,.00315,.0116,.00272,.00695,.00177,.0209,.0014,.0026,.00587
2020,2,19,.00313,.0117,.00234,.00753,.00111,.0211,.00131,.00258,.00589
2020,2,20,.00304,.012,.00119,.00834,.000472,.0199,.00108,.00254,.00586
2020,2,21,.00274,.0118,.000337,.00877,-.000158,.0185,.000571,.00226,.00572
2020,2,22,.00272,.0104,.000304,.00883,-.000441,.021,.000335,.00229,.00582
2020,2,23,.00272,.00898,.000695,.00889,-.000724,.0231,.00011,.00235,.00593
2020,2,24,.00111,.00695,-.00106,.00719,-.00265,.0235,-.00188,.000763,.00464
2020,2,25,-.000199,.00503,-.00246,.00517,-.00415,.0236,-.00346,-.000659,.00381
2020,2,26,-.00146,.0031,-.00356,.00323,-.00537,.0238,-.00496,-.00193,.00281
2020,2,27,-.00269,.000864,-.00399,.00108,-.00671,.0249,-.00643,-.00317,.00183
2020,2,28,-.00404,-.00137,-.00456,-.00114,-.00825,.0258,-.00801,-.00449,.000624
2020,2,29,-.00563,-.00312,-.00493,-.00335,-.01,.0266,-.00985,-.00607,-.000717
2020,3,1,-.00728,-.00488,-.00566,-.00556,-.0118,.0269,-.0117,-.00777,-.00212
2020,3,2,-.00899,-.00663,-.00661,-.00778,-.0136,.0266,-.0134,-.00955,-.00365
2020,3,3,-.0106,-.00839,-.00703,-.00978,-.0154,.0264,-.0151,-.0112,-.00518
2020,3,4,-.0123,-.0102,-.00787,-.0118,-.0172,.0265,-.0169,-.0129,-.00662
2020,3,5,-.014,-.0117,-.00889,-.0137,-.019,.0261,-.0186,-.0147,-.00809
2020,3,6,-.0156,-.0133,-.00978,-.0157,-.0208,.0263,-.0202,-.0164,-.00958
2020,3,7,-.0175,-.0157,-.0112,-.0177,-.023,.0265,-.0222,-.0182,-.0117
2020,3,8,-.0193,-.0181,-.0126,-.0197,-.0252,.0282,-.0241,-.0199,-.0137
2020,3,9,-.0213,-.0206,-.0137,-.0217,-.0274,.0281,-.0261,-.0217,-.0158
2020,3,10,-.0233,-.023,-.0153,-.0238,-.0295,.0281,-.0281,-.0236,-.0179
2020,3,11,-.0254,-.0255,-.017,-.026,-.0317,.0273,-.0302,-.0256,-.0203
2020,3,12,-.0277,-.0279,-.0193,-.0281,-.0339,.0257,-.0326,-.0277,-.0229
2020,3,13,-.0306,-.0307,-.0229,-.0307,-.036,.0209,-.0354,-.0305,-.0261
2020,3,14,-.0346,-.0336,-.0277,-.0337,-.0384,.0108,-.0389,-.0343,-.0308
2020,3,15,-.0388,-.0365,-.0323,-.0368,-.0408,-.00337,-.0426,-.0383,-.0359
2020,3,16,-.0434,-.0394,-.0385,-.0398,-.0432,-.022,-.0467,-.0426,-.0418
2020,3,17,-.0496,-.0423,-.0479,-.0428,-.0456,-.0591,-.052,-.0484,-.0495
2020,3,18,-.0569,-.0452,-.0601,-.0458,-.0481,-.109,-.0584,-.0553,-.0585
2020,3,19,-.0651,-.0482,-.0743,-.0488,-.0506,-.166,-.0654,-.0631,-.0684
2020,3,20,-.0745,-.0512,-.0909,-.0521,-.0534,-.235,-.0736,-.0723,-.0796
2020,3,21,-.0856,-.0544,-.109,-.057,-.0573,-.305,-.0832,-.083,-.0926
