statefips,year,month,day,emp,emp31_33,emp44_45,emp48_49,emp62,emp72,emp_inclow,emp_incmiddle,emp_inchigh
1,2020,1,1,.,.,.,.,.,.,.,.,.
1,2020,1,2,.,.,.,.,.,.,.,.,.
1,2020,1,3,.,.,.,.,.,.,.,.,.
1,2020,1,4,.,.,.,.,.,.,.,.,.
1,2020,1,5,.,.,.,.,.,.,.,.,.
1,2020,1,6,.,.,.,.,.,.,.,.,.
1,2020,1,7,.,.,.,.,.,.,.,.,.
1,2020,1,8,-.0197,-.0186,-.0188,-.0298,-.0177,-.0134,-.0181,-.0218,-.018
1,2020,1,9,-.0158,-.0157,-.0155,-.0223,-.0163,-.00155,-.0151,-.0173,-.013
1,2020,1,10,-.0127,-.0111,-.0126,-.0223,-.0145,.00583,-.0117,-.0144,-.00979
1,2020,1,11,-.0115,-.00645,-.0167,-.0204,-.0122,-.000374,-.0104,-.0132,-.00965
1,2020,1,12,-.0096,-.00182,-.0143,-.0185,-.00986,-.00401,-.00815,-.0112,-.00957
1,2020,1,13,-.00731,.00281,-.00974,-.0166,-.00752,-.00497,-.00561,-.00915,-.00744
1,2020,1,14,-.00513,.00744,-.00823,-.0166,-.0046,-.00594,-.0035,-.00697,-.00527
1,2020,1,15,-.00315,.0123,-.00732,-.0147,-.00212,-.00701,-.0013,-.00546,-.00266
1,2020,1,16,-.00127,.0165,-.00868,-.0128,.000511,-.00883,.000562,-.00365,-.000502
1,2020,1,17,-.00107,.0116,-.00823,-.0109,.00197,-.0126,-.0000132,-.00275,.0000435
1,2020,1,18,-.000583,.00612,.000377,-.0118,.00241,-.00701,-.000322,-.0016,.00126
1,2020,1,19,-.00127,.000606,.000377,-.0128,.00285,-.00711,-.00191,-.00154,.00157
1,2020,1,20,-.00291,-.00491,-.00491,-.0137,.00329,-.0151,-.00425,-.00236,-.00046
1,2020,1,21,-.000256,-.00402,.00325,-.00711,.00314,-.00551,-.00109,-.00035,.00278
1,2020,1,22,.000642,-.0091,.00702,-.00616,.00402,-.0069,-.000289,.000965,.00261
1,2020,1,23,.00174,-.0135,.0108,-.00332,.00445,-.0053,.000132,.00263,.00446
1,2020,1,24,.00458,-.00976,.0152,.00237,.00577,.000695,.00314,.00538,.0072
1,2020,1,25,.00637,-.00469,.0134,.00805,.00621,.00604,.00551,.00677,.00823
1,2020,1,26,.00836,.000386,.014,.0137,.00664,.0108,.00819,.0083,.00921
1,2020,1,27,.00955,-.0000552,.015,.0185,.00752,.0121,.00918,.00998,.00947
1,2020,1,28,.0102,.00458,.0137,.0213,.00767,.0136,.0102,.0106,.00899
1,2020,1,29,.0108,.00876,.0129,.0279,.00708,.0133,.0109,.0114,.00824
1,2020,1,30,.0111,.013,.0111,.0317,.00694,.0133,.0118,.012,.00566
1,2020,1,31,.0108,.0147,.0109,.0317,.00635,.0141,.0109,.0126,.00457
1,2020,2,1,.0111,.0176,.0159,.027,.00416,.0175,.0108,.0141,.00311
1,2020,2,2,.0111,.0205,.0174,.0223,.00197,.0202,.0102,.015,.00188
1,2020,2,3,.0108,.0233,.0173,.0175,-.000219,.0214,.00935,.0156,.000976
1,2020,2,4,.00989,.0255,.0186,.0118,-.00241,.0214,.00755,.0163,-.00189
1,2020,2,5,.00912,.0282,.0191,.00521,-.00402,.0208,.00562,.0172,-.0038
1,2020,2,6,.0084,.0308,.0203,.000474,-.00548,.0206,.00386,.018,-.00555
1,2020,2,7,.00813,.0324,.0242,-.00332,-.00811,.0201,.00349,.0189,-.00932
1,2020,2,8,.00694,.0319,.0263,-.000474,-.00971,.0146,.00251,.0182,-.0129
1,2020,2,9,.0059,.0315,.028,.00237,-.0113,.0128,.00189,.0172,-.0155
1,2020,2,10,.00472,.031,.028,.00521,-.0129,.0117,.0012,.0163,-.0198
1,2020,2,11,.00429,.0304,.0304,.00332,-.0142,.0121,.00147,.0155,-.0214
1,2020,2,12,.00408,.0299,.0339,.00332,-.0154,.0156,.00202,.0149,-.0231
1,2020,2,13,.00353,.0291,.0378,.00142,-.0169,.019,.00198,.0143,-.0254
1,2020,2,14,.00212,.0284,.033,-.00332,-.0173,.0229,.000727,.0124,-.026
