statename,statefips,schools_closed,nonessential_biz_closed,stayathome_start,regional_biz_opened,regional_stayathome_end,statewide_biz_opened,statewide_stayathome_end,regional_biz_reclosed,statewide_biz_reclosed
Alabama,1,2020-03-19,2020-03-28,2020-04-04,,,2020-05-01,2020-04-30,,
Alaska,2,2020-03-16,2020-03-28,2020-03-28,,,2020-04-24,2020-04-24,,
Arizona,4,2020-03-16,,2020-03-31,,,2020-05-08,2020-05-15,,2020-06-29
Arkansas,5,2020-03-17,,,,,2020-05-04,,,
California,6,2020-03-19,2020-03-19,2020-03-19,2020-05-08,,2020-05-22,,2020-06-28,2020-07-13
Colorado,8,2020-03-23,2020-03-26,2020-03-26,2020-05-01,2020-04-26,2020-05-09,2020-05-09,,2020-07-02
Connecticut,9,2020-03-17,2020-03-23,2020-03-23,,,2020-05-20,2020-05-20,,
Delaware,10,2020-03-16,2020-03-24,2020-03-24,,,2020-06-01,2020-05-31,,
District Of Columbia,11,2020-03-16,2020-03-25,2020-04-01,,,2020-05-29,2020-05-29,,
Florida,12,2020-03-16,,2020-04-03,2020-05-04,2020-05-04,2020-05-18,2020-05-18,,2020-06-26
Georgia,13,2020-03-18,,2020-04-03,,,2020-04-24,2020-04-30,,
Hawaii,15,2020-03-16,2020-03-25,2020-03-25,2020-05-07,,2020-05-15,2020-05-31,2020-08-08,
Idaho,16,2020-03-23,2020-03-25,2020-03-25,,,2020-05-01,2020-04-30,2020-06-24,
Illinois,17,2020-03-17,2020-03-21,2020-03-21,2020-05-29,,2020-06-03,2020-05-29,,
Indiana,18,2020-03-19,2020-03-24,2020-03-24,2020-05-04,2020-05-04,2020-05-18,2020-05-18,,
Iowa,19,2020-03-15,2020-03-17,,2020-05-01,,2020-05-08,,2020-08-27,
Kansas,20,2020-03-18,,2020-03-30,2020-05-04,2020-05-03,2020-05-11,2020-05-22,,
Kentucky,21,2020-03-16,2020-03-26,2020-03-26,,,2020-05-11,2020-05-11,,2020-07-28
Louisiana,22,2020-03-16,2020-03-22,2020-03-23,2020-05-15,2020-05-15,2020-05-16,2020-05-16,,2020-07-13
Maine,23,2020-03-31,2020-03-25,2020-04-02,,,2020-05-01,2020-05-31,,
Maryland,24,2020-03-16,2020-03-23,2020-03-30,2020-05-15,2020-05-15,2020-06-01,2020-06-01,,
Massachusetts,25,2020-03-17,2020-03-24,2020-03-24,,,2020-05-18,2020-05-18,,
Michigan,26,2020-03-16,2020-03-23,2020-03-24,,,2020-05-11,2020-06-01,2020-07-01,
Minnesota,27,2020-03-16,,2020-03-27,,,2020-04-27,2020-05-17,,
Mississippi,28,2020-03-16,2020-04-03,2020-04-03,,,2020-04-27,2020-04-27,,
Missouri,29,2020-03-20,,2020-04-06,2020-05-04,2020-05-03,2020-05-18,2020-05-18,,
Montana,30,2020-03-16,2020-03-26,2020-03-28,2020-04-27,,2020-05-01,2020-04-26,,
Nebraska,31,2020-03-23,,,2020-05-04,,2020-06-01,,,
Nevada,32,2020-03-16,2020-03-21,2020-04-01,,,2020-05-09,2020-05-09,2020-07-10,
New Hampshire,33,2020-03-16,2020-03-28,2020-03-27,,,2020-05-11,2020-06-15,,
New Jersey,34,2020-03-18,2020-03-21,2020-03-21,,,2020-06-15,2020-06-09,,
New Mexico,35,2020-03-16,2020-03-24,2020-03-24,2020-05-16,,2020-06-01,2020-05-31,,
New York,36,2020-03-18,2020-03-22,2020-03-22,2020-05-15,,2020-06-08,2020-05-28,2020-10-08,
North Carolina,37,2020-03-16,2020-03-30,2020-03-30,,,2020-05-08,2020-05-22,,
North Dakota,38,2020-03-16,,,,,2020-05-01,,,
Ohio,39,2020-03-17,2020-03-23,2020-03-23,,,2020-05-04,2020-05-29,,
Oklahoma,40,2020-03-17,2020-04-01,,2020-04-24,,2020-05-01,,,
Oregon,41,2020-03-16,,2020-03-23,,,2020-05-15,,2020-07-31,
Pennsylvania,42,2020-03-16,2020-03-23,2020-04-01,2020-05-08,2020-05-08,2020-06-05,2020-06-05,2020-07-03,
Rhode Island,44,2020-03-16,,2020-03-28,,,2020-05-09,2020-05-08,,
South Carolina,45,2020-03-16,,2020-04-07,,,2020-04-20,2020-05-04,,
South Dakota,46,2020-03-16,,,,,,,,
Tennessee,47,2020-03-20,2020-04-01,2020-03-31,2020-04-27,2020-04-30,2020-05-11,2020-05-11,2020-07-03,
Texas,48,2020-03-21,,2020-04-02,,,2020-05-01,2020-04-30,,2020-06-26
Utah,49,2020-03-16,,,,,2020-05-01,,,
Vermont,50,2020-03-18,2020-03-25,2020-03-25,,,2020-05-11,2020-05-15,,
Virginia,51,2020-03-16,2020-03-24,2020-03-30,2020-05-15,,2020-05-29,2020-06-10,,
Washington,53,2020-03-16,2020-03-25,2020-03-23,2020-05-11,,2020-07-03,2020-05-31,,
West Virginia,54,2020-03-16,2020-03-24,2020-03-24,,,2020-05-04,2020-05-03,,2020-07-14
Wisconsin,55,2020-03-16,2020-03-25,2020-03-25,2020-05-13,2020-05-13,2020-05-26,2020-05-26,,
Wyoming,56,2020-03-20,,,2020-05-01,,2020-05-11,,,
