year,month,day_endofweek,countyfips,initclaims_count_regular,initclaims_rate_regular
2020,1,4,16001,406,.16
2020,1,4,16003,.,.
2020,1,4,16005,82,.192
2020,1,4,16007,.,.
2020,1,4,16009,13,.316
2020,1,4,16011,27,.113
2020,1,4,16013,23,.187
2020,1,4,16015,.,.
2020,1,4,16017,55,.274
2020,1,4,16019,94,.165
2020,1,4,16021,25,.465
2020,1,4,16023,6,.429
2020,1,4,16025,.,.
2020,1,4,16027,119,.114
2020,1,4,16029,21,.508
2020,1,4,16031,19,.156
2020,1,4,16035,5,.172
2020,1,4,16037,5,.224
2020,1,4,16039,10,.0866
2020,1,4,16041,7,.0994
2020,1,4,16043,15,.191
2020,1,4,16045,6,.0722
2020,1,4,16047,6,.073
2020,1,4,16049,13,.198
2020,1,4,16051,12,.0855
2020,1,4,16053,26,.213
2020,1,4,16055,203,.253
2020,1,4,16057,23,.112
2020,1,4,16059,11,.308
2020,1,4,16061,.,.
2020,1,4,16063,6,.222
2020,1,4,16065,15,.0684
2020,1,4,16067,13,.114
2020,1,4,16069,30,.142
2020,1,4,16071,.,.
2020,1,4,16073,9,.166
2020,1,4,16075,11,.0943
2020,1,4,16077,.,.
2020,1,4,16079,24,.467
2020,1,4,16081,6,.0906
2020,1,4,16083,77,.186
2020,1,4,16085,10,.18
2020,1,4,16087,6,.13
2020,1,4,19001,18,.42
2020,1,4,19003,4,.181
2020,1,4,19005,22,.294
2020,1,4,19007,23,.381
2020,1,4,19009,5,.158
2020,1,4,19011,54,.393
2020,1,4,19013,228,.324
2020,1,4,19015,25,.165
2020,1,4,19017,49,.347
2020,1,4,19019,26,.226
2020,1,4,19021,19,.159
2020,1,4,19023,18,.225
2020,1,4,19025,7,.162
2020,1,4,19027,10,.09
2020,1,4,19029,14,.2
2020,1,4,19031,27,.245
2020,1,4,19033,52,.217
2020,1,4,19035,9,.144
2020,1,4,19037,24,.363
2020,1,4,19039,19,.384
2020,1,4,19041,28,.325
2020,1,4,19043,58,.563
2020,1,4,19045,88,.38
2020,1,4,19047,39,.472
2020,1,4,19049,53,.105
2020,1,4,19051,12,.281
2020,1,4,19053,6,.135
2020,1,4,19055,28,.261
2020,1,4,19057,75,.383
2020,1,4,19059,48,.469
2020,1,4,19061,143,.251
2020,1,4,19063,16,.3
2020,1,4,19065,31,.288
2020,1,4,19067,29,.323
2020,1,4,19069,12,.207
2020,1,4,19071,2,.0536
2020,1,4,19073,9,.164
2020,1,4,19075,23,.347
2020,1,4,19077,14,.245
2020,1,4,19079,10,.143
2020,1,4,19081,27,.45
2020,1,4,19083,14,.171
2020,1,4,19085,9,.12
2020,1,4,19087,18,.181
2020,1,4,19089,30,.571
2020,1,4,19091,9,.173
2020,1,4,19093,17,.406
2020,1,4,19095,40,.374
2020,1,4,19097,40,.358
2020,1,4,19099,35,.174
2020,1,4,19101,5,.0488
2020,1,4,19103,110,.125
2020,1,4,19105,42,.386
2020,1,4,19107,16,.301
2020,1,4,19109,14,.164
2020,1,4,19111,68,.416
2020,1,4,19113,361,.29
2020,1,4,19115,21,.342
2020,1,4,19117,7,.149
2020,1,4,19119,8,.112
2020,1,4,19121,37,.424
2020,1,4,19123,26,.216
2020,1,4,19125,43,.231
2020,1,4,19127,46,.253
2020,1,4,19129,8,.107
2020,1,4,19131,10,.144
2020,1,4,19133,11,.244
2020,1,4,19135,14,.343
2020,1,4,19137,7,.138
2020,1,4,19139,54,.244
2020,1,4,19141,5,.0598
2020,1,4,19143,1,.0279
2020,1,4,19145,7,.108
2020,1,4,19147,7,.144
2020,1,4,19149,25,.166
2020,1,4,19151,7,.153
2020,1,4,19153,827,.302
2020,1,4,19155,56,.114
2020,1,4,19157,22,.209
2020,1,4,19159,5,.199
2020,1,4,19161,12,.224
2020,1,4,19163,160,.176
2020,1,4,19165,3,.0441
2020,1,4,19167,25,.117
2020,1,4,19169,47,.0794
2020,1,4,19171,22,.229
2020,1,4,19173,2,.0616
2020,1,4,19175,14,.22
2020,1,4,19177,21,.565
2020,1,4,19179,49,.271
2020,1,4,19181,51,.177
2020,1,4,19183,30,.246
2020,1,4,19185,8,.281
2020,1,4,19187,29,.147
2020,1,4,19189,48,.924
2020,1,4,19191,43,.355
2020,1,4,19193,127,.225
2020,1,4,19195,20,.468
2020,1,4,19197,10,.142
2020,1,4,56001,21,.104
2020,1,4,56003,13,.245
2020,1,4,56005,39,.168
2020,1,4,56007,13,.163
2020,1,4,56009,8,.092
2020,1,4,56011,.,.
2020,1,4,56013,51,.274
2020,1,4,56015,.,.
2020,1,4,56017,5,.23
2020,1,4,56019,12,.287
2020,1,4,56021,89,.184
2020,1,4,56023,11,.124
2020,1,4,56025,105,.267
2020,1,4,56027,0,0
2020,1,4,56029,26,.168
2020,1,4,56031,5,.107
2020,1,4,56033,40,.256
2020,1,4,56035,7,.17
2020,1,4,56037,47,.221
2020,1,4,56039,18,.116
2020,1,4,56041,23,.255
2020,1,4,56043,8,.203
2020,1,4,56045,7,.184
2020,1,11,6001,1624,.192
2020,1,11,6003,3.03,.55
2020,1,11,6005,56.6,.38
2020,1,11,6007,439,.442
2020,1,11,6009,80.6,.376
2020,1,11,6011,233,2.12
2020,1,11,6013,1202,.214
2020,1,11,6015,52.3,.54
2020,1,11,6017,253,.275
2020,1,11,6019,3287,.729
2020,1,11,6021,94.7,.729
2020,1,11,6023,255,.407
2020,1,11,6025,753,1.06
2020,1,11,6027,24.2,.277
2020,1,11,6029,2967,.759
2020,1,11,6031,543,.94
2020,1,11,6033,144,.495
2020,1,11,6035,58.6,.594
2020,1,11,6037,13268,.259
2020,1,11,6039,384,.619
2020,1,11,6041,177,.126
2020,1,11,6043,45.5,.597
2020,1,11,6045,168,.432
2020,1,11,6047,1193,1.03
2020,1,11,6049,17.7,.557
2020,1,11,6051,21.5,.252
2020,1,11,6053,1586,.713
2020,1,11,6055,172,.232
2020,1,11,6057,132,.272
2020,1,11,6059,2601,.16
2020,1,11,6061,420,.224
2020,1,11,6063,75.8,.959
