year,month,day_endofweek,statefips,initclaims_count_regular,contclaims_count_regular,initclaims_count_pua,contclaims_count_peuc,contclaims_count_pua,initclaims_count_combined,contclaims_count_combined,initclaims_rate_regular,contclaims_rate_regular,initclaims_rate_pua,contclaims_rate_peuc,contclaims_rate_pua,initclaims_rate_combined,contclaims_rate_combined
2020,1,4,1,4578,18523,0,0,0,4578,18523,.204,.826,0,0,0,.204,.826
2020,1,4,2,981,10177,0,0,0,981,10177,.282,2.93,0,0,0,.282,2.93
2020,1,4,4,3132,17989,0,0,0,3132,17989,.0882,.507,0,0,0,.0882,.507
2020,1,4,5,2576,15323,0,0,0,2576,15323,.189,1.12,0,0,0,.189,1.12
2020,1,4,6,36683,358696,0,0,0,36683,358696,.189,1.85,0,0,0,.189,1.85
2020,1,4,8,2431,21391,0,0,0,2431,21391,.0772,.679,0,0,0,.0772,.679
2020,1,4,9,7844,46378,0,0,0,7844,46378,.41,2.42,0,0,0,.41,2.42
2020,1,4,10,875,6881,0,0,0,875,6881,.18,1.41,0,0,0,.18,1.41
2020,1,4,11,481,7198,0,0,0,481,7198,.116,1.73,0,0,0,.116,1.73
2020,1,4,12,4618,36187,0,0,0,4618,36187,.0447,.35,0,0,0,.0447,.35
2020,1,4,13,17060,38704,0,0,0,17060,38704,.334,.757,0,0,0,.334,.757
2020,1,4,15,1825,6813,0,0,0,1825,6813,.274,1.02,0,0,0,.274,1.02
2020,1,4,16,2957,8854,0,0,0,2957,8854,.335,1,0,0,0,.335,1
2020,1,4,17,11779,125348,0,0,0,11779,125348,.183,1.94,0,0,0,.183,1.94
2020,1,4,18,4434,20062,0,0,0,4434,20062,.131,.592,0,0,0,.131,.592
2020,1,4,19,4586,34549,0,0,0,4586,34549,.264,1.99,0,0,0,.264,1.99
2020,1,4,20,2016,11086,0,0,0,2016,11086,.136,.746,0,0,0,.136,.746
2020,1,4,21,5175,22515,0,0,0,5175,22515,.25,1.09,0,0,0,.25,1.09
2020,1,4,22,1658,16553,0,0,0,1658,16553,.0791,.79,0,0,0,.0791,.79
2020,1,4,23,1663,7826,0,0,0,1663,7826,.24,1.13,0,0,0,.24,1.13
2020,1,4,24,3982,30556,0,0,0,3982,30556,.122,.937,0,0,0,.122,.937
2020,1,4,25,9463,76428,0,0,0,9463,76428,.248,2,0,0,0,.248,2
2020,1,4,26,13201,72028,0,0,0,13201,72028,.267,1.46,0,0,0,.267,1.46
2020,1,4,27,7288,68135,0,0,0,7288,68135,.234,2.19,0,0,0,.234,2.19
2020,1,4,28,1178,9681,0,0,0,1178,9681,.0923,.759,0,0,0,.0923,.759
2020,1,4,29,7429,29378,0,0,0,7429,29378,.241,.953,0,0,0,.241,.953
2020,1,4,30,1555,11056,0,0,0,1555,11056,.291,2.07,0,0,0,.291,2.07
2020,1,4,31,1099,5164,0,0,0,1099,5164,.106,.499,0,0,0,.106,.499
2020,1,4,32,2264,20801,0,0,0,2264,20801,.147,1.35,0,0,0,.147,1.35
2020,1,4,33,690,4465,0,0,0,690,4465,.0892,.577,0,0,0,.0892,.577
2020,1,4,34,15325,111335,0,0,0,15325,111335,.341,2.48,0,0,0,.341,2.48
2020,1,4,35,799,10140,0,0,0,799,10140,.0837,1.06,0,0,0,.0837,1.06
2020,1,4,36,44818,181417,0,0,0,44818,181417,.471,1.91,0,0,0,.471,1.91
2020,1,4,37,3508,20848,0,0,0,3508,20848,.069,.41,0,0,0,.069,.41
2020,1,4,38,836,5785,0,0,0,836,5785,.207,1.43,0,0,0,.207,1.43
2020,1,4,39,10638,73166,0,0,0,10638,73166,.183,1.26,0,0,0,.183,1.26
2020,1,4,40,2943,18080,0,0,0,2943,18080,.16,.982,0,0,0,.16,.982
2020,1,4,41,6707,35337,0,0,0,6707,35337,.319,1.68,0,0,0,.319,1.68
2020,1,4,42,27298,135390,0,0,0,27298,135390,.421,2.09,0,0,0,.421,2.09
2020,1,4,44,1969,12100,0,0,0,1969,12100,.354,2.18,0,0,0,.354,2.18
2020,1,4,45,7471,18922,0,0,0,7471,18922,.314,.796,0,0,0,.314,.796
2020,1,4,46,398,2798,0,0,0,398,2798,.0858,.603,0,0,0,.0858,.603
2020,1,4,47,3084,22163,0,0,0,3084,22163,.0922,.663,0,0,0,.0922,.663
2020,1,4,48,12257,140926,0,0,0,12257,140926,.0873,1,0,0,0,.0873,1
2020,1,4,49,1518,11328,0,0,0,1518,11328,.0944,.705,0,0,0,.0944,.705
2020,1,4,50,680,5417,0,0,0,680,5417,.199,1.58,0,0,0,.199,1.58
2020,1,4,51,3188,22171,0,0,0,3188,22171,.0723,.502,0,0,0,.0723,.502
2020,1,4,53,9844,69967,0,0,0,9844,69967,.251,1.79,0,0,0,.251,1.79
2020,1,4,54,1564,15887,0,0,0,1564,15887,.196,1.99,0,0,0,.196,1.99
2020,1,4,55,12854,49605,0,0,0,12854,49605,.414,1.6,0,0,0,.414,1.6
2020,1,4,56,662,3219,0,0,0,662,3219,.227,1.1,0,0,0,.227,1.1
2020,1,11,1,3629,21143,0,0,0,3629,21143,.162,.943,0,0,0,.162,.943
2020,1,11,2,1371,9310,0,0,0,1371,9310,.394,2.68,0,0,0,.394,2.68
2020,1,11,4,4650,18198,0,0,0,4650,18198,.131,.512,0,0,0,.131,.512
2020,1,11,5,2493,15536,0,0,0,2493,15536,.183,1.14,0,0,0,.183,1.14
2020,1,11,6,51896,355812,0,0,0,51896,355812,.267,1.83,0,0,0,.267,1.83
2020,1,11,8,3001,21492,0,0,0,3001,21492,.0953,.683,0,0,0,.0953,.683
2020,1,11,9,5978,47413,0,0,0,5978,47413,.312,2.48,0,0,0,.312,2.48
2020,1,11,10,1107,7083,0,0,0,1107,7083,.227,1.45,0,0,0,.227,1.45
2020,1,11,11,706,7102,0,0,0,706,7102,.17,1.71,0,0,0,.17,1.71
2020,1,11,12,6862,35022,0,0,0,6862,35022,.0665,.339,0,0,0,.0665,.339
2020,1,11,13,17962,47482,0,0,0,17962,47482,.351,.929,0,0,0,.351,.929
2020,1,11,15,1826,7849,0,0,0,1826,7849,.275,1.18,0,0,0,.275,1.18
2020,1,11,16,2131,11483,0,0,0,2131,11483,.242,1.3,0,0,0,.242,1.3
2020,1,11,17,12703,136523,0,0,0,12703,136523,.197,2.12,0,0,0,.197,2.12
2020,1,11,18,4890,21524,0,0,0,4890,21524,.144,.635,0,0,0,.144,.635
2020,1,11,19,4834,34540,0,0,0,4834,34540,.278,1.99,0,0,0,.278,1.99
2020,1,11,20,2129,11373,0,0,0,2129,11373,.143,.765,0,0,0,.143,.765
2020,1,11,21,3968,25124,0,0,0,3968,25124,.191,1.21,0,0,0,.191,1.21
2020,1,11,22,2521,15957,0,0,0,2521,15957,.12,.762,0,0,0,.12,.762
2020,1,11,23,1561,7830,0,0,0,1561,7830,.225,1.13,0,0,0,.225,1.13
2020,1,11,24,4612,31277,0,0,0,4612,31277,.141,.959,0,0,0,.141,.959
2020,1,11,25,8775,79440,0,0,0,8775,79440,.23,2.08,0,0,0,.23,2.08
2020,1,11,26,14245,89655,0,0,0,14245,89655,.289,1.82,0,0,0,.289,1.82
2020,1,11,27,5920,66306,0,0,0,5920,66306,.19,2.13,0,0,0,.19,2.13
2020,1,11,28,1515,9536,0,0,0,1515,9536,.119,.747,0,0,0,.119,.747
2020,1,11,29,10875,29881,0,0,0,10875,29881,.353,.969,0,0,0,.353,.969
2020,1,11,30,1755,11756,0,0,0,1755,11756,.329,2.2,0,0,0,.329,2.2
2020,1,11,31,1256,7609,0,0,0,1256,7609,.121,.735,0,0,0,.121,.735
2020,1,11,32,2792,19823,0,0,0,2792,19823,.181,1.29,0,0,0,.181,1.29
2020,1,11,33,721,4575,0,0,0,721,4575,.0932,.591,0,0,0,.0932,.591
