year,month,day,cityid,revenue_all,revenue_ss40,revenue_ss60,revenue_ss65,revenue_ss70,merchants_all,merchants_ss40,merchants_ss60,merchants_ss65,merchants_ss70
2020,1,10,1,-.0382,-.0343,-.0627,-.0407,-.0182,-.021,-.0128,-.0473,-.0374,-.00792
2020,1,10,2,.00924,-.00288,.0709,-.0426,.0309,.00433,.0092,-.0248,-.0179,.00808
2020,1,10,3,-.0829,-.165,-.0809,-.0306,-.0484,-.0236,-.0214,-.0577,-.0455,-.0147
2020,1,10,4,-.058,-.0813,-.085,-.0391,-.00699,.00631,.0159,.0108,.00263,.00372
2020,1,10,5,-.0107,-.00758,-.0206,-.027,.0103,.00684,.0247,-.012,.00884,.00575
2020,1,10,6,-.0114,-.0612,.0686,-.0543,.00763,-.00114,.00827,.000772,.00495,-.00861
2020,1,10,7,-.0479,-.0819,-.121,.0325,-.0169,.00291,-.00836,.00538,.0129,.0114
2020,1,10,8,-.0534,-.106,-.0512,.0172,-.0912,-.000842,.00423,-.0261,-.0139,-.00588
2020,1,10,9,.039,.0507,-.00724,.0767,-.000676,.0218,.0143,.0285,.029,.0162
2020,1,10,10,-.0023,-.0587,.109,-.0493,-.0157,.0105,.0141,.0447,.00232,.00628
2020,1,10,11,-.0586,-.133,-.0433,.0135,-.00334,.00695,-.00409,-.00489,.0243,.0146
2020,1,10,12,-.0155,.0344,-.00693,-.0674,-.0341,-.00551,.0199,-.0601,-.00973,.0142
2020,1,10,13,.0126,.0181,.0095,-.076,.0283,.00727,.00672,-.0922,-.00845,-.00191
2020,1,10,14,.0128,-.031,.427,-.0965,-.000407,-.00436,-.00578,.043,.00346,.000127
2020,1,10,15,-.0434,-.0868,.0505,-.0858,-.0149,-.0236,-.0227,-.039,-.0374,-.00276
2020,1,10,16,-.0743,-.0675,-.0832,-.0446,-.0661,-.00356,-.0182,.0361,-.00685,.00298
2020,1,10,17,.0114,-.00891,-.043,.00595,.0465,.000122,-.000463,-.00808,.0282,-.00173
