year,month,day_endofweek,cityid,merchants_all,revenue_all
2020,1,12,1,.0131,-.0108
2020,1,12,2,.0192,.0266
2020,1,12,3,.0086,-.0696
2020,1,12,4,.0222,-.0246
2020,1,12,5,-.00288,.00356
2020,1,12,6,.0053,-.00644
2020,1,12,7,.00936,-.00638
2020,1,12,8,.0129,-.0334
2020,1,12,9,.0206,.0254
2020,1,12,10,.0109,.00215
2020,1,12,11,.0184,-.0145
2020,1,12,12,.0106,-.0397
2020,1,12,13,.0109,.0124
2020,1,12,14,.0169,.0182
2020,1,12,15,.000208,.000656
2020,1,12,16,.0145,-.0492
2020,1,12,17,.0118,.0232
2020,1,12,18,.00317,-.000153
2020,1,12,19,.0218,-.0273
2020,1,12,20,.0145,-.00211
2020,1,12,21,.00725,-.0243
2020,1,12,22,.00146,-.00901
2020,1,12,23,.0188,.0735
2020,1,12,24,.0193,.00157
2020,1,12,25,.0309,.0368
2020,1,12,26,.0167,-.00811
2020,1,12,27,.0214,-.0336
2020,1,12,28,-.0111,-.0407
2020,1,12,29,-.00952,.0409
2020,1,12,30,.0178,.0233
2020,1,12,31,-.00239,-.0902
2020,1,12,32,.00816,.0217
2020,1,12,33,.00791,-.0359
2020,1,12,34,.02,-.0249
2020,1,12,35,.000819,-.0161
2020,1,12,36,.0348,-.079
2020,1,12,37,.0235,.0475
2020,1,12,38,.0183,-.0607
2020,1,12,39,.0143,-.0024
2020,1,12,40,.00524,.00897
2020,1,12,41,-.0125,-.00361
2020,1,12,42,-.00873,-.0384
2020,1,12,43,.00423,-.0401
2020,1,12,44,.0124,-.0225
2020,1,12,45,.00636,.0148
2020,1,12,46,.000993,-.033
2020,1,12,47,.0111,.000195
2020,1,12,48,.0078,-.0546
2020,1,12,49,.0304,-.000595
2020,1,12,50,.0106,.0211
2020,1,12,51,.000232,-.00747
2020,1,12,52,.00261,.0421
2020,1,12,53,-.00778,-.0503
2020,1,19,1,-.00168,.0126
2020,1,19,2,-.0101,-.0206
2020,1,19,3,-.00812,-.0368
2020,1,19,4,-.00784,.00208
2020,1,19,5,.00219,.00835
2020,1,19,6,-.00158,.0254
2020,1,19,7,-.00292,-.00668
2020,1,19,8,.00369,-.00699
2020,1,19,9,-.00875,-.0934
2020,1,19,10,-.00491,-.00333
2020,1,19,11,-.00585,.0163
2020,1,19,12,.00142,.0442
2020,1,19,13,-.00844,-.00992
2020,1,19,14,-.00116,.00337
2020,1,19,15,-.0019,.0221
2020,1,19,16,-.0144,.0393
2020,1,19,17,-.00746,-.0093
2020,1,19,18,-.0164,.0247
2020,1,19,19,-.00971,.00877
2020,1,19,20,-.00863,.0408
2020,1,19,21,-.00334,.0738
2020,1,19,22,.00481,.0121
2020,1,19,23,.00664,-.014
2020,1,19,24,-.00327,-.00502
2020,1,19,25,-.00705,-.0301
2020,1,19,26,-.00818,-.0228
2020,1,19,27,-.0148,.0599
2020,1,19,28,.0173,-.00551
2020,1,19,29,.00742,.00665
2020,1,19,30,-.0131,.0373
2020,1,19,31,.00194,-.0199
2020,1,19,32,.000852,-.0447
2020,1,19,33,-.0157,.0385
2020,1,19,34,.00827,.000809
2020,1,19,35,-.00551,-.0294
2020,1,19,36,-.0128,.00659
2020,1,19,37,-.00187,.0653
2020,1,19,38,-.00546,.0345
2020,1,19,39,.00395,.0123
