year,month,day_endofweek,countyfips,merchants_all,revenue_all
2020,1,12,1003,.0254,.0763
2020,1,12,1031,.0168,-.0902
2020,1,12,1043,.00114,-.0628
2020,1,12,1055,.0256,-.122
2020,1,12,1069,.00064,-.027
2020,1,12,1073,.00381,-.0062
2020,1,12,1077,.00753,-.0406
2020,1,12,1081,-.00317,-.0562
2020,1,12,1089,.0215,.0437
2020,1,12,1095,.0197,.0921
2020,1,12,1097,.0171,-.000416
2020,1,12,1101,.00494,-.019
2020,1,12,1115,.0118,-.102
2020,1,12,1117,.0194,-.0249
2020,1,12,1125,.00988,-.0386
2020,1,12,2020,.015,.0532
2020,1,12,2090,.00649,-.0254
2020,1,12,4005,-.00547,.00149
2020,1,12,4013,-.00288,.00356
2020,1,12,4015,-.00334,.00402
2020,1,12,4017,.0304,.0298
2020,1,12,4019,.00791,-.0359
2020,1,12,4021,.0154,.0606
2020,1,12,4025,-.00274,-.09
2020,1,12,5007,-.000766,-.0513
2020,1,12,5031,-.0159,-.0419
2020,1,12,5045,.0209,-.0031
2020,1,12,5051,.0196,.0476
2020,1,12,5143,.0249,-.0617
2020,1,12,6001,-.0125,-.00361
2020,1,12,6007,.0015,.0391
2020,1,12,6013,.0104,.0148
2020,1,12,6017,0,.0361
2020,1,12,6019,.02,-.0249
2020,1,12,6023,-.0109,.152
2020,1,12,6029,.0111,.000195
2020,1,12,6037,.0131,-.0108
2020,1,12,6039,.0192,.0454
2020,1,12,6041,-.00665,.00243
2020,1,12,6045,.0163,.0703
2020,1,12,6047,-.00971,-.069
2020,1,12,6053,.0167,-.0288
2020,1,12,6059,.00962,.00152
2020,1,12,6061,.0133,-.00387
2020,1,12,6065,-.00347,-.00293
2020,1,12,6067,.000819,-.0161
2020,1,12,6069,-.0272,-.0235
2020,1,12,6071,.00676,-.00817
2020,1,12,6073,.0053,-.00644
2020,1,12,6075,.00725,-.0243
2020,1,12,6077,.0275,.0387
2020,1,12,6081,-.0309,-.0357
2020,1,12,6083,.0159,.0349
2020,1,12,6085,.0106,-.0397
2020,1,12,6087,.0186,-.0454
2020,1,12,6089,.00123,.0551
2020,1,12,6095,.00108,-.0259
2020,1,12,6099,.00734,-.0359
2020,1,12,6101,-.0123,-.0362
2020,1,12,6107,-.00872,-.0432
2020,1,12,6111,.0151,.0162
2020,1,12,6113,.00208,.0173
2020,1,12,8001,.0227,.0125
2020,1,12,8005,.0264,.077
2020,1,12,8013,.00832,-.0337
2020,1,12,8014,.0159,-.0281
2020,1,12,8031,-.0111,-.0407
2020,1,12,8035,.00619,.0909
2020,1,12,8037,-.0305,-.0127
2020,1,12,8041,.00261,.0421
2020,1,12,8045,.0199,-.0405
2020,1,12,8049,.0407,.0952
2020,1,12,8059,-.00382,.0792
2020,1,12,8077,.0245,.0031
2020,1,12,8101,.00399,.0744
2020,1,12,8107,-.0136,.0862
2020,1,12,8117,.0494,.0204
2020,1,12,8123,.00683,-.0108
2020,1,12,9001,.0036,.025
2020,1,12,9003,.0152,.0241
2020,1,12,9005,.00368,.0209
2020,1,12,9007,-.00351,-.0818
2020,1,12,9009,.00348,-.000457
2020,1,12,9011,.00614,.0332
2020,1,12,9013,.0409,-.0887
2020,1,12,9015,.0216,.0105
2020,1,12,10001,.00342,.0465
2020,1,12,10003,.0143,-.0378
2020,1,12,11001,-.00952,.0409
2020,1,12,12001,.00014,.0966
2020,1,12,12009,.00805,-.03
2020,1,12,12011,.0387,-.0339
2020,1,12,12015,.0211,.0893
2020,1,12,12017,-.0102,-.111
2020,1,12,12019,.0179,.0476
2020,1,12,12021,.0015,-.0529
2020,1,12,12023,-.00628,-.0601
2020,1,12,12031,.0218,-.0273
2020,1,12,12033,.00953,-.0466
2020,1,12,12035,-.0107,-.0761
2020,1,12,12053,-.0159,-.105
2020,1,12,12055,.011,-.0466
2020,1,12,12057,.00423,-.0401
2020,1,12,12061,.00284,.00846
2020,1,12,12069,.0145,-.0509
2020,1,12,12071,.0138,.000422
2020,1,12,12073,.011,.0449
2020,1,12,12081,.0511,-.0245
