year,month,day,revenue_all,revenue_inchigh,revenue_inclow,revenue_incmiddle,revenue_ss40,revenue_ss60,revenue_ss65,revenue_ss70,revenue_food_accommodation,revenue_retail,merchants_all,merchants_inchigh,merchants_inclow,merchants_incmiddle,merchants_ss40,merchants_ss60,merchants_ss65,merchants_ss70,merchants_food_accommodation,merchants_retail
2020,1,10,-.0272,-.0266,-.0303,-.0263,-.0398,-.0198,-.0188,-.0251,-.0224,-.0243,-.00277,-.00338,-.00276,-.00244,-.002,.00154,-.00441,-.00305,-.00205,-.0026
2020,1,11,-.0159,-.0114,-.0242,-.0151,-.0221,-.00623,-.008,-.0197,-.0202,-.0214,-.00374,-.00326,-.00535,-.00315,-.00396,-.00116,-.00189,-.00388,-.00339,-.00438
2020,1,12,-.0103,-.00856,-.0185,-.00802,-.0113,-.00177,-.0091,-.0166,-.0179,-.0169,-.00382,-.00417,-.00484,-.00317,-.00356,-.00152,-.00388,-.00469,-.00444,-.00349
2020,1,13,-.0199,-.014,-.0323,-.0185,-.0153,-.017,-.0338,-.0191,-.017,-.0206,-.0069,-.00489,-.00941,-.00667,-.00578,-.0094,-.00734,-.00483,-.00455,-.00526
2020,1,14,-.0149,-.00803,-.0244,-.0149,-.0115,-.00912,-.0267,-.0128,-.0118,-.0165,-.00853,-.00536,-.0111,-.00885,-.0075,-.0103,-.00878,-.00559,-.00585,-.00709
2020,1,15,-.0114,-.0032,-.019,-.0129,-.00858,-.000586,-.0236,-.0085,-.00897,-.0145,-.0101,-.00629,-.0127,-.0107,-.00957,-.0106,-.0101,-.00679,-.00739,-.00913
2020,1,16,-.00916,-.00106,-.0167,-.0108,-.00956,.000973,-.0196,-.00537,-.00457,-.0168,-.011,-.0069,-.013,-.0121,-.0105,-.0108,-.0109,-.00764,-.00796,-.0105
2020,1,17,-.0059,.00167,-.00944,-.00899,-.00595,-.00776,-.0153,.00254,.003,-.0117,-.0086,-.00417,-.00925,-.0104,-.00804,-.00868,-.00864,-.00491,-.00505,-.00778
2020,1,18,-.00281,.00301,-.00385,-.00587,-.00356,-.00671,-.00879,.00453,.00425,-.0101,-.00508,-.000678,-.00415,-.00769,-.00437,-.0056,-.00661,-.00136,-.000964,-.00435
2020,1,19,.000117,.00532,-.000895,-.00247,-.00597,-.00607,-.0104,.0162,.0158,-.013,-.0039,-.000031,-.00266,-.00638,-.00334,-.00709,-.00474,.000165,.000613,-.00361
2020,1,20,.00338,.00725,.00335,.001,-.0013,.00501,-.00738,.0115,.011,-.00758,-.00123,.000726,.000575,-.00306,-.00104,-.00418,-.00529,.00262,.0031,-.00135
2020,1,21,.0061,.00998,.00402,.0047,-.00365,.0093,.00669,.0141,.0122,-.0112,-.00162,.00121,-.000433,-.00357,-.00186,-.00208,-.00336,.00209,.00265,-.00204
2020,1,22,-.00115,.00298,-.00385,-.00246,-.00563,-.00401,-.0061,.00633,.00782,-.0126,-.00339,-.000234,-.00249,-.00536,-.00277,-.00551,-.00367,.0007,.002,-.00263
