year,month,day_endofweek,merchants_all,revenue_all,merchants_professional,revenue_professional,merchants_health,revenue_health,merchants_food_accommodation,revenue_food_accommodation,merchants_other_services,revenue_other_services,merchants_retail,revenue_retail,revenue_inclow,merchants_inclow,revenue_incmiddle,merchants_incmiddle,revenue_inchigh,merchants_inchigh
2020,1,12,.00945,-.00522,.00408,-.0111,.00811,-.00508,.00998,-.0121,.00902,.00985,.0112,-.0119,-.00531,.0105,.00729,.0118,.00488,.0106
2020,1,19,-.00375,-.000436,-.00433,-.000985,-.00287,-.0167,-.0022,.0132,-.0038,.0000377,-.00553,-.0139,.0159,-.00226,-.0106,-.00332,-.000157,-.00172
2020,1,26,-.00329,.0139,.0000515,.0179,-.00288,.023,-.00435,.00205,-.00341,.00194,-.00323,.0196,.0268,-.00127,.0182,-.00265,.0113,-.00213
2020,2,2,-.00264,-.000586,.000253,.00267,-.00262,.00464,-.00369,-.000986,-.00234,-.00739,-.00305,.00948,.00237,-.000103,.000269,-.000814,-.000271,-.00271
2020,2,9,-.00426,.0012,-.00393,.0109,-.00329,.00727,-.00351,-.00631,-.00557,-.0102,-.00485,-.00721,.0000474,-.00257,.0081,-.00216,.00146,-.00289
2020,2,16,-.00489,-.00629,-.00506,.006,-.00357,-.011,-.00364,-.0242,-.00664,-.0079,-.0048,-.000171,.00353,-.0021,.00369,-.00326,-.0102,-.00313
2020,2,23,-.00397,-.00806,-.00657,-.00561,-.00538,.000535,-.00546,-.0127,-.00283,.00481,-.00362,-.016,-.0113,-.00197,-.00629,-.00191,.00231,-.00219
2020,3,1,-.0115,-.0437,-.0146,-.059,-.0139,-.055,-.00965,-.0422,-.0124,-.0453,-.00956,.000797,-.0278,-.00653,-.0199,-.00956,-.0575,-.0129
2020,3,8,-.0208,-.013,-.0154,-.0000468,-.0226,-.00818,-.0244,-.053,-.0223,-.0124,-.0181,.0078,-.0109,-.0139,-.00621,-.019,-.0149,-.0224
2020,3,15,-.0281,-.127,-.0253,-.0465,-.0252,-.0804,-.0291,-.256,-.0309,-.167,-.0258,-.0375,-.11,-.02,-.103,-.0249,-.15,-.0303
2020,3,22,-.0839,-.315,-.0567,-.145,-.0738,-.299,-.1,-.617,-.0946,-.391,-.0674,-.124,-.247,-.0601,-.301,-.0727,-.354,-.0987
2020,3,29,-.249,-.489,-.121,-.27,-.186,-.526,-.309,-.7,-.342,-.57,-.207,-.382,-.421,-.201,-.46,-.23,-.523,-.265
2020,4,5,-.28,-.475,-.116,-.259,-.2,-.53,-.34,-.687,-.405,-.583,-.24,-.359,-.407,-.236,-.453,-.264,-.496,-.29
2020,4,12,-.301,-.493,-.127,-.293,-.224,-.568,-.355,-.688,-.435,-.617,-.255,-.369,-.418,-.254,-.466,-.281,-.51,-.306
2020,4,19,-.286,-.408,-.089,-.106,-.213,-.503,-.346,-.632,-.425,-.569,-.239,-.283,-.307,-.233,-.355,-.265,-.454,-.292
2020,4,26,-.275,-.403,-.1,-.156,-.207,-.51,-.329,-.618,-.408,-.548,-.221,-.24,-.312,-.226,-.377,-.257,-.442,-.289
2020,5,3,-.246,-.365,-.0836,-.156,-.191,-.493,-.295,-.586,-.376,-.506,-.184,-.165,-.266,-.197,-.325,-.228,-.415,-.269
2020,5,10,-.213,-.285,-.0784,-.105,-.164,-.401,-.266,-.545,-.33,-.452,-.147,-.0591,-.212,-.163,-.236,-.196,-.347,-.24
2020,5,17,-.187,-.256,-.0666,-.0888,-.146,-.338,-.239,-.527,-.282,-.399,-.125,-.0274,-.155,-.139,-.207,-.168,-.333,-.222
2020,5,24,-.161,-.211,-.0569,-.0541,-.123,-.267,-.205,-.471,-.246,-.342,-.102,.0227,-.113,-.114,-.153,-.141,-.293,-.199
2020,5,31,-.128,-.12,-.0357,.0386,-.0935,-.102,-.173,-.417,-.201,-.264,-.0657,.173,.0268,-.0595,-.0474,-.0902,-.205,-.149
2020,6,7,-.107,-.131,-.0632,-.0794,-.0819,-.182,-.137,-.389,-.165,-.258,-.0384,.21,-.0238,-.0547,-.068,-.083,-.232,-.16
2020,6,14,-.0948,-.159,-.0541,-.101,-.0757,-.188,-.117,-.386,-.149,-.262,-.0268,.177,-.0461,-.042,-.0911,-.0732,-.248,-.145
2020,6,21,-.0789,-.0862,-.0468,-.0559,-.0635,-.111,-.103,-.322,-.122,-.203,-.0129,.315,.0186,-.0324,-.0253,-.058,-.173,-.127
2020,6,28,-.0711,-.13,-.0482,-.112,-.0612,-.134,-.0939,-.334,-.107,-.231,-.00463,.228,-.0205,-.0265,-.062,-.0525,-.215,-.115
2020,7,5,-.0488,-.0328,.000272,.0768,-.0351,.0579,-.086,-.339,-.0839,-.143,.0139,.296,.0933,.0175,.0251,-.0076,-.105,-.059
2020,7,12,-.0688,-.129,-.0601,-.158,-.0698,-.216,-.0914,-.358,-.0927,-.239,-.00148,.242,-.00502,-.0253,-.0896,-.0514,-.212,-.107
2020,7,19,-.0667,-.13,-.0569,-.14,-.0655,-.199,-.092,-.37,-.0924,-.238,.00101,.237,-.00116,-.0241,-.0873,-.0498,-.211,-.108
2020,7,26,-.0674,-.125,-.0656,-.16,-.0615,-.171,-.0909,-.361,-.0994,-.231,.004,.238,-.00377,-.0227,-.0809,-.0491,-.196,-.108
2020,8,2,-.0675,-.155,-.0725,-.171,-.0632,-.2,-.0868,-.358,-.0971,-.252,.00537,.173,-.0485,-.0226,-.0934,-.0484,-.23,-.106
2020,8,9,-.063,-.117,-.0755,-.165,-.0603,-.173,-.0809,-.334,-.0921,-.193,.0109,.181,-.0021,-.0122,-.0539,-.0447,-.187,-.103
2020,8,16,-.062,-.117,-.071,-.191,-.0606,-.188,-.0772,-.319,-.0916,-.196,.0129,.19,.000405,-.0161,-.0575,-.0439,-.189,-.102
2020,8,23,-.0596,-.103,-.0742,-.178,-.0595,-.163,-.0737,-.309,-.0884,-.187,.0155,.204,.0281,-.0131,-.0531,-.0407,-.176,-.0996
2020,8,30,-.058,-.14,-.0878,-.216,-.053,-.17,-.0691,-.308,-.0853,-.212,.0173,.165,.0359,-.0137,-.0699,-.0403,-.201,-.0965
2020,9,6,-.0425,.00331,-.0515,-.0501,-.0411,-.023,-.0637,-.24,-.0688,-.0825,.0294,.35,.194,.00656,-.136,-.0208,-.0575,-.0791
2020,9,13,-.0585,-.143,-.0988,-.301,-.0607,-.289,-.0627,-.283,-.0801,-.253,.0195,.238,-.0228,.00732,-.0689,-.0191,-.192,-.0698
2020,9,20,-.0423,-.0647,-.0666,-.155,-.0475,-.134,-.0498,-.284,-.0658,-.15,.0323,.307,.0475,.00478,-.00389,-.0272,-.119,-.0807
2020,9,27,-.0399,-.0749,-.0758,-.186,-.0458,-.148,-.0461,-.282,-.0617,-.155,.037,.295,.0523,.00616,-.0254,-.025,-.141,-.0787
