year,month,day,revenue_food_accommodation,revenue_retail,merchants_food_accommodation,merchants_retail
2020,1,10,-.022407623,-.024172653,-.0020768999,-.0025942069
2020,1,11,-.020193353,-.021326268,-.0034147615,-.004370545
2020,1,12,-.017976409,-.016848704,-.0044453572,-.0034893826
2020,1,13,-.017009394,-.020523906,-.0045499834,-.0052657216
2020,1,14,-.011741558,-.016561087,-.0058520804,-.0070946449
2020,1,15,-.0089378562,-.014599378,-.0073917224,-.0091300225
2020,1,16,-.004522468,-.016848322,-.0079556331,-.010522781
2020,1,17,.0030854847,-.011692844,-.0050433083,-.0077723316
2020,1,18,.004330839,-.010101717,-.00095388584,-.0043501942
2020,1,19,.015903078,-.013056071,.00062319997,-.0036126126
2020,1,20,.011090779,-.0075881528,.0031200084,-.001345868
2020,1,21,.012249747,-.011213499,.0026625355,-.0020430682
2020,1,22,.007845006,-.012680026,.0020166831,-.0026408092
2020,1,23,.0084024156,-.0061050537,.0022708753,-.00087634457
2020,1,24,.012049306,-.00033980765,.0018812767,.00036512717
2020,1,25,.024322812,.019724596,.0029729169,.0038519062
2020,1,26,.0025210842,.014549631,.0011395284,.00050042605
2020,1,27,-.0075561721,.0084482916,-.0048217913,-.0038009018
2020,1,28,-.0080279857,.0071588075,-.0046759043,-.0027163366
2020,1,29,-.0061395462,.0042565758,-.0041241013,-.0017596218
2020,1,30,.00056653982,.019429805,.0017426389,.0052051856
2020,1,31,.0049337838,.028621215,.0046818918,.0084579438
2020,2,1,-.0054333904,.02402702,.0036529971,.0097249867
2020,2,2,-.017309105,.014649933,.0029478702,.0096384324
2020,2,3,.00088525331,.018504906,.004724652,.012006561
2020,2,4,.0012087197,.019270036,.004210684,.011018066
2020,2,5,-.0053093927,.012518845,.0025544893,.006688037
2020,2,6,-.015543307,-.0062318076,-.00450947,-.0049547972
2020,2,7,-.0047474615,-.0030848889,-.0081096301,-.0091718482
2020,2,8,.034411825,.012823714,-.0086122965,-.010297158
2020,2,9,.12249797,.051834632,-.0070590018,-.009087991
2020,2,10,.13400492,.13542521,-.008868278,-.013211051
2020,2,11,.13555244,.13713577,-.0094686821,-.013687634
2020,2,12,.14225399,.15411378,-.0091849286,-.0094602937
2020,2,13,.13387585,.13772243,-.021005627,-.019955674
2020,2,14,.10247387,.12864909,-.02213634,-.0213487
2020,2,15,.075803332,.11706999,-.021667048,-.020826396
2020,2,16,.012472523,.071051829,-.02239028,-.02117683
2020,2,17,-.032050099,-.0044306801,-.022485532,-.018844808
2020,2,18,-.010249835,.05180829,-.024579471,-.022585524
2020,2,19,-.011188981,.042818695,-.023796534,-.023151411
2020,2,20,.00091267785,.067052983,-.0097586205,-.0054448475
2020,2,21,.0076777665,.060213022,-.0090214964,-.004273932
2020,2,22,-.00038592305,.050869968,-.0094641941,-.0058296719
