year,month,day_endofweek,statefips,merchants_all,revenue_all,merchants_professional,revenue_professional,merchants_health,revenue_health,merchants_food_accommodation,revenue_food_accommodation,merchants_other_services,revenue_other_services,merchants_retail,revenue_retail
2020,1,12,1,.00956,-.00825,.000129,-.00111,.00175,-.0148,.017,-.0219,.0132,-.00618,.00845,-.0247
2020,1,12,2,.0121,.00435,.,.,.0216,.0698,.017,.0149,-.00193,-.03,.0244,.11
2020,1,12,4,-.00181,-.0045,-.0248,-.0754,-.0045,-.0109,.,.,.00302,.031,.00761,-.000742
2020,1,12,5,.0148,-.0412,.0105,-.106,.0153,-.0123,.0194,-.0457,.0195,.0186,-.00256,.0276
2020,1,12,6,.00668,-.00915,.0138,.00694,.,.,.00615,-.0205,.00285,-.00387,.0119,-.0135
2020,1,12,8,.00376,.0214,.00417,.0405,.00343,.019,.00127,.0128,.00194,.0193,.00264,-.0136
2020,1,12,9,.00454,-.00354,.0309,-.0154,-.00299,-.0384,.0122,-.00552,.0108,.0102,.,.
2020,1,12,10,.0147,.0126,.,.,-.00182,.0867,.0106,.0254,.00651,.0933,.0265,.0159
2020,1,12,11,-.0102,.0411,.,.,.021,.0271,.,.,-.0142,.122,.0144,-.141
2020,1,12,12,.0117,-.0177,.000818,-.0362,.00344,.00942,.0143,-.0162,.0108,-.0244,.0144,-.035
2020,1,12,13,.0167,-.0241,.0205,-.0579,.012,-.00354,.00435,-.045,.0187,-.00312,.0223,-.0361
2020,1,12,15,.00794,-.0253,.,.,.,.,.0159,.00513,.00338,-.0439,.00885,-.066
2020,1,12,16,.0143,.00691,.00762,-.113,.0179,.0649,.027,-.0102,.0157,.0458,.0148,.011
2020,1,12,17,.00558,-.0491,.00265,-.0286,.002,-.0838,.00931,-.0606,.0122,-.0236,.00618,-.0614
2020,1,12,18,.00358,-.0115,-.0000878,-.0505,-.0122,-.0401,.00386,.00124,.00595,.027,.0111,.0121
2020,1,12,19,-.00109,-.0204,-.0555,-.0202,.0208,-.0696,.,.,.00794,-.0588,-.00436,.00511
2020,1,12,20,.00159,.00427,-.00536,-.0787,.0102,-.0378,.00959,-.035,.0104,.0738,-.00668,.00271
2020,1,12,21,.0118,-.041,-.033,-.211,-.00209,-.064,.0224,-.00516,.0195,.0432,.022,-.00706
2020,1,12,22,.00746,-.00126,-.0268,-.0327,.00569,.0168,.00175,-.0243,.0181,.00356,.0115,.0231
2020,1,12,23,.00348,.0093,.,.,.,.,.00049,-.0257,.0047,.0781,.00654,-.0157
2020,1,12,24,.0128,.023,.0154,.0152,.014,-.035,.0154,.052,.00772,.0242,.0127,.0162
2020,1,12,25,.00692,-.00522,-.0553,-.0569,.0108,.0297,.0172,.0043,.00528,.014,.0159,-.0251
2020,1,12,26,.00171,-.0223,.00626,.0419,-.00103,-.0729,.,.,-.000585,-.0106,-.00307,-.0184
2020,1,12,27,-.00299,-.0189,-.0231,-.0577,.00271,.0339,.,.,.000154,-.00766,-.0121,-.0411
2020,1,12,28,.0073,-.0599,-.0238,-.0376,.,.,.,.,.0133,-.0519,.00785,-.0746
2020,1,12,29,.00672,.0829,.00615,.0471,.00639,.037,.00149,.0856,.00669,.0789,.0103,.109
2020,1,12,30,.00556,.0373,.,.,-.0117,.0528,.0196,-.0611,.00709,.012,-.016,.0325
2020,1,12,31,.00765,-.00131,.0539,.074,.00762,.0664,.00584,-.0267,-.00942,-.0233,.0106,.0687
2020,1,12,32,.009,-.0332,.0187,-.0446,.00863,.0312,-.00928,-.123,.0137,-.0198,.0269,.0212
2020,1,12,33,.00373,.00525,-.00211,.0995,.,.,.00624,-.0637,-.00314,.0893,.000976,-.0258
2020,1,12,34,.00532,-.0143,-.0121,-.15,.00193,-.00595,.0136,.0169,-.000189,.00234,.,.
2020,1,12,35,.00942,.0139,-.0168,-.0173,.0182,.0813,.,.,.00221,-.0198,.0154,.0075
2020,1,12,36,.0132,-.00256,.0151,.0336,.00957,-.0387,.017,.015,.0106,-.0099,.013,.00366
2020,1,12,37,.00829,.0186,.0128,-.000166,.00385,.0142,.00655,.0385,.00719,.0434,.00759,-.00841
2020,1,12,38,.00175,-.0697,.,.,-.0394,-.091,-.00246,-.00665,.0145,-.0831,.,.
2020,1,12,39,.00129,-.00911,-.0192,.02,-.00416,-.0337,.00702,.00192,.00455,.00177,-.000275,-.0258
2020,1,12,40,.00926,-.0134,.0398,-.0393,-.00205,.0157,.0142,-.0347,.0128,-.00991,.,.
2020,1,12,41,.0107,.0152,.0162,.0119,.0148,.052,.0078,.0506,.00378,-.00143,.00668,.0107
2020,1,12,42,.00081,-.0117,-.0155,.0219,-.00529,-.0207,.00496,-.0217,.00985,.0122,.00209,-.0298
2020,1,12,44,-.00114,.0093,-.0175,-.0575,-.0278,-.036,-.0136,-.0179,.0127,.0425,.0393,.0717
2020,1,12,45,.00991,-.00759,.0117,-.0136,.00161,.0163,.,.,.00966,.00108,.0139,-.0323
2020,1,12,46,.00782,-.0895,.,.,.,.,.,.,.0228,-.26,.,.
2020,1,12,47,.00832,-.00188,-.0118,.0143,.015,-.0439,.,.,-.000673,.0149,.022,.0251
2020,1,12,48,.0182,-.00593,.00816,.000684,.0171,-.00797,.0161,-.0193,.0223,-.00249,.0184,-.00572
2020,1,12,49,.0119,.0146,.0335,.0478,.00772,-.00698,.0049,-.00435,.0196,-.0135,.,.
2020,1,12,50,-.0205,-.117,.,.,.,.,-.004,-.109,-.0274,-.0434,.,.
2020,1,12,51,.00267,.0439,-.0171,.00985,.00352,-.0163,.014,.0484,-.000173,.166,.00755,-.00442
2020,1,12,53,.0518,.0229,.0525,.0131,.114,.0611,.021,-.0383,.0344,.0185,.0509,.0271
2020,1,12,54,.00443,-.000318,.,.,.,.,.00813,.0636,-.00719,-.000339,.00683,-.044
2020,1,12,55,.00425,-.04,.0098,-.0356,.0304,-.0284,.00885,-.092,.00153,-.0112,.00156,-.0529
2020,1,12,56,.0189,-.0335,.,.,.,.,.00157,-.0858,.021,-.0502,.0252,.000468
2020,1,19,1,-.00224,.0156,-.00382,-.0304,-.00427,-.0138,-.0114,.0412,-.00725,-.0124,-.00649,.0357
2020,1,19,2,-.0114,.043,.,.,-.00758,.0456,-.00571,.0148,-.0465,.0865,.000084,-.136
2020,1,19,4,-.00221,.0252,.00686,.0332,.00483,.00162,.,.,-.00173,-.00303,-.0156,.0279
2020,1,19,5,-.0047,.115,.026,.19,-.00796,.0265,.00775,.0815,-.0172,.0458,-.0028,-.0134
2020,1,19,6,.000326,.0259,.0072,.0301,.,.,-.000196,.0202,.00487,.0283,-.00347,.0297
2020,1,19,8,-.00257,-.018,.00847,-.0134,.00459,-.0314,-.00286,.017,-.00357,-.0341,-.0105,-.0106
2020,1,19,9,.0006,-.00357,-.0132,.0322,.0000992,-.035,.00445,.0166,.00441,-.00306,.,.
