year,month,day,statefips,revenue_food_accommodation,revenue_retail,merchants_food_accommodation,merchants_retail
2020,1,10,1,.024030142,.0021536055,.0080105588,.0054989252
2020,1,10,2,.017829487,.032076832,.0089669479,.012807751
2020,1,10,4,.000078253266,-.021673886,.0016635419,.010057942
2020,1,10,5,-.052359208,-.023778221,-.019137984,.0022307229
2020,1,10,6,-.0043707509,-.0026489315,.00015102641,.0035130177
2020,1,10,8,-.019325256,-.037003834,-.0042192577,-.0023967887
2020,1,10,9,-.028571676,.041221056,-.003967443,.0019694983
2020,1,10,10,-.049611975,-.04082799,.005254549,-.00057150167
2020,1,10,11,-.098218381,-.082028612,-.05181209,-.016519448
2020,1,10,12,-.021061519,-.064076252,.003879521,.0040659769
2020,1,10,13,-.023666518,-.034231059,.0034122942,.010528596
2020,1,10,15,.012234056,-.16841871,.010333882,-.0075310348
2020,1,10,16,.02419878,.029740974,.012789233,.016752269
2020,1,10,17,-.040038645,-.077459171,-.013240152,-.029315697
2020,1,10,18,-.060229961,-.066685513,-.017944558,-.020529153
2020,1,10,19,-.082895502,-.00016152463,-.017613588,-.0067848186
2020,1,10,20,-.014518497,.019738194,-.0019918233,-.0030135158
2020,1,10,21,-.043557271,-.03611286,.005447512,.0019141694
2020,1,10,22,-.044423353,-.00046489981,-.0037251269,.0074472418
2020,1,10,23,-.11769708,-.021101512,-.0106126,-.0027278182
2020,1,10,24,-.056066301,-.06754788,-.016193436,-.020881964
2020,1,10,25,-.048556525,-.060266949,.0050192531,-.013689545
2020,1,10,26,-.0093318606,.020034766,-.0037416401,-.0075215069
2020,1,10,27,-.013004752,-.061582245,-.013073503,-.024429211
2020,1,10,28,-.01611466,-.056401387,-.0011917718,.00458219
2020,1,10,29,-.029465454,-.029487509,-.0091968924,-.0092549436
2020,1,10,30,-.072688527,-.031585354,-.0082115596,-.0037667127
2020,1,10,31,-.048652619,.016069863,-.010721504,-.013288883
2020,1,10,32,-.14521481,.048814442,-.0082764374,.010035539
2020,1,10,33,-.11710653,-.080844276,-.015272309,-.02286585
2020,1,10,34,-.029710487,-.055015597,.0031641733,-.0053666192
2020,1,10,35,-.01597224,.011984369,.0033565292,-.0021220522
2020,1,10,36,.0004840742,-.0035600322,-.0014642897,-.0037940962
2020,1,10,37,.0012894573,-.033424754,.00090630871,-.00092968915
2020,1,10,38,.053441606,-.077803239,.0018738657,-.024973076
2020,1,10,39,-.049345687,-.061856676,-.010421621,-.031756703
2020,1,10,40,-.0001608641,-.0070322459,.014910879,-.0047234143
2020,1,10,41,.0088656507,.010792909,.0099473586,.0046102591
2020,1,10,42,-.048861861,-.030032311,-.0091696829,-.018713634
2020,1,10,44,-.037577908,.050886977,-.026050722,.013967036
2020,1,10,45,-.004622275,-.046971679,.0045643691,.0064189993
2020,1,10,46,-.015144825,-.06391748,-.002007972,.011814577
2020,1,10,47,-.02520306,.035043005,.0044225194,.01418217
2020,1,10,48,-.021124357,-.014946298,-.0012888764,.0061193793
2020,1,10,49,.0094328681,.0006683268,.0074993367,.030742181
2020,1,10,50,-.043619107,-.088131666,-.018939149,-.036233049
2020,1,10,51,-.025411721,-.036668789,-.0031597,-.024423046
2020,1,10,53,.01620084,.066832714,.026319139,.034189515
2020,1,10,54,-.038040239,-.038636178,.013012507,-.020438496
2020,1,10,55,-.057287198,-.01936659,-.015266959,-.024189943
2020,1,10,56,-.086329244,.0113708,-.033418875,-.0061303596
2020,1,11,1,-.025018813,-.044975385,.00068788161,-.0084980056
2020,1,11,2,.03912539,.096645333,.0091238292,.013002687
2020,1,11,4,.0044148932,.0024399569,-.00097888592,.0076365927
2020,1,11,5,-.072787307,-.010783437,-.021877812,-.0016293064
2020,1,11,6,.003782999,.0056531625,.00031464372,.0031860766
2020,1,11,8,.008967896,-.030638115,-.0048110834,.0028024879
2020,1,11,9,-.0079386793,.083473407,-.00042860332,.0028387685
2020,1,11,10,-.025600761,-.0061859372,-.0017159663,.0049144207
2020,1,11,11,-.060331136,-.092393555,-.047265068,-.014942635
2020,1,11,12,-.019636661,-.029835418,.0017990641,.0052407952
2020,1,11,13,-.047660861,-.050001606,.0020323393,.0019953141
2020,1,11,15,.022788748,-.1140156,.0094243241,-.0081554325
2020,1,11,16,.0026270803,.0056301183,.010917371,.015528348
2020,1,11,17,-.056006655,-.090187721,-.013084166,-.032348618
2020,1,11,18,-.054584865,-.068816073,-.019434934,-.024092859
2020,1,11,19,-.11073116,-.023784928,-.026493937,-.018683039
