zcta,revenue_all_apr2020,revenue_all_jul2020
1001,-.666,-.164
1002,-.604,-.761
1003,-.672,-.128
1007,-.296,-.44
1013,-.123,.154
1020,-.582,-.382
1027,-.0843,-.824
1028,-.676,-.614
1030,-.442,.107
1035,-.693,-.911
1040,-.65,.102
1056,-.024,-.11
1060,-.611,-.609
1077,-.626,-.177
1085,-.627,-.215
1089,-.515,.0388
1095,.386,.508
1103,-.316,-.235
1104,-.228,.
1105,-.252,-.252
1106,.386,1.47
1107,-.582,1.47
1109,-.423,.0847
1201,.00903,.434
1230,.00425,.13
1238,-.146,.361
1240,-.388,-.0912
1247,-.307,.12
1257,.386,.513
1262,-.903,-.579
1267,-.046,.501
1301,-.829,.193
1331,-.526,-.13
1373,-.0745,.865
1420,-.598,-.141
1432,-.574,-.481
1436,-.516,-.0235
1440,-.45,-.13
1450,-.257,.285
1453,-.577,-.124
1460,-.809,-.704
1462,-.456,.314
1469,-.73,-.526
1475,.0309,.221
1501,-.695,.101
1503,-.666,.117
1504,-.0945,.523
1520,-.651,-.0182
1532,.11,-.278
1540,.144,1.1
1545,-.559,-.595
1550,-.507,-.323
1562,-.733,-.171
1568,-.192,.213
1569,-.691,.235
1570,-.51,-.127
1581,-.487,-.183
1583,-.635,-.459
1590,-.188,.196
1602,.,-.573
1603,-.651,.123
1604,-.593,.413
1605,-.547,1.07
1606,.,-.19
1608,-.395,-.331
1609,-.555,-.522
1701,-.16,-.444
1702,-.53,-.379
1720,-.603,-.22
1721,-.691,-.127
1730,-.0447,-.188
1742,-.521,-.336
1746,-.586,-.0115
1747,-.183,.478
1748,-.532,-.207
1749,-.409,-.126
1752,-.665,-.575
1754,-.621,-.185
1757,-.68,-.346
1760,-.739,-.396
1772,-.741,-.212
1775,-.712,-.0706
1776,-.682,-.412
1778,-.525,.514
1801,-.536,-.484
1803,-.661,.0574
1810,-.326,.14
1821,-.814,-.593
1824,-.465,-.511
1826,-.297,-.0128
1830,-.74,-.25
1832,-.378,-.155
1835,-.687,-.16
1840,-.615,-.31
1841,-.351,-.317
1843,-.621,-.315
1844,-.622,-.31
1845,-.198,-.102
1850,.191,-.168
1851,-.458,-.449
1852,-.641,-.452
1854,-.145,.349
1862,.134,.505
1864,-.677,-.638
1867,-.689,-.541
1876,-.696,-.234
1880,-.397,-.599
1887,-.653,-.456
1890,-.627,-.439
1901,-.241,.262
1902,-.559,.0828
1905,-.675,-.353
1906,-.73,.255
1915,-.555,-.424
1923,-.675,-.199
1930,-.475,-.116
1938,-.11,.763
1940,-.979,-.551
1945,-.241,-.125
1949,-.785,-.531
1950,-.715,-.115
1952,-.638,-.329
1960,-.409,.252
1970,-.518,.0788
2019,-.455,-.39
2021,-.653,-.386
2025,-.418,.826
2026,-.705,-.447
2035,-.608,-.382
2038,-.481,.151
2043,-.183,.65
2048,-.58,-.132
2050,-.742,-.247
2052,-.653,.437
2053,-.531,-.545
2054,-.498,.0177
2056,-.201,.715
2061,-.651,-.623
2062,-.749,-.459
2066,-.678,.134
2067,-.244,.297
2072,-.36,-.225
2081,-.53,-.257
2090,-.177,.143
2093,-.419,.936
2108,-.849,-.521
2109,-.62,-.572
2110,-.509,-.344
2111,-.804,-.78
2113,-.869,-.328
2115,-.562,-.304
2116,-.816,-.566
2118,-.735,-.355
2119,-.633,-.722
2121,-.772,-.215
2122,-.646,-.663
2124,-.478,-.0834
2125,-.632,-.382
2126,-.649,-.863
2127,-.573,-.586
2128,-.677,-.412
2129,-.715,-.421
2130,-.675,-.587
2131,-.812,-.7
2132,-.579,-.226
2134,-.777,-.668
2135,-.243,-.086
2136,-.429,-.154
2138,-.581,-.201
2139,-.755,-.533
2140,-.617,-.644
2142,.0988,.633
2143,-.575,-.679
2144,-.621,-.53
2145,-.568,-.219
