year,month,day,cityid,merchants_all,merchants_ss40,merchants_ss60,merchants_ss65,merchants_ss70
2020,1,10,1,-.00553,-.0025,-.0114,-.0132,.000103
2020,1,10,2,.00442,.00871,-.0256,-.0157,.00808
2020,1,10,3,-.0235,-.0208,-.058,-.0452,-.0147
2020,1,10,4,.00682,.0154,.0159,.00344,.00407
2020,1,10,5,.00914,.0261,-.00216,.0112,.00596
2020,1,10,6,.00138,.0108,.00425,.00965,-.0081
2020,1,10,7,.00348,-.00872,.0113,.0141,.0115
2020,1,10,8,.000321,.00487,-.0192,-.0129,-.0059
2020,1,10,9,.0238,.0143,.0487,.031,.0171
2020,1,10,10,.0105,.0134,.0447,.00368,.00628
2020,1,10,11,.00775,-.00319,-.000796,.0264,.0145
2020,1,10,12,-.00218,.0205,-.0576,.0103,.0118
2020,1,10,13,.00771,.00647,-.0922,-.00881,-.00131
2020,1,10,14,-.00411,-.00578,.0443,.00353,.000852
2020,1,10,15,-.023,-.0227,-.0317,-.0374,-.000578
2020,1,10,16,-.00335,-.0178,.0358,-.0054,.00322
2020,1,10,17,.00124,8.88e-06,.00458,.036,-.00103
2020,1,10,18,-.03,-.0146,.000521,-.0858,-.0262
2020,1,10,19,.00543,.016,-.0162,.00521,-.0164
2020,1,10,20,.0144,.00486,.0114,.0217,.00253
2020,1,10,21,.017,.0122,.0403,.0236,.00627
2020,1,10,22,-.0169,-.0225,-.0243,.00518,-.00344
2020,1,10,23,-.00722,-.00703,.0271,.00874,-.0162
2020,1,10,24,.0182,.0153,.0375,.0202,.0394
2020,1,10,25,-.00275,.00391,-.0939,.0121,.0159
2020,1,10,26,.0172,.00308,.0348,.0228,.0297
2020,1,10,27,.0255,.0222,.0339,.019,.0231
2020,1,10,28,-.00524,-.00959,-.0157,.0244,-.00612
2020,1,10,29,-.0321,-.00825,-.144,-.0487,-.0502
2020,1,10,30,.0162,.0291,.0496,.00239,.0329
2020,1,10,31,-.0335,-.0145,-.0315,-.0629,-.0266
2020,1,10,32,.00603,-.0156,.0651,.00884,.000314
2020,1,10,33,-.0185,-.0157,-.0227,.034,-.0337
2020,1,10,34,.0082,-.00258,.0368,.0127,.0118
2020,1,10,35,.0123,.0131,.00996,.0245,-.00908
2020,1,10,36,.0109,.0183,.0258,.00222,-.00935
2020,1,10,37,.0108,.0107,-.00486,-.0706,.00232
2020,1,10,38,.00327,.00438,.0187,.0104,-.00631
2020,1,10,39,.00861,-.00698,-.0165,.0106,.00903
2020,1,10,40,-.00582,-.00757,-.00749,.00764,-.0309
2020,1,10,41,-.00916,.0109,.000216,.0116,-.0158
2020,1,10,42,-.0137,-.0231,-.0227,-.00128,-.0247
2020,1,10,43,.0105,.0315,-.0122,-.0131,-.0101
2020,1,10,44,-.0292,-.0144,-.127,.0206,-.0357
2020,1,10,45,.00275,-.0166,.0347,.0252,.0191
2020,1,10,46,-.022,-.0338,.0106,-.0206,-.0178
2020,1,10,47,.00582,.00983,.1,-.00117,.00505
2020,1,10,48,-.00233,-.0094,-.0189,-.0217,.0392
2020,1,10,49,.0165,.0528,.012,.00261,.00357
2020,1,10,50,.0139,.0247,.0305,.0153,-.0116
2020,1,10,51,.00542,.0196,-.0403,.0445,.0076
2020,1,10,52,-.0169,-.033,-.0207,.00427,-.0144
2020,1,10,53,.000454,-.0119,-.00686,-.00704,.0472
2020,1,11,1,-.00546,-.00629,.00409,-.00917,.00016
2020,1,11,2,.00643,.0115,-.017,-.0138,.0106
2020,1,11,3,-.0273,-.0224,-.0579,-.0459,-.0138
2020,1,11,4,.00263,.0108,.00211,.0024,.00141
2020,1,11,5,.0115,.0245,-.00217,.0135,.00513
