year,month,day,countyfips,merchants_all
2020,1,10,1003,.0242
2020,1,10,1015,-.0194
2020,1,10,1043,-.0334
2020,1,10,1069,-.0137
2020,1,10,1073,-.0115
2020,1,10,1089,.00362
2020,1,10,1095,-.00707
2020,1,10,1097,.0202
2020,1,10,1101,.0156
2020,1,10,1103,.0106
2020,1,10,1125,-.00562
2020,1,10,2020,-.0035
2020,1,10,2170,-.0258
2020,1,10,4013,.00907
2020,1,10,4019,-.0186
2020,1,10,4025,-.00756
2020,1,10,5007,-.0215
2020,1,10,5045,-.00701
2020,1,10,5069,.0268
2020,1,10,5119,.0119
2020,1,10,5143,-.00459
2020,1,10,6001,-.00961
2020,1,10,6007,-.00401
2020,1,10,6013,.00332
2020,1,10,6017,-.00305
2020,1,10,6019,.00847
2020,1,10,6025,-.00116
2020,1,10,6029,.00636
2020,1,10,6037,-.00558
2020,1,10,6045,.0198
2020,1,10,6053,.0125
2020,1,10,6059,-.00292
2020,1,10,6061,.0266
2020,1,10,6065,-.00176
2020,1,10,6067,.0121
2020,1,10,6071,-.0134
2020,1,10,6073,.00108
2020,1,10,6075,.0169
2020,1,10,6077,.032
2020,1,10,6079,.0123
2020,1,10,6081,-.0149
2020,1,10,6083,.00724
2020,1,10,6085,-.00199
2020,1,10,6087,-.000609
2020,1,10,6089,.00161
2020,1,10,6095,-.00965
2020,1,10,6097,.0305
2020,1,10,6099,.017
2020,1,10,6107,.0011
2020,1,10,6111,.0102
2020,1,10,8001,-.00249
2020,1,10,8005,-.00152
2020,1,10,8013,-.0149
2020,1,10,8031,-.00483
2020,1,10,8035,-.0135
2020,1,10,8041,-.0164
2020,1,10,8059,-.00351
2020,1,10,8069,.0221
2020,1,10,8101,-.00257
2020,1,10,8123,-.0411
2020,1,10,9001,-.0018
2020,1,10,9003,.000363
2020,1,10,9009,-.0056
2020,1,10,9011,.00272
2020,1,10,10003,-.00337
2020,1,10,10005,-.0208
2020,1,10,11001,-.0328
2020,1,10,12001,.0264
2020,1,10,12009,-.000836
2020,1,10,12011,.0211
2020,1,10,12017,-.0276
