year,month,day,merchants_all,merchants_ss40,merchants_ss60,merchants_ss65,merchants_ss70
2020,1,10,-.0024999999,-.0024900001,.0026499999,-.00162,-.0027699999
2020,1,11,-.00348,-.00447,.00021699999,-.000049400001,-.00351
2020,1,12,-.00327,-.00364,-.000111,-.0020099999,-.0038699999
2020,1,13,-.0058800001,-.0055300002,-.0075300001,-.0062199999,-.00367
2020,1,14,-.00715,-.0071700001,-.0090600001,-.0066999998,-.0042500002
2020,1,15,-.0082999999,-.00875,-.0106,-.0074,-.0052899998
2020,1,16,-.0093799997,-.0097899996,-.0113,-.0082400003,-.0062299999
2020,1,17,-.0080700004,-.0083400002,-.0099999998,-.0076899999,-.0043199998
2020,1,18,-.0055499999,-.00544,-.0071,-.0067599998,-.00178
2020,1,19,-.0048000002,-.0044300002,-.00856,-.00648,-.00071400002
2020,1,20,-.00217,-.00187,-.0051299999,-.0064699999,.0018
2020,1,21,-.00196,-.0029800001,-.00358,-.00098600006,.0011
2020,1,22,-.00388,-.0039599999,-.0067599998,-.0041,-.000184
2020,1,23,-.0024699999,-.0021800001,-.00287,-.0027099999,.00071400002
2020,1,24,-.00092600001,.0000106,-.00107,-.0024600001,.00073600002
2020,1,25,.00141,.00303,.000218,-.0011399999,.00226
2020,1,26,-.00135,-.000356,-.00483,-.00119,.000375
2020,1,27,-.0054299999,-.0043899999,.00045399999,-.0037100001,-.00563
2020,1,28,-.0054500001,-.0030199999,-.0025299999,-.0068799998,-.00496
2020,1,29,-.0037100001,-.0019,-.00303,-.00157,-.00385
2020,1,30,.0056500002,.0062000002,.00285,.00685,.00257
2020,1,31,.0096000005,.0088900002,.0027699999,.0109,.00544
2020,2,1,.0093599996,.0101,.00131,.0104,.0042599998
2020,2,2,.0082099997,.0098099997,-.0043199998,.0095199998,.0034700001
2020,2,3,.0128,.0122,.00361,.0146,.0054899999
2020,2,4,.0121,.0113,.0039499998,.0144,.0048699998
2020,2,5,.0075699999,.0063700001,.000325,.0092099998,.0022700001
2020,2,6,-.00483,-.0060800002,-.0095699998,-.000184,-.0062899999
2020,2,7,-.0098299999,-.0102,-.0117,-.00358,-.0102
2020,2,8,-.0102,-.0115,-.0132,-.0042099999,-.0105
2020,2,9,-.0082799997,-.0106,-.0134,-.0026700001,-.0087700002
2020,2,10,-.0129,-.014,-.016100001,-.0069300001,-.0103
2020,2,11,-.0133,-.0142,-.0189,-.0069800001,-.0108
2020,2,12,-.0082599996,-.0087400004,-.0143,-.00095800002,-.0091300001
2020,2,13,-.017899999,-.0174,-.025,-.0098000001,-.0173
2020,2,14,-.0188,-.0186,-.023700001,-.0105,-.017899999
2020,2,15,-.018100001,-.0177,-.0239,-.0088099996,-.0176
2020,2,16,-.019200001,-.0178,-.0254,-.0109,-.0187
2020,2,17,-.0188,-.0163,-.025599999,-.0124,-.019099999
2020,2,18,-.0207,-.0195,-.0251,-.0099999998,-.0209
2020,2,19,-.021500001,-.0207,-.025599999,-.0128,-.0209
2020,2,20,-.0046899999,-.0045099999,-.00758,.0026,-.00966
2020,2,21,-.00446,-.0034700001,-.0105,.00144,-.0094499998
2020,2,22,-.0058300002,-.00496,-.0134,-.00049399998,-.0098200003
2020,2,23,-.0054700002,-.0055900002,-.0144,.00079999998,-.0091000004
2020,2,24,-.0052100001,-.0058900001,-.0151,-.0013,-.0081700003
2020,2,25,-.0105,-.00789,-.021600001,-.0123,-.0126
2020,2,26,-.015900001,-.0146,-.024700001,-.0151,-.019099999
2020,2,27,-.0251,-.023800001,-.035,-.0261,-.0253
2020,2,28,-.028999999,-.0288,-.041999999,-.029100001,-.0295
2020,2,29,-.0284,-.029200001,-.0381,-.027100001,-.032499999
2020,3,1,-.031199999,-.0319,-.0385,-.0275,-.0361
2020,3,2,-.032000002,-.034299999,-.034899998,-.0263,-.039299998
2020,3,3,-.028100001,-.033100002,-.030300001,-.022600001,-.038199998
