year,month,day,statefips,merchants_all,merchants_inchigh,merchants_inclow,merchants_incmiddle,merchants_ss40,merchants_ss60,merchants_ss65,merchants_ss70
2020,1,10,1,.00355,.0105,.00661,-.00162,.00811,.0202,-.0123,.00474
2020,1,10,2,.00608,-.00277,.0703,.0107,.0346,-.0473,-.0383,.0131
2020,1,10,4,.00458,.0134,.00217,.00293,.0168,.00218,.00772,.00159
2020,1,10,5,-.00225,-.00421,-.00496,.00295,.00151,-.0199,.0223,-.0186
2020,1,10,6,.000297,-.000681,-.00883,.00415,.00331,.0044,-.00227,.000507
2020,1,10,8,-.00679,-.00646,-.00838,-.00628,-.00493,-.0127,.00586,-.00727
2020,1,10,9,-.00152,-.00132,-.00481,-.0000129,-.000767,.0434,-.00891,-.00229
2020,1,10,10,-.0059,-.00944,.0413,-.00957,-.00369,-.0401,-.00841,.00978
2020,1,10,11,-.034,-.0297,.00687,-.0686,-.011,-.146,-.0487,-.0502
2020,1,10,12,.00663,.00541,.00307,.00899,.00544,.0109,.00287,.00228
2020,1,10,13,.00659,.00955,.00942,.00349,.0104,.0098,-.00338,.00155
2020,1,10,15,.00125,.00192,.000384,.000608,-.00107,-.0069,.000958,.0149
2020,1,10,16,.0105,-.0456,-.00177,.016,.0137,-.0107,.00342,.024
2020,1,10,17,-.0256,-.0261,-.0306,-.0228,-.0296,-.0459,-.0418,-.0147
2020,1,10,18,-.0278,-.0308,-.0254,-.0284,-.0245,-.0346,-.0195,-.0256
2020,1,10,19,-.0119,-.0169,-.025,-.0078,-.00108,-.0288,-.0238,-.015
2020,1,10,20,-.00145,-.00459,-.00317,.000196,-.0073,.00828,.0113,-.00881
2020,1,10,21,-.00102,.00173,-.00926,.00824,.00282,-.000967,-.0108,.00154
2020,1,10,22,.00256,-.0102,.0103,-.00221,.00451,-.0121,.018,-.00394
2020,1,10,23,.00573,-.0048,.00432,.00786,.00186,.00817,.0152,-.00312
2020,1,10,24,-.0136,-.0156,.000476,-.0133,-.02,.0211,-.00768,-.0186
2020,1,10,25,-.00533,-.0102,.0279,-.00598,-.0125,-.0317,.00341,.00462
2020,1,10,26,-.0097,.000329,-.0135,-.0104,-.00724,-.0245,-.0301,-.0035
2020,1,10,27,-.0145,-.00826,-.0171,-.0172,-.0219,-.00451,-.0134,-.00853
2020,1,10,28,.00496,.043,.00393,.00497,.00292,.0175,-.0183,-.00272
