year,month,day,cityid,revenue_all,revenue_ss40,revenue_ss65,revenue_ss70
2020,1,10,1,-0.0298,-0.0277,-0.125,0.00232
2020,1,10,2,0.0169,0.00586,-0.0294,0.00548
2020,1,10,3,-0.0586,-0.0739,-0.00909,-0.053
2020,1,10,4,-0.0615,-0.0366,-0.0207,-0.00088
2020,1,10,5,-0.015,0.00792,-0.132,-0.000405
2020,1,10,6,-0.0191,-0.0728,-0.04,0.0601
2020,1,10,7,-0.0173,-0.074,0.00202,-0.0141
2020,1,10,8,0.0147,-0.0158,0.0483,0.0894
2020,1,10,9,-0.0069,-0.0586,0.0326,-0.0224
2020,1,10,10,-0.0412,-0.0397,-0.0824,-0.0818
2020,1,10,11,-0.0245,-0.0182,-0.00788,-0.0284
2020,1,10,12,-0.0713,-0.157,-0.187,-0.0288
2020,1,10,13,-0.0231,-0.0566,-0.0465,0.0229
2020,1,10,14,-0.179,0.0284,-0.537,0.0441
2020,1,10,16,-0.000874,-0.0315,0.0139,-0.0538
2020,1,10,17,0.0384,0.00378,-0.0413,0.0435
2020,1,10,18,-0.0939,-0.0164,-0.138,-0.0563
2020,1,10,19,-0.0256,-0.0413,-0.0884,0.0189
2020,1,10,20,0.0145,0.018,-0.0484,-0.0416
2020,1,10,21,0.116,0.0483,0.351,-0.146
2020,1,10,22,0.014,-0.0624,0.184,-0.0139
2020,1,10,23,-0.0926,-0.00901,-0.0686,-0.061
2020,1,10,24,-0.0352,0.0159,-0.177,-0.0885
2020,1,10,25,-0.0224,-0.0568,0.194,-0.0287
2020,1,10,26,0.00567,0.0452,-0.0102,0.00209
2020,1,10,27,-0.0495,-0.113,-0.0428,-0.00447
2020,1,10,28,-0.0525,-0.0645,-0.0542,-0.0366
2020,1,10,29,0.0263,-0.0761,0.141,-0.0394
2020,1,10,30,0.0133,-0.0432,0.0542,-0.0331
2020,1,10,31,-0.0344,0.0297,-0.0173,-0.124
2020,1,10,32,-0.0237,-0.025,-0.0412,0.00863
2020,1,10,33,-0.357,0.00145,-0.623,-0.0988
2020,1,10,34,-0.00291,-0.0438,0.0613,0.0471
2020,1,10,35,0.0551,0.0043,-0.0468,0.0886
2020,1,10,36,-0.0962,0.0485,-0.158,-0.154
2020,1,10,37,-0.0395,-0.0679,-0.0155,-0.06
2020,1,10,38,0.0448,0.146,0.079,-0.0708
2020,1,10,39,-0.000489,-0.027,0.00686,-0.0255
2020,1,10,40,-0.0298,-0.049,-0.019,-0.00521
2020,1,10,41,-0.0326,-0.0312,-0.216,-0.0239
2020,1,10,42,0.0176,0.0291,0.00368,-0.0671
2020,1,10,43,-0.0017,0.117,-0.111,-0.018
2020,1,10,44,-0.0162,0.0226,0.0265,-0.0297
2020,1,10,45,-0.0347,-0.0429,-0.0747,-0.0743
2020,1,10,46,-0.062,-0.0546,-0.0948,-0.0791
2020,1,10,47,-0.0139,0.0109,-0.0496,-0.000753
2020,1,10,48,-0.0519,-0.156,-0.0425,0.0166
2020,1,10,49,0.0553,0.0877,0.0794,0.0843
2020,1,10,50,-0.008,-0.035,0.00745,0.0177
2020,1,10,51,0.0412,0.0554,-0.0449,0.0131
2020,1,10,52,-0.0014,-0.0375,0.0602,-0.0719
2020,1,10,53,-0.0482,0.0305,-0.108,0.0253
2020,1,11,1,-0.0143,0.00316,-0.0991,-0.000814
2020,1,11,2,0.0341,0.0382,-0.0226,0.0164
2020,1,11,3,-0.063,-0.0809,0.00241,-0.0706
2020,1,11,4,-0.0221,-0.0183,0.1,-0.00455
2020,1,11,5,0.0141,0.0162,-0.0792,0.0062
2020,1,11,6,-0.0236,-0.08,-0.0506,0.049
2020,1,11,7,-0.0278,-0.0507,-0.0402,-0.000894
2020,1,11,8,0.0285,-0.0145,0.0319,0.119
2020,1,11,9,-0.0153,-0.097,0.0498,-0.00216
2020,1,11,10,-0.0406,-0.0411,-0.0886,-0.0958
2020,1,11,11,-0.034,0.0139,0.0743,-0.0169
2020,1,11,12,-0.0455,-0.114,-0.132,-0.000626
2020,1,11,13,-0.033,-0.0716,-0.0446,0.0102
2020,1,11,14,-0.178,0.046,-0.547,0.0592
