year,month,day,countyfips,revenue_all
2020,1,10,1003,.0515
2020,1,10,1015,.0397
2020,1,10,1043,-.0426
2020,1,10,1069,-.0348
2020,1,10,1073,-.0469
2020,1,10,1089,.0286
2020,1,10,1095,-.00667
2020,1,10,1097,-.0261
2020,1,10,1101,-.0409
2020,1,10,1103,.051
2020,1,10,1125,.0142
2020,1,10,2170,-.097
2020,1,10,4013,-.0116
2020,1,10,4019,-.084
2020,1,10,4025,-.0898
2020,1,10,5007,-.0397
2020,1,10,5045,-.0364
2020,1,10,5069,.0339
2020,1,10,5119,-.0728
2020,1,10,5143,-.0381
2020,1,10,6001,-.011
2020,1,10,6007,.0525
2020,1,10,6013,-.0105
2020,1,10,6019,.00141
2020,1,10,6025,.00399
2020,1,10,6029,.0249
2020,1,10,6037,-.0125
2020,1,10,6045,.151
2020,1,10,6053,.0442
2020,1,10,6059,.00234
2020,1,10,6061,-.0000624
2020,1,10,6065,-.0185
2020,1,10,6067,-.00223
2020,1,10,6071,-.0434
2020,1,10,6073,-.00335
2020,1,10,6075,-.011
2020,1,10,6077,.0203
2020,1,10,6079,-.0165
2020,1,10,6081,-.0264
2020,1,10,6083,.0352
2020,1,10,6085,-.0113
2020,1,10,6087,-.00658
2020,1,10,6089,-.0184
2020,1,10,6095,.00263
2020,1,10,6097,-.0246
2020,1,10,6099,-.0358
2020,1,10,6107,-.0251
2020,1,10,6111,.0161
2020,1,10,8001,-.0421
2020,1,10,8005,.0531
2020,1,10,8013,-.0223
2020,1,10,8031,-.0803
2020,1,10,8035,-.0152
2020,1,10,8041,-.000952
2020,1,10,8059,-.0058
2020,1,10,8069,.0494
2020,1,10,8101,.0391
2020,1,10,8123,-.0491
2020,1,10,9001,-.00781
2020,1,10,9003,.00545
2020,1,10,9009,.00486
2020,1,10,9011,.00251
2020,1,10,10003,-.0877
2020,1,10,10005,-.0549
2020,1,10,11001,-.0485
2020,1,10,12001,.0727
2020,1,10,12009,-.0489
2020,1,10,12011,-.0718
2020,1,10,12017,-.0862
2020,1,10,12021,-.0593
2020,1,10,12031,-.0585
2020,1,10,12033,-.00681
2020,1,10,12053,-.12
2020,1,10,12057,-.0713
2020,1,10,12069,-.0893
2020,1,10,12071,-.0313
2020,1,10,12073,.0496
2020,1,10,12083,-.00104
2020,1,10,12085,.0346
