year,month,day,revenue_all,revenue_ss40,revenue_ss60,revenue_ss65,revenue_ss70
2020,1,10,-.0199,-.0299,-.0117,-.0127,-.0207
2020,1,11,-.00885,-.0176,.00182,.00584,-.0165
2020,1,12,-.0036,-.00762,.00667,.00679,-.0142
2020,1,13,-.0212,-.0123,-.00902,-.0555,-.0174
2020,1,14,-.0132,-.0081,-.00645,-.0239,-.0137
2020,1,15,-.0108,-.00635,-.00448,-.0177,-.0112
2020,1,16,-.00928,-.00879,-.00351,-.0158,-.00825
2020,1,17,-.00755,-.00697,-.0109,-.014,-.00155
2020,1,18,-.0052,-.00626,-.009,-.00659,-.000109
2020,1,19,-.00276,-.00856,-.00804,-.0102,.0123
2020,1,20,.000356,-.00281,.00341,-.0134,.00887
2020,1,21,.00854,-.0075,.0076,.0379,.00977
2020,1,22,-.00294,-.00988,-.00511,-.00177,.00294
2020,1,23,-.00072,-.00583,-.00381,.00202,.00507
2020,1,24,.00447,.00161,-.00213,.00638,.00974
2020,1,25,.0135,.0199,.000873,.00446,.0218
2020,1,26,.00452,.0138,-.000713,.00591,-.0000324
2020,1,27,-.00293,.00737,-.00544,-.00532,-.00828
2020,1,28,-.0128,.0061,-.0112,-.0543,-.00484
2020,1,29,-.00583,.00548,-.0102,-.00261,-.00248
2020,1,30,.0086,.0215,.00258,.0145,.00352
2020,1,31,.0186,.0289,.0137,.0279,.00765
2020,2,1,-.0123,.0249,-.00948,-.0637,-.00781
2020,2,2,-.0157,.0339,-.0162,-.0653,-.0211
2020,2,3,.0208,.0393,.00672,.0499,.00362
2020,2,4,.0152,.0307,.00453,.0387,-.000447
2020,2,5,.00517,.0173,-.00206,.0251,-.0111
2020,2,6,-.0105,-.000733,-.015,.0123,-.0212
2020,2,7,-.00895,.00314,-.0101,.0095,-.0145
2020,2,8,.038,.0288,.00876,.107,.032
2020,2,9,.0706,.0456,.0234,.117,.116
2020,2,10,.114,.124,.0901,.137,.126
2020,2,11,.121,.137,.0878,.146,.129
2020,2,12,.139,.159,.102,.172,.14
2020,2,13,.13,.146,.0963,.166,.132
2020,2,14,.118,.136,.0938,.166,.108
2020,2,15,.0948,.116,.0756,.136,.0766
2020,2,16,.0612,.0766,.0607,.127,.0149
2020,2,17,-.0172,.00261,-.0128,-.0273,-.0312
2020,2,18,.0563,.06,.0677,.157,-.00527
2020,2,19,.051,.0533,.0633,.138,-.00619
2020,2,20,.0701,.0758,.0869,.149,.00279
2020,2,21,.0653,.0693,.07,.14,.00762
2020,2,22,.0594,.0581,.0638,.157,.00207
2020,2,23,.0576,.0565,.0637,.158,-.00176
2020,2,24,-.013,-.0186,-.0108,.0118,-.0167
2020,2,25,-.0226,-.0108,-.0251,-.0391,-.0189
2020,2,26,.00152,.00894,-.0149,.0132,-.0146
2020,2,27,-.0194,-.00855,-.0411,-.00274,-.0195
2020,2,28,-.00564,.00601,-.0372,.0096,-.011
2020,2,29,.0204,.0541,-.0236,.0204,-.00165
2020,3,1,-.0126,.0457,-.0423,-.0732,-.0197
2020,3,2,.0126,.0572,-.0229,.0409,-.0188
2020,3,3,.0205,.0554,-.011,.0576,-.022
2020,3,4,-.00958,.0171,-.0274,.0168,-.0325
2020,3,5,-.0244,-.00362,-.0358,.000622,-.0412
2020,3,6,-.0428,-.0182,-.0505,-.0294,-.0653
2020,3,7,-.0419,-.0264,-.0344,-.0132,-.0715
2020,3,8,-.011,-.0207,-.0147,.0807,-.0591
2020,3,9,-.0343,-.035,-.0366,-.00807,-.061
2020,3,10,-.0469,-.0305,-.047,-.0329,-.0704
