year,month,day,statefips,revenue_all,revenue_ss40,revenue_ss60,revenue_ss65,revenue_ss70
2020,1,10,1,-.0114,.00582,.0495,-.0504,.0127
2020,1,10,2,.0256,.0439,-.023,-.00414,.0367
2020,1,10,4,-.00905,-.00669,-.0121,-.0253,.01
2020,1,10,5,-.0187,-.0198,-.032,-.0143,-.0309
2020,1,10,6,.00209,-.00493,.0168,.0197,-.00575
2020,1,10,8,-.00722,-.0236,.0735,.0197,-.0303
2020,1,10,9,-.00677,.0462,-.0133,-.0507,-.014
2020,1,10,10,-.0527,-.0609,-.237,-.00667,.0423
2020,1,10,11,-.0298,-.109,.154,-.0123,-.0975
2020,1,10,12,-.0361,-.0694,-.0309,-.00433,-.0304
2020,1,10,13,-.0172,-.0399,-.0369,.00667,-.0152
2020,1,10,15,.0119,.0353,-.0522,.084,.00704
2020,1,10,16,.0112,.0241,-.0715,.00964,.0371
2020,1,10,17,-.0494,-.0967,-.0706,.0189,-.0394
2020,1,10,18,-.0476,-.0635,-.0536,.0537,-.0587
2020,1,10,19,-.0407,.0155,-.0283,-.0795,-.0693
2020,1,10,20,-.00567,.0157,.00857,-.0169,-.0167
2020,1,10,21,-.0492,-.0353,-.115,-.0243,-.0483
2020,1,10,22,-.0118,-.0109,-.0493,.0754,-.0375
2020,1,10,23,-.016,.025,.000195,.0144,-.0793
2020,1,10,24,-.0299,-.0625,-.017,.00546,-.0661
2020,1,10,25,-.0418,-.0658,-.0147,-.0526,-.0245
2020,1,10,26,-.0181,-.000708,.0577,-.0927,-.0104
2020,1,10,27,-.0213,-.0589,-.0381,.0395,-.0138
2020,1,10,28,-.0225,-.0364,-.0912,.0221,-.0256
2020,1,10,29,-.032,-.0372,.000975,.053,-.0675
2020,1,10,30,-.0329,-.0371,-.112,.0643,-.0394
2020,1,10,31,-.0454,-.0326,.0034,-.0937,-.0538
2020,1,10,32,-.0327,-.0324,-.0187,.0272,-.097
2020,1,10,33,-.0533,-.0852,-.0237,.0082,-.0825
2020,1,10,34,-.0469,-.0755,-.0953,-.0466,-.0197
2020,1,10,35,.00579,.01,-.000422,.0304,-.0131
2020,1,10,36,-.0202,-.0223,.00346,-.0549,-.006
2020,1,10,37,-.0124,-.0172,-.0495,-.0228,.01
2020,1,10,38,-.0454,-.0786,-.109,-.0566,.0207
2020,1,10,39,-.0513,-.0633,-.0403,-.0402,-.0589
2020,1,10,40,-.0221,.00156,-.0826,-.00417,-.00729
2020,1,10,41,-.00359,-.0079,.0187,-.0106,.00763
2020,1,10,42,-.0217,-.0331,.0167,-.0417,-.0337
2020,1,10,44,-.028,-.0331,-.0214,-.059,-.037
2020,1,10,45,-.0141,-.0342,.000614,-.0424,-.00126
2020,1,10,46,-.0774,-.0252,.,-.17,-.0243
2020,1,10,47,-.0187,.0188,.0401,-.0815,-.0246
2020,1,10,48,-.0299,-.0468,-.028,-.0171,-.0213
2020,1,10,49,.00936,-.00846,-.0195,.0414,.0274
2020,1,10,50,-.0467,-.0982,-.0452,.00524,-.047
2020,1,10,51,-.0184,-.0477,.0217,-.0117,-.0283
2020,1,10,53,.0517,.0698,.025,.0476,.0397
2020,1,10,54,-.0407,-.0523,.154,-.0301,-.0539
2020,1,10,55,-.00505,-.03,.178,-.0325,-.0425
2020,1,10,56,-.0411,.00469,-.158,.0565,-.0508
2020,1,11,1,-.0262,-.0144,.0616,-.0335,-.0321
2020,1,11,2,.0746,.114,-.0442,.215,.0469
2020,1,11,4,.0047,.0112,-.0219,-.00572,.0214
2020,1,11,5,-.0157,-.0123,-.0426,.00644,-.0582
2020,1,11,6,.0129,.00257,.0338,.0361,.00306
2020,1,11,8,.0193,-.000415,.0808,.0471,-.00138
2020,1,11,9,.012,.0937,-.0195,-.0659,.00536
2020,1,11,10,-.0208,-.0263,-.226,.0596,.0447
2020,1,11,11,-.00104,-.114,.156,.0359,-.0601
2020,1,11,12,-.0155,-.0208,-.0131,.00369,-.0226
2020,1,11,13,-.019,-.0421,-.0236,.0207,-.0358
2020,1,11,15,.0133,.0217,-.0366,.0993,.00757
2020,1,11,16,.0106,.00859,-.0768,.0198,.0244
2020,1,11,17,-.0476,-.1,-.0622,.052,-.053
2020,1,11,18,-.0456,-.0834,-.0454,.0654,-.0511
2020,1,11,19,-.0461,-.0109,.00308,-.0485,-.0986
2020,1,11,20,-.0253,-.0511,.0587,-.0103,-.0697
2020,1,11,21,-.0526,-.052,-.095,-.0193,-.053
2020,1,11,22,-.0143,.00445,-.0547,.0304,-.0397
2020,1,11,23,.0097,.0417,.0913,.00525,-.0579
2020,1,11,24,-.0167,-.0237,.00395,.0158,-.0644
2020,1,11,25,-.0173,-.0352,-.0152,-.0221,-.00454
2020,1,11,26,-.0289,-.0196,.056,-.0793,-.037
2020,1,11,27,-.0198,-.0586,-.0363,.0537,-.0345
2020,1,11,28,-.0384,-.0434,-.00147,-.0628,-.0428
2020,1,11,29,-.014,-.0317,.0421,.094,-.0608
2020,1,11,30,-.0196,-.00103,-.0817,.0748,-.0596
2020,1,11,31,-.0358,-.0416,.022,-.0658,-.0421
2020,1,11,32,-.0163,-.0396,.0076,.0379,-.0671
2020,1,11,33,-.00185,.00413,.0977,.0136,-.0601
2020,1,11,34,-.00834,-.000507,-.0747,-.000223,-.00355
2020,1,11,35,.0323,.0227,.0586,.0508,-.000519
2020,1,11,36,.00848,.0166,.0226,-.0179,.021
2020,1,11,37,-.00594,-.0203,-.0165,.00579,-.000149
2020,1,11,38,-.0814,-.111,-.132,-.0831,-.013
2020,1,11,39,-.0393,-.0513,-.021,-.0135,-.048
2020,1,11,40,-.0282,-.04,-.0195,.00988,-.0403
2020,1,11,41,.0162,.00185,.0433,-.0024,.0706
2020,1,11,42,-.0056,-.019,.0271,-.0212,-.0161
2020,1,11,44,-.00561,-.0114,.0128,-.0728,-.0165
2020,1,11,45,-.0185,-.0333,-.00744,-.0279,-.00748
2020,1,11,46,-.0744,-.0528,.,-.136,-.021
2020,1,11,47,-.0258,-.0187,.0513,-.0449,-.04
2020,1,11,48,-.011,.00553,-.0289,-.00942,-.0149
2020,1,11,49,.028,.00807,.0278,.0654,.045
2020,1,11,50,-.0333,-.0981,-.00875,.0155,-.0332
2020,1,11,51,-.012,-.0404,-.00343,.0175,-.027
2020,1,11,53,.0543,.0413,.0332,.0869,.028
2020,1,11,54,-.0483,-.0828,.221,-.0724,-.0382
2020,1,11,55,-.0178,-.0503,.164,-.0228,-.0778
2020,1,11,56,-.00481,.0217,-.116,.0789,-.0239
2020,1,12,1,-.0254,-.00966,.0662,-.0378,-.0478
2020,1,12,2,.0728,.133,-.102,.19,.0474
2020,1,12,4,.00533,.0137,-.0213,-.0054,.013
2020,1,12,5,-.0144,-.00653,-.036,.00994,-.0753
2020,1,12,6,.011,.00257,.0335,.0388,-.00515
2020,1,12,8,.0314,.0152,.0881,.0467,.0169
2020,1,12,9,.00578,.0816,.00313,-.0769,.00144
2020,1,12,10,-.00683,-.0365,-.188,.102,.0389
2020,1,12,11,-.00164,-.173,.162,.0344,-.0495
2020,1,12,12,-.0138,-.0141,-.0139,.00192,-.0237
2020,1,12,13,-.0146,-.0402,-.0217,.024,-.0363
2020,1,12,15,.00459,.0135,-.0438,.103,-.00218
2020,1,12,16,.0121,.0172,-.0758,.0234,-.00105
2020,1,12,17,-.0211,-.0405,-.0533,.057,-.039
2020,1,12,18,-.00167,-.00977,-.0386,.083,-.00848
2020,1,12,19,-.0227,.0272,-.000686,-.0483,-.0654
2020,1,12,20,.00346,.00292,.0567,-.0122,-.0377
2020,1,12,21,-.0315,-.0311,-.0879,-.0194,-.0186
2020,1,12,22,-.0156,.0218,-.047,-.0579,-.025
2020,1,12,23,.00932,.0626,.08,-.01,-.0765
2020,1,12,24,.00135,-.0165,.0199,.00603,-.0235
2020,1,12,25,-.022,-.0327,-.00332,-.00583,-.0288
2020,1,12,26,-.0351,-.025,.0449,-.0785,-.0538
2020,1,12,27,-.0129,-.0431,-.0258,.0515,-.0301
2020,1,12,28,-.0331,-.0225,-.0177,-.0602,-.0455
2020,1,12,29,.0484,.0728,.0515,.0921,.0372
2020,1,12,30,-.00771,.0232,-.069,.0706,-.057
2020,1,12,31,-.0193,-.015,.0183,-.048,-.0224
2020,1,12,32,-.00782,.0245,.00686,.0395,-.079
2020,1,12,33,.000393,-.000105,.112,.0194,-.06
2020,1,12,34,-.00653,.0105,-.0777,-.005,.00462
2020,1,12,35,.0266,.0206,.0491,.0487,-.0117
2020,1,12,36,.00735,.0107,.0247,-.00461,.0191
2020,1,12,37,.00314,-.00897,-.0122,.00269,.0166
2020,1,12,38,-.0985,-.125,-.13,-.0941,-.0445
2020,1,12,39,-.0181,-.0269,-.0109,-.00709,-.0152
2020,1,12,40,-.0207,-.0338,-.00856,.00877,-.046
2020,1,12,41,.0083,.0024,.0326,-.0136,.0467
2020,1,12,42,-.00851,-.0256,.0271,-.0253,-.0127
2020,1,12,44,-.00373,-.0229,.0665,-.0735,-.00329
2020,1,12,45,-.0155,-.0328,-.00996,-.0216,-.00745
2020,1,12,46,-.0723,-.0447,.,-.134,-.0278
2020,1,12,47,-.0162,.00194,.0453,-.0445,-.0337
2020,1,12,48,-.00919,.00676,-.00727,-.00922,-.0169
2020,1,12,49,.0152,.0124,.03,.0442,-.029
2020,1,12,50,-.04,-.102,.0201,.046,-.0697
2020,1,12,51,-.0011,-.0374,-.00779,.0345,.00728
