year,cityid,month,day_endofweek,engagement,badges,break_engagement,break_badges
2019,1,1,13,.123,.179,.,.
2019,1,1,20,-.0251,-.074,.,.
2019,1,1,27,.0353,-.107,.,.
2019,1,2,3,.131,.172,.,.
2019,1,2,10,.151,.257,.,.
2019,1,2,17,.12,.184,.,.
2019,1,2,24,.0895,.12,.,.
2019,1,3,3,.15,.337,.,.
2019,1,3,10,.16,.347,.,.
2019,1,3,17,.158,.353,.,.
2019,1,3,24,.112,.381,.,.
2019,1,3,31,.129,.389,.,.
2019,1,4,7,.0428,.246,.,.
2019,1,4,14,.0811,.247,.,.
2019,1,4,21,-.146,-.0245,.,.
2019,1,4,28,.0493,.189,.,.
2019,1,5,5,.0229,.221,.,.
2019,1,5,12,.,.,-.0174,.14
2019,1,5,19,.,.,-.0507,.107
2019,1,5,26,.,.,-.103,-.014
2019,1,6,2,.,.,-.283,-.33
2019,1,6,9,.,.,-.518,-.547
2019,1,6,16,.,.,-.886,-.9
2019,1,6,23,.,.,-.965,-.966
2019,1,6,30,.,.,-.98,-.978
2019,1,7,7,.,.,-.987,-.986
2019,1,7,14,.,.,-.984,-.98
2019,1,7,21,.,.,-.988,-.982
2019,1,7,28,.,.,-.988,-.986
2019,1,8,4,.,.,-.989,-.985
2019,1,8,11,.,.,-.988,-.986
2019,1,8,18,.,.,-.879,-.93
2019,1,8,25,.,.,-.534,-.622
2019,1,9,1,.,.,-.252,-.271
2019,1,9,8,.,.,-.116,-.138
2019,1,9,15,.,.,.107,.16
2019,1,9,22,.155,.196,.,.
2019,1,9,29,.18,.248,.,.
2019,1,10,6,.138,.105,.,.
2019,2,1,13,.056,.161,.,.
2019,2,1,20,.0164,.00647,.,.
2019,2,1,27,-.0219,-.0807,.,.
2019,2,2,3,-.0324,-.0789,.,.
2019,2,2,10,-.0838,-.144,.,.
2019,2,2,17,-.0912,-.103,.,.
2019,2,2,24,-.412,-.45,.,.
2019,2,3,3,-.155,-.227,.,.
2019,2,3,10,-.193,-.285,.,.
2019,2,3,17,-.145,-.153,.,.
2019,2,3,24,-.11,.00394,.,.
2019,2,3,31,-.16,-.0906,.,.
2019,2,4,7,-.196,-.2,.,.
2019,2,4,14,-.19,-.165,.,.
2019,2,4,21,-.357,-.397,.,.
2019,2,4,28,-.564,-.606,.,.
2019,2,5,5,-.358,-.441,.,.
2019,2,5,12,.,.,-.225,-.279
2019,2,5,19,.,.,-.25,-.24
2019,2,5,26,.,.,-.24,-.261
2019,2,6,2,.,.,-.349,-.389
2019,2,6,9,.,.,-.435,-.47
2019,2,6,16,.,.,-.465,-.522
2019,2,6,23,.,.,-.616,-.694
2019,2,6,30,.,.,-.871,-.904
2019,2,7,7,.,.,-.976,-.979
2019,2,7,14,.,.,-.97,-.974
2019,2,7,21,.,.,-.977,-.973
2019,2,7,28,.,.,-.976,-.977
2019,2,8,4,.,.,-.982,-.981
2019,2,8,11,.,.,-.981,-.982
2019,2,8,18,.,.,-.958,-.976
2019,2,8,25,.,.,-.921,-.938
2019,2,9,1,.,.,-.87,-.914
2019,2,9,8,.,.,-.798,-.906
