countyfips,year,month,day_endofweek,engagement,badges,break_engagement,break_badges,imputed_from_cz
1003,2019,1,13,.0687,.185,.,.,0
1003,2019,1,20,-.0414,-.113,.,.,0
1003,2019,1,27,-.146,-.208,.,.,0
1003,2019,2,3,.516,.338,.,.,0
1003,2019,2,10,.638,.531,.,.,0
1003,2019,2,17,.534,.402,.,.,0
1003,2019,2,24,.415,.397,.,.,0
1003,2019,3,3,.458,.389,.,.,0
1003,2019,3,10,.389,-.197,.,.,0
1003,2019,3,17,.281,.124,.,.,0
1003,2019,3,24,.176,.409,.,.,0
1003,2019,3,31,.464,.882,.,.,0
1003,2019,4,7,.333,.629,.,.,0
1003,2019,4,14,-.216,.267,.,.,0
1003,2019,4,21,-.93,-1,.,.,0
1003,2019,4,28,-.634,-.972,.,.,0
1003,2019,5,5,-.312,-.494,.,.,0
1003,2019,5,12,.,.,-.373,-.617,0
1003,2019,5,19,.,.,-.826,-.858,0
1003,2019,5,26,.,.,-.974,-.945,0
1003,2019,6,2,.,.,-.974,-.863,0
1003,2019,6,9,.,.,-.974,-.973,0
1003,2019,6,16,.,.,-.974,-.973,0
1003,2019,6,23,.,.,-1,-1,0
1003,2019,6,30,.,.,-1,-1,0
1003,2019,7,7,.,.,-1,-1,0
1003,2019,7,14,.,.,-1,-1,0
1003,2019,7,21,.,.,-1,-1,0
1003,2019,7,28,.,.,-1,-1,0
1003,2019,8,4,.,.,-1,-1,0
1003,2019,8,11,.,.,-1,-1,0
1003,2019,8,18,.,.,-1,-1,0
1003,2019,8,25,.,.,-.529,-.844,0
1003,2019,9,1,.,.,-.346,-.717,0
1003,2019,9,8,.,.,.333,-.236,0
1003,2019,9,15,.,.,.229,-.321,0
1003,2019,9,22,.83,.982,.,.,0
1003,2019,9,29,.83,.812,.,.,0
1003,2019,10,6,.725,.106,.,.,0
1003,2020,1,12,.0564,.161,.,.,0
1003,2020,1,19,-.0579,.053,.,.,0
1003,2020,1,26,-.0375,-.277,.,.,0
1003,2020,2,2,.0533,.0797,.,.,0
1003,2020,2,9,-.0662,.0189,.,.,0
1003,2020,2,16,-.0968,.0331,.,.,0
1003,2020,2,23,-.111,.137,.,.,0
1003,2020,3,1,-.194,-.377,.,.,0
1003,2020,3,8,-.239,-.187,.,.,0
1003,2020,3,15,-.0774,-.0652,.,.,0
1003,2020,3,22,-.386,-.567,.,.,0
1003,2020,3,29,-.275,-.234,.,.,0
1003,2020,4,5,-.339,-.233,.,.,0
1003,2020,4,12,-.911,-.915,.,.,0
1003,2020,4,19,-.864,-.959,.,.,0
1003,2020,4,26,-.967,-.998,.,.,0
1003,2020,5,3,-.919,-.934,.,.,0
1003,2020,5,10,.,.,-.958,-.932,0
1003,2020,5,17,.,.,-.961,-.94,0
1003,2020,5,24,.,.,-.983,-.962,0
1003,2020,5,31,.,.,-.986,-1,0
1003,2020,6,7,.,.,-1,-1,0
1003,2020,6,14,.,.,-.997,-.998,0
1003,2020,6,21,.,.,-1,-1,0
1003,2020,7,5,.,.,-.997,-.98,0
1003,2020,7,12,.,.,-.997,-.984,0
1003,2020,7,19,.,.,-.988,.,0
1003,2020,7,26,.,.,-.994,.,0
1003,2020,8,2,.,.,-.991,.,0
1003,2020,8,9,.,.,-.997,.,0
1003,2020,8,16,.,.,-.993,.,0
1003,2020,8,23,.,.,-.933,-.996,0
1003,2020,8,30,.,.,-.944,-.833,0
1003,2020,9,6,.,.,-.897,-.828,0
1003,2020,9,13,.,.,-.743,-.777,0
1003,2020,9,20,-.398,.333,.,.,0
1003,2020,9,27,-.956,-1,.,.,0
1003,2020,10,4,-.964,-.86,.,.,0
1005,2019,1,13,.0115,.0282,.,.,0
1005,2019,1,20,-.202,-.245,.,.,0
1005,2019,1,27,.0256,.00751,.,.,0
1005,2019,2,3,.00818,.0319,.,.,0
1005,2019,2,10,.149,.437,.,.,0
1005,2019,2,17,.162,.233,.,.,0
1005,2019,2,24,.0802,.42,.,.,0
1005,2019,3,3,.211,.86,.,.,0
1005,2019,3,10,.362,1.65,.,.,0
1005,2019,3,17,.437,1.15,.,.,0
1005,2019,3,24,.378,1.28,.,.,0
1005,2019,3,31,-.112,.516,.,.,0
1005,2019,4,7,.25,1.27,.,.,0
1005,2019,4,14,.342,1.33,.,.,0
1005,2019,4,21,.054,.19,.,.,0
1005,2019,4,28,.172,.327,.,.,0
1005,2019,5,5,.11,.367,.,.,0
1005,2019,5,12,.,.,-.0213,.0811,0
1005,2019,5,19,.,.,-.421,-.573,0
1005,2019,5,26,.,.,-.977,-.991,0
1005,2019,6,2,.,.,-.99,-.995,0
1005,2019,6,9,.,.,-.977,-.995,0
1005,2019,6,16,.,.,-.993,-1,0
1005,2019,6,23,.,.,-.977,-.996,0
1005,2019,6,30,.,.,-.997,-1,0
1005,2019,7,7,.,.,-1,-1,0
1005,2019,7,14,.,.,-.997,-1,0
1005,2019,7,21,.,.,-.997,-1,0
1005,2019,7,28,.,.,-1,-1,0
1005,2019,8,4,.,.,-.997,-1,0
1005,2019,8,11,.,.,-1,-.995,0
1005,2019,8,18,.,.,-1,-.995,0
1005,2019,8,25,.,.,-.646,-.535,0
1005,2019,9,1,.,.,-.558,.004,0
1005,2019,9,8,.,.,-.224,.485,0
1005,2019,9,15,.,.,-.0933,.485,0
1005,2019,9,22,-.129,1.05,.,.,0
1005,2019,9,29,-.178,.863,.,.,0
1005,2019,10,6,.0278,.961,.,.,0
1005,2020,1,12,-.184,.248,.,.,1
1005,2020,1,19,.0398,.197,.,.,1
1005,2020,1,26,.0178,-.117,.,.,1
1005,2020,2,2,.14,.151,.,.,1
1005,2020,2,9,.127,.225,.,.,1
1005,2020,2,16,.0932,-.0433,.,.,1
1005,2020,2,23,-.00707,-.244,.,.,1
1005,2020,3,1,-.0148,.00137,.,.,1
1005,2020,3,8,.00322,.0272,.,.,1
1005,2020,3,15,.0804,-.0862,.,.,1
1005,2020,3,22,-.478,-.647,.,.,1
1005,2020,3,29,-.83,-.859,.,.,1
1005,2020,4,5,-.833,-.896,.,.,1
1005,2020,4,12,-.645,-.567,.,.,1
1005,2020,4,19,-.725,-.744,.,.,1
1005,2020,4,26,-.828,-.799,.,.,1
1005,2020,5,3,-.859,-.893,.,.,1
1005,2020,5,10,.,.,-.902,-.924,1
1005,2020,5,17,.,.,-.915,-.944,1
1005,2020,5,24,.,.,-.936,-.972,1
1005,2020,5,31,.,.,-.972,-.988,1
1005,2020,6,7,.,.,-.972,-.99,1
1005,2020,6,14,.,.,-.987,-.991,1
1005,2020,6,21,.,.,-.992,-.995,1
1005,2020,6,28,.,.,-.993,-.997,1
1005,2020,7,5,.,.,-.989,-.99,1
1005,2020,7,12,.,.,-.995,-1,1
1005,2020,7,19,.,.,-.955,.,1
1005,2020,7,26,.,.,-.994,.,1
1005,2020,8,2,.,.,-.994,.,1
1005,2020,8,9,.,.,-.994,.,1
1005,2020,8,16,.,.,-.989,.,1
1005,2020,8,23,.,.,-.986,-.992,1
1005,2020,8,30,.,.,-.763,-.906,1
1005,2020,9,6,.,.,-.595,-.597,1
1005,2020,9,13,.,.,-.482,-.55,1
1005,2020,9,20,-.39,-.388,.,.,1
1005,2020,9,27,-.292,-.616,.,.,1
1005,2020,10,4,-.358,-.661,.,.,1
1007,2019,1,13,.0961,-.107,.,.,1
1007,2019,1,20,-.0178,.0925,.,.,1
1007,2019,1,27,-.0961,-.252,.,.,1
1007,2019,2,3,.0629,.0828,.,.,1
1007,2019,2,10,-.117,.184,.,.,1
1007,2019,2,17,-.2,-.392,.,.,1
1007,2019,2,24,-.217,-.189,.,.,1
1007,2019,3,3,-.032,.327,.,.,1
1007,2019,3,10,-.196,-.0378,.,.,1
1007,2019,3,17,-.0463,-.214,.,.,1
1007,2019,3,24,-.694,-.691,.,.,1
1007,2019,3,31,-.829,-.854,.,.,1
1007,2019,4,7,-.431,-.41,.,.,1
1007,2019,4,14,-.665,-.823,.,.,1
1007,2019,4,21,-.654,-.732,.,.,1
1007,2019,4,28,-.623,-.578,.,.,1
1007,2019,5,5,-.625,-.614,.,.,1
1007,2019,5,12,.,.,-.637,-.601,1
1007,2019,5,19,.,.,-.609,-.598,1
1007,2019,5,26,.,.,-.822,-.798,1
1007,2019,6,2,.,.,-1,-1,1
1007,2019,6,9,.,.,-1,-1,1
1007,2019,6,16,.,.,-1,-1,1
1007,2019,6,23,.,.,-.993,-1,1
1007,2019,6,30,.,.,-1,-1,1
1007,2019,7,7,.,.,-1,-1,1
1007,2019,7,14,.,.,-1,-1,1
1007,2019,7,21,.,.,-1,-1,1
1007,2019,7,28,.,.,-1,-1,1
1007,2019,8,4,.,.,-1,-1,1
1007,2019,8,11,.,.,-.872,-.827,1
1007,2019,8,18,.,.,-.865,-.814,1
1007,2019,8,25,.,.,-.758,-.765,1
1007,2019,9,1,.,.,-.779,-.765,1
1007,2019,9,8,.,.,-.718,-.721,1
1007,2019,9,15,.,.,-.729,-.747,1
1007,2019,9,22,-.744,-.787,.,.,1
1007,2019,9,29,-.772,-.765,.,.,1
1007,2019,10,6,-.751,-.762,.,.,1
1007,2020,1,12,1.60e-08,-.067,.,.,1
1007,2020,1,19,.0163,-.0828,.,.,1
1007,2020,1,26,-.0271,.0421,.,.,1
1007,2020,2,2,-.0489,.129,.,.,1
1007,2020,2,9,-.0879,-.235,.,.,1
1007,2020,2,16,-.0619,-.251,.,.,1
1007,2020,2,23,-.124,-.387,.,.,1
1007,2020,3,1,-.0532,-.112,.,.,1
1007,2020,3,8,-.162,-.42,.,.,1
1007,2020,3,15,-.0185,-.196,.,.,1
1007,2020,3,22,-.883,-.7,.,.,1
1007,2020,3,29,-.909,-.7,.,.,1
1007,2020,4,5,-.891,-.819,.,.,1
1007,2020,4,12,-.792,-.818,.,.,1
1007,2020,4,19,-.818,-.802,.,.,1
1007,2020,4,26,-.831,-.685,.,.,1
1007,2020,5,3,-.896,-.68,.,.,1
1007,2020,5,10,.,.,-.935,-.886,1
1007,2020,5,17,.,.,-.961,-.945,1
1007,2020,5,24,.,.,-.974,-.943,1
1007,2020,5,31,.,.,-.896,-.957,1
1007,2020,6,7,.,.,-1,-1,1
1007,2020,6,14,.,.,-1,-1,1
1007,2020,6,21,.,.,-.987,-1,1
1007,2020,7,12,.,.,-1,-1,1
1007,2020,8,16,.,.,-.872,.,1
1007,2020,8,23,.,.,.0213,.,1
1007,2020,8,30,.,.,.132,-.0298,1
1007,2020,9,6,.,.,.355,-.152,1
1007,2020,9,13,.,.,.735,.28,1
1007,2020,9,20,.847,.229,.,.,1
1007,2020,9,27,.253,.00118,.,.,1
1007,2020,10,4,-.438,-.133,.,.,1
1009,2019,1,13,.00567,.133,.,.,1
1009,2019,1,20,.017,-.0272,.,.,1
1009,2019,1,27,-.0588,-.102,.,.,1
1009,2019,2,3,.0605,.015,.,.,1
1009,2019,2,10,.144,.227,.,.,1
1009,2019,2,17,-.00323,.144,.,.,1
1009,2019,2,24,.0655,.21,.,.,1
1009,2019,3,3,.168,.273,.,.,1
1009,2019,3,10,.165,.381,.,.,1
1009,2019,3,17,.12,.316,.,.,1
1009,2019,3,24,.127,.309,.,.,1
1009,2019,3,31,-.273,-.202,.,.,1
1009,2019,4,7,.0847,.129,.,.,1
1009,2019,4,14,.0119,.124,.,.,1
1009,2019,4,21,-.25,-.345,.,.,1
1009,2019,4,28,-.154,-.239,.,.,1
1009,2019,5,5,-.058,.029,.,.,1
1009,2019,5,12,.,.,-.136,-.0789,1
1009,2019,5,19,.,.,-.312,-.338,1
1009,2019,5,26,.,.,-.693,-.804,1
1009,2019,6,2,.,.,-.982,-.979,1
1009,2019,6,9,.,.,-.988,-.991,1
1009,2019,6,16,.,.,-.992,-.99,1
1009,2019,6,23,.,.,-.992,-.993,1
1009,2019,6,30,.,.,-.993,-.986,1
1009,2019,7,7,.,.,-.976,-.977,1
1009,2019,7,14,.,.,-.968,-.971,1
1009,2019,7,21,.,.,-.992,-.989,1
1009,2019,7,28,.,.,-.997,-.994,1
1009,2019,8,4,.,.,-.995,-.997,1
1009,2019,8,11,.,.,-.917,-.941,1
1009,2019,8,18,.,.,-.533,-.656,1
1009,2019,8,25,.,.,-.303,-.459,1
1009,2019,9,1,.,.,-.0681,-.213,1
1009,2019,9,8,.,.,-.217,-.294,1
1009,2019,9,15,.,.,-.198,-.317,1
1009,2019,9,22,-.253,-.288,.,.,1
1009,2019,9,29,-.21,-.244,.,.,1
1009,2019,10,6,-.213,-.391,.,.,1
1009,2020,1,12,-.325,-.229,.,.,0
1009,2020,1,19,-.0895,.0751,.,.,0
1009,2020,1,26,.0833,-.375,.,.,0
1009,2020,2,2,.204,-.104,.,.,0
1009,2020,2,9,.0648,-.00247,.,.,0
1009,2020,2,16,-.404,-.784,.,.,0
1009,2020,2,23,.139,.0862,.,.,0
1009,2020,3,1,.0278,.108,.,.,0
1009,2020,3,8,-.537,-.551,.,.,0
1009,2020,3,15,-.691,-.612,.,.,0
1009,2020,3,22,-.972,-.987,.,.,0
1009,2020,3,29,-.981,-1,.,.,0
1009,2020,4,5,-.963,-.947,.,.,0
1009,2020,4,12,-.917,-.901,.,.,0
1009,2020,4,19,-.944,-.957,.,.,0
1009,2020,4,26,-.898,-.887,.,.,0
1009,2020,5,3,-.991,-.987,.,.,0
1009,2020,5,10,.,.,-.972,-.987,0
1009,2020,5,17,.,.,-1,-1,0
1009,2020,5,24,.,.,-1,-1,0
1009,2020,5,31,.,.,-1,-1,0
1009,2020,6,7,.,.,-1,-1,0
1009,2020,6,14,.,.,-1,-1,0
1009,2020,6,21,.,.,-1,-1,0
1009,2020,7,12,.,.,.,.,0
1009,2020,8,16,.,.,.,.,0
1009,2020,8,30,.,.,-.196,.,0
1009,2020,9,6,.,.,-.0553,-.114,0
1009,2020,9,13,.,.,-.337,-.371,0
1009,2020,9,20,-.243,-.19,.,.,0
1009,2020,9,27,-.578,-.829,.,.,0
1009,2020,10,4,-.497,-.543,.,.,0
1013,2019,1,13,.315,.685,.,.,1
1013,2019,1,20,.00541,.282,.,.,1
1013,2019,1,27,-.189,-.546,.,.,1
1013,2019,2,3,.228,-.352,.,.,1
1013,2019,2,10,.0704,.492,.,.,1
1013,2019,2,17,.0137,.775,.,.,1
1013,2019,2,24,.0982,.753,.,.,1
1013,2019,3,3,.0116,.737,.,.,1
1013,2019,3,10,-.00696,.552,.,.,1
1013,2019,3,17,.058,.772,.,.,1
1013,2019,3,24,.0302,.705,.,.,1
1013,2019,3,31,-.44,.122,.,.,1
1013,2019,4,7,-.112,.758,.,.,1
1013,2019,4,14,-.121,.713,.,.,1
1013,2019,4,21,-.183,.787,.,.,1
1013,2019,4,28,-.343,.391,.,.,1
1013,2019,5,5,-.146,.472,.,.,1
1013,2019,5,12,.,.,-.274,.127,1
1013,2019,5,19,.,.,-.199,.105,1
1013,2019,5,26,.,.,-.703,-.795,1
1013,2019,6,2,.,.,-.991,-1,1
1013,2019,6,9,.,.,-1,-1,1
1013,2019,6,16,.,.,-.981,-1,1
1013,2019,6,23,.,.,-1,-1,1
1013,2019,6,30,.,.,-1,-1,1
1013,2019,7,7,.,.,-1,-1,1
1013,2019,7,14,.,.,-1,-1,1
1013,2019,7,21,.,.,-1,-1,1
1013,2019,7,28,.,.,-1,-1,1
1013,2019,8,4,.,.,-1,-1,1
1013,2019,8,11,.,.,-1,-1,1
